,State full,County,Black or African American,White
0,Maine,ANDROSCOGGIN,398,23007
1,Maine,AROOSTOOK,65,17165
2,Maine,CUMBERLAND,1584,86618
3,Maine,FRANKLIN,11,7684
4,Maine,HANCOCK,49,17386
5,Maine,KENNEBEC,165,31044
6,Maine,KNOX,46,13336
7,Maine,LINCOLN,27,12615
8,Maine,OXFORD,51,14905
9,Maine,PENOBSCOT,262,40715
10,Maine,PISCATAQUIS,,4870
11,Maine,SAGADAHOC,54,10461
12,Maine,SOMERSET,23,10430
13,Maine,WALDO,33,11384
14,Maine,WASHINGTON,28,6821
15,Maine,YORK,297,55034
