,State full,County,Black or African American,White
0,Maine,ANDROSCOGGIN,532,26741
1,Maine,AROOSTOOK,86,18879
2,Maine,CUMBERLAND,1845,100977
3,Maine,FRANKLIN,15,8404
4,Maine,HANCOCK,80,19807
5,Maine,KENNEBEC,207,34407
6,Maine,KNOX,52,14001
7,Maine,LINCOLN,34,13807
8,Maine,OXFORD,67,16460
9,Maine,PENOBSCOT,321,44833
10,Maine,PISCATAQUIS,8,5228
11,Maine,SAGADAHOC,59,11571
12,Maine,SOMERSET,38,11083
13,Maine,WALDO,35,12016
14,Maine,WASHINGTON,29,7171
15,Maine,YORK,346,60572
