,State full,County,Black or African American,White
0,Maine,ANDROSCOGGIN,422,24291
1,Maine,AROOSTOOK,67,17707
2,Maine,CUMBERLAND,1688,91978
3,Maine,FRANKLIN,12,7986
4,Maine,HANCOCK,61,18494
5,Maine,KENNEBEC,182,32415
6,Maine,KNOX,49,13624
7,Maine,LINCOLN,29,13030
8,Maine,OXFORD,57,15564
9,Maine,PENOBSCOT,285,42603
10,Maine,PISCATAQUIS,6,5007
11,Maine,SAGADAHOC,58,10940
12,Maine,SOMERSET,30,10703
13,Maine,WALDO,33,11656
14,Maine,WASHINGTON,28,6968
15,Maine,YORK,312,57110
