GEOID,Confirmed,Deaths,Incident_Rate,Case_Fatality_Ratio
01001,6675,102,11947.591687698008,1.5280898876404494
01003,20573,301,9215.890052590556,1.4630826811840765
01005,2239,55,9069.918172243377,2.4564537740062526
01007,2557,58,11418.237027775296,2.2682831443097378
01009,6469,133,11187.009303773391,2.055959189982996
01011,1211,40,11988.911988911988,3.3030553261767133
01013,2116,66,10880.29617441382,3.119092627599244
01015,14251,310,12544.342238457815,2.175285944845976
01017,3491,121,10497.985204787394,3.466055571469493
01019,1816,43,6932.356084898458,2.36784140969163
01021,4069,109,9158.638696317636,2.678790857704596
01023,584,24,4638.9705298276285,4.109589041095891
01025,3457,60,14634.662602658538,1.7356089094590683
01027,1488,54,11242.91650925576,3.629032258064516
01029,1456,41,9765.258215962442,2.815934065934066
01031,5393,111,10303.389247640518,2.058223623215279
01033,6193,129,11210.875979797614,2.0829969320200226
01035,1087,27,9008.038451976465,2.483900643974241
01037,982,26,9209.415736659475,2.6476578411405294
01039,4051,112,10934.16826365084,2.764749444581585
01041,1493,57,10840.836479814116,3.817816476892164
01043,9437,188,11265.638429949384,1.9921585249549645
01045,4764,108,9688.440575937526,2.267002518891688
01047,3514,149,9447.2523927304,4.240182128628343
01049,8718,181,12190.790485645966,2.0761642578573065
01051,9977,199,12285.584110135576,1.9945875513681468
01053,3869,74,10561.515573390112,1.9126389247867663
01055,13654,345,13351.194899675364,2.526732093159514
01057,2081,59,12765.304870568028,2.835175396444017
01059,4191,82,13363.30591161278,1.956573610116917
01061,2455,75,9344.905028358267,3.054989816700611
01063,906,34,11170.016027616815,3.752759381898455
01065,2184,75,14906.832298136644,3.434065934065934
01067,1874,44,10892.182505085731,2.3479188900747063
01069,10363,276,9787.310402145786,2.663321432017756
01071,6743,108,13061.24820826715,1.601660981758861
01073,75095,1476,11402.684288605818,1.9655103535521672
01075,1392,33,10083.303151032234,2.3706896551724137
01077,9178,227,9897.65876910136,2.4733057310960995
01079,2947,95,8950.917264001944,3.2236172378690195
01081,15468,165,9400.639350439402,1.0667183863460046
01083,9778,146,9885.25501693373,1.493147883002659
01085,1362,53,14003.701418877235,3.891336270190896
01087,1543,48,8539.960150542396,3.110823071937784
01089,33710,490,9039.738917537525,1.4535746069415605
01091,2487,60,13184.541165244127,2.41254523522316
01093,3064,101,10313.373051937124,3.2963446475195823
01095,11912,218,12309.091284849235,1.8300873069173944
01097,37644,794,9110.137702378936,2.109233875252364
01099,1711,40,8252.54425312304,2.33781414377557
01101,23872,561,10540.165838065046,2.350033512064343
01103,14128,266,11804.911471519648,1.8827859569648924
01105,1081,26,12114.759609996638,2.40518038852914
01107,2329,57,11685.900652282991,2.4474023185916702
01109,3049,75,9207.585915322825,2.459822892751722
01111,1757,41,7732.593961799137,2.3335230506545246
01113,4250,37,7332.516692258588,0.8705882352941177
01115,9394,234,10494.682277236572,2.4909516712795403
01117,23095,237,10608.538277094376,1.0261961463520242
01119,1031,32,8296.45127544862,3.103782735208535
01121,8017,169,10024.0066018155,2.108020456529874
01123,3886,147,9626.6752545396,3.782810087493567
01125,25214,439,12043.657901650307,1.741096216387721
01127,7076,274,11139.623116764536,3.8722442057659694
01129,1638,38,10033.076074972436,2.31990231990232
01131,1243,26,11983.032873806997,2.091713596138375
01133,2720,71,11511.278513690802,2.610294117647059
02013,364,2,10908.00119868145,0.5494505494505495
02016,656,0,11643.592474263402,0.0
02020,28991,165,10066.319444444443,0.5691421475630368
02050,3818,20,20765.800065267053,0.5238344683080147
02060,0,0,0.0,
02063,363,3,5376.981187972152,0.8264462809917356
02066,233,0,8632.826972952946,0.0
02068,92,0,4387.219837863615,0.0
02070,209,1,4251.423921887715,0.4784688995215311
02090,6766,32,6986.133052483763,0.4729530002955956
02100,29,0,1146.2450592885375,0.0
02110,1319,5,4125.226746731721,0.3790750568612585
02122,4221,22,7189.820808067044,0.5212035062781332
02130,398,2,2863.1033738579963,0.5025125628140703
02150,1086,5,8355.131558701338,0.4604051565377532
02158,1226,3,14746.211210007215,0.2446982055464926
02164,188,0,4676.6169154228855,0.0
02170,10375,37,9578.367199977843,0.3566265060240964
02180,341,0,3408.636545381847,0.0
02185,1051,4,10689.585028478436,0.3805899143672692
02188,598,2,7846.739273061278,0.334448160535117
02195,161,1,4929.577464788732,0.6211180124223602
02198,86,1,1386.4259229405127,1.162790697674419
02220,337,0,3967.973625338514,0.0
02230,20,0,1690.61707523246,0.0
02240,628,3,9110.69200638329,0.4777070063694267
02261,0,0,0.0,
02275,37,0,1478.8169464428454,0.0
02282,73,1,12607.944732297065,1.36986301369863
02290,351,4,6711.281070745698,1.1396011396011396
