GEOID,Confirmed,Deaths,Incident_Rate,Case_Fatality_Ratio
01001,6763,106,12105.103008824211,1.5673517669673225
01003,20730,302,9286.219841063636,1.4568258562469851
01005,2271,55,9199.546301547436,2.42184059885513
01007,2567,61,11462.891846030188,2.3763147643163225
01009,6532,133,11295.956836025318,2.0361298224127373
01011,1220,40,12078.012078012078,3.278688524590164
01013,2132,68,10962.566844919786,3.189493433395872
01015,14358,311,12638.528233792527,2.166039838417607
01017,3519,122,10582.185601732122,3.466894003978403
01019,1827,44,6974.347228584516,2.40831964969896
01021,4130,110,9295.939497614116,2.6634382566585955
01023,588,24,4670.744300579871,4.081632653061225
01025,3473,60,14702.396071458808,1.7276130146847106
01027,1502,55,11348.69663770306,3.661784287616512
01029,1470,41,9859.154929577464,2.7891156462585034
01031,5436,113,10385.5412479462,2.0787343635025755
01033,6236,132,11288.716714034865,2.116741500962155
01035,1097,28,9090.90909090909,2.552415679124886
01037,994,28,9321.954421832505,2.816901408450704
01039,4069,115,10982.752570919592,2.826247235192922
01041,1495,57,10855.358698809176,3.812709030100335
01043,9509,191,11351.590106007065,2.0086234094016198
01045,4781,111,9723.013096884406,2.321690023007739
01047,3528,150,9484.890848478331,4.2517006802721085
01049,8762,183,12252.3177604072,2.0885642547363616
01051,10024,203,12343.45946877809,2.025139664804469
01053,3903,74,10654.328064859554,1.895977453241097
01055,13705,348,13401.063871396722,2.539219263042685
01057,2096,60,12857.318120476017,2.862595419847328
01059,4213,82,13433.454499075317,1.946356515547116
01061,2464,75,9379.163335997868,3.043831168831169
01063,914,34,11268.647515719393,3.719912472647702
01065,2186,75,14920.483243464609,3.430924062214089
01067,1884,44,10950.305143853531,2.335456475583864
01069,10416,279,9837.366124553748,2.6785714285714284
01071,6762,110,13098.051369464998,1.6267376515823722
01073,75537,1494,11469.799095924069,1.9778386750863812
01075,1400,34,10141.253169141615,2.4285714285714284
01077,9280,233,10007.65672011992,2.5107758620689653
01079,2963,95,8999.51403231685,3.20620992237597
01081,15638,166,9503.956436654473,1.061516818007418
01083,9862,148,9970.176414092908,1.5007097951733928
01085,1373,53,14116.800329015012,3.8601602330662783
01087,1565,48,8661.72238211202,3.0670926517571884
