GEOID,Geographic Area Name,IT_WholeNum,IT_WhiteNum,IT_NHWhiteNum,IT_BlackNum,IT_WholeRate,IT_WhiteRate,IT_NHWhiteRate,IT_BlackRate
13191,"McIntosh, Georgia",11058,7193,7178,3575,78.4,81.8,81.8,71.6
13193,"Macon, Georgia",7474,3357,3278,3720,66.4,81.8,84.1,55.9
13195,"Madison, Georgia",22429,19124,18701,2083,77.4,78.1,78.7,68.8
13197,"Marion, Georgia",4918,3668,3471,1011,58.9,71.3,70.1,39.5
13199,"Meriwether, Georgia",13927,8697,8496,4868,66.9,73.0,72.6,58.4
13201,"Miller, Georgia",2943,2314,2308,579,52.5,59.9,59.8,34.7
13205,"Mitchell, Georgia",15425,7944,7427,6850,77.2,79.8,79.0,73.5
13207,"Monroe, Georgia",21704,17421,17127,3514,83.2,89.1,89.0,61.3
13209,"Montgomery, Georgia",6640,4835,4771,1400,80.5,84.3,84.8,72.3
13211,"Morgan, Georgia",14523,11384,11141,2809,79.2,83.8,84.3,65.6
13213,"Murray, Georgia",33166,32099,26891,316,84.0,83.9,82.4,94.0
13215,"Muscogee, Georgia",155399,71935,66999,65635,82.4,88.5,88.4,75.1
13217,"Newton, Georgia",94457,47578,44479,42776,88.5,88.5,89.7,89.2
13219,"Oconee, Georgia",34757,31109,30014,1378,91.7,92.7,94.0,71.7
13221,"Oglethorpe, Georgia",10748,9054,8439,1366,72.6,76.5,75.3,53.0
13223,"Paulding, Georgia",139586,103786,98432,27297,87.7,87.0,87.1,89.9
13225,"Peach, Georgia",20149,10945,10233,7702,79.9,85.1,85.1,71.5
13227,"Pickens, Georgia",27814,24966,24309,183,89.6,89.9,90.0,78.9
13229,"Pierce, Georgia",13129,11681,11405,1248,68.8,71.3,71.0,71.1
13231,"Pike, Georgia",14595,13111,12890,1101,80.8,82.0,81.8,70.8
13233,"Polk, Georgia",33340,27281,24793,3646,80.0,82.4,82.5,73.8
13235,"Pulaski, Georgia",7053,4669,4394,2194,73.1,76.3,75.4,66.1
13237,"Putnam, Georgia",16587,12358,12106,3593,77.1,83.1,85.6,64.1
13239,"Quitman, Georgia",1180,757,740,187,51.6,87.5,87.3,15.7
13241,"Rabun, Georgia",12721,12161,11528,199,78.5,80.6,80.1,84.3
13243,"Randolph, Georgia",5344,1907,1901,3237,78.6,81.1,81.1,76.2
13245,"Richmond, Georgia",153932,58293,54739,84820,80.2,83.8,84.0,77.0
13247,"Rockdale, Georgia",72902,27659,24076,39930,82.0,80.4,85.9,81.9
13249,"Schley, Georgia",3947,2954,2870,749,75.6,81.2,80.8,56.4
13251,"Screven, Georgia",10492,6392,6323,3807,77.3,84.2,85.1,67.9
13253,"Seminole, Georgia",5916,3613,3587,1961,72.0,70.9,71.1,72.0
13255,"Spalding, Georgia",46553,32438,30565,12355,72.7,80.8,81.4,56.9
13257,"Stephens, Georgia",18973,16591,16105,1922,75.9,78.0,77.6,66.6
13259,"Stewart, Georgia",2824,998,998,1722,68.8,75.0,75.0,64.8
13261,"Sumter, Georgia",20014,9711,8832,9164,71.5,81.0,79.8,62.8
13263,"Talbot, Georgia",4092,2025,1991,2001,64.9,77.9,77.7,55.0
13265,"Taliaferro, Georgia",832,344,344,428,51.8,63.1,65.4,42.9
13267,"Tattnall, Georgia",14559,10621,10442,2207,76.5,81.3,81.3,63.6
13269,"Taylor, Georgia",5187,3510,3480,1334,64.8,76.1,76.0,43.9
13271,"Telfair, Georgia",4443,2645,2645,1647,34.7,35.6,35.8,32.0
13273,"Terrell, Georgia",6539,2498,2451,3737,77.8,83.2,82.9,74.0
13275,"Thomas, Georgia",36709,22585,21949,12751,83.7,85.7,86.7,80.2
13277,"Tift, Georgia",25453,17795,15428,6141,66.2,72.6,73.1,52.9
13279,"Toombs, Georgia",20101,13404,12758,4815,75.7,79.2,79.7,70.7
13281,"Towns, Georgia",8692,8466,8299,68,80.6,80.7,80.4,100.0
13283,"Treutlen, Georgia",4728,3653,3639,1067,74.9,77.6,78.4,67.6
13285,"Troup, Georgia",53128,33492,32568,16576,77.7,83.6,84.3,67.6
13287,"Turner, Georgia",5112,3235,3089,1730,67.5,74.6,76.0,56.1
13289,"Twiggs, Georgia",5337,3010,2951,2292,65.3,66.2,65.8,65.3
13291,"Union, Georgia",17578,17341,16645,22,77.4,78.2,77.6,68.8
13293,"Upson, Georgia",19792,13584,13541,5402,77.0,77.5,78.3,76.4
13295,"Walker, Georgia",56458,52223,51516,1943,83.6,83.8,83.7,73.5
13297,"Walton, Georgia",77494,62106,60054,11145,85.5,88.5,88.8,69.7
13299,"Ware, Georgia",23159,16095,15690,5934,70.0,72.6,72.4,64.3
13301,"Warren, Georgia",2683,1162,1162,1484,51.4,59.4,59.4,46.5
