GEOID,date,state,county,percent_new_test_results_reported_positive_7_day_rolling_average
6001,2021-05-20,CA,Alameda County,0.87
6003,2021-05-20,CA,Alpine County,0.0
6005,2021-05-20,CA,Amador County,0.0
6007,2021-05-20,CA,Butte County,2.98
6009,2021-05-20,CA,Calaveras County,0.0
6011,2021-05-20,CA,Colusa County,0.0
6013,2021-05-20,CA,Contra Costa County,1.48
6015,2021-05-20,CA,Del Norte County,0.0
6017,2021-05-20,CA,El Dorado County,2.17
6019,2021-05-20,CA,Fresno County,2.17
6021,2021-05-20,CA,Glenn County,0.0
6023,2021-05-20,CA,Humboldt County,6.24
6025,2021-05-20,CA,Imperial County,3.4
6027,2021-05-20,CA,Inyo County,0.0
6029,2021-05-20,CA,Kern County,1.58
6031,2021-05-20,CA,Kings County,0.56
6033,2021-05-20,CA,Lake County,2.81
6035,2021-05-20,CA,Lassen County,0.0
6037,2021-05-20,CA,Los Angeles County,0.56
6039,2021-05-20,CA,Madera County,0.96
6041,2021-05-20,CA,Marin County,0.63
6043,2021-05-20,CA,Mariposa County,0.0
6045,2021-05-20,CA,Mendocino County,3.66
6047,2021-05-20,CA,Merced County,2.8
6049,2021-05-20,CA,Modoc County,0.0
6051,2021-05-20,CA,Mono County,0.0
6053,2021-05-20,CA,Monterey County,0.72
6055,2021-05-20,CA,Napa County,0.92
6057,2021-05-20,CA,Nevada County,2.4
6059,2021-05-20,CA,Orange County,0.81
6061,2021-05-20,CA,Placer County,2.37
6063,2021-05-20,CA,Plumas County,0.0
6065,2021-05-20,CA,Riverside County,1.49
6067,2021-05-20,CA,Sacramento County,2.36
6069,2021-05-20,CA,San Benito County,0.74
6071,2021-05-20,CA,San Bernardino County,1.47
6073,2021-05-20,CA,San Diego County,1.32
6075,2021-05-20,CA,San Francisco County,0.56
6077,2021-05-20,CA,San Joaquin County,1.94
6079,2021-05-20,CA,San Luis Obispo County,1.26
6081,2021-05-20,CA,San Mateo County,0.42
6083,2021-05-20,CA,Santa Barbara County,1.0
6085,2021-05-20,CA,Santa Clara County,0.54
6087,2021-05-20,CA,Santa Cruz County,0.5
6089,2021-05-20,CA,Shasta County,3.67
6091,2021-05-20,CA,Sierra County,0.0
6093,2021-05-20,CA,Siskiyou County,0.0
6095,2021-05-20,CA,Solano County,1.9
6097,2021-05-20,CA,Sonoma County,1.11
6099,2021-05-20,CA,Stanislaus County,3.35
6101,2021-05-20,CA,Sutter County,3.34
6103,2021-05-20,CA,Tehama County,4.22
6105,2021-05-20,CA,Trinity County,0.0
6107,2021-05-20,CA,Tulare County,2.16
6109,2021-05-20,CA,Tuolumne County,1.35
6111,2021-05-20,CA,Ventura County,0.8300000000000001
6113,2021-05-20,CA,Yolo County,0.4
6115,2021-05-20,CA,Yuba County,3.62
17001,2021-05-20,IL,Adams County,2.32
17003,2021-05-20,IL,Alexander County,0.0
17005,2021-05-20,IL,Bond County,2.07
17007,2021-05-20,IL,Boone County,3.91
17009,2021-05-20,IL,Brown County,3.81
17011,2021-05-20,IL,Bureau County,0.49
17013,2021-05-20,IL,Calhoun County,0.0
17015,2021-05-20,IL,Carroll County,3.67
17017,2021-05-20,IL,Cass County,1.52
17019,2021-05-20,IL,Champaign County,0.75
17021,2021-05-20,IL,Christian County,1.09
17023,2021-05-20,IL,Clark County,6.03
17025,2021-05-20,IL,Clay County,0.0
17027,2021-05-20,IL,Clinton County,1.1
17029,2021-05-20,IL,Coles County,2.93
17031,2021-05-20,IL,Cook County,3.07
17033,2021-05-20,IL,Crawford County,0.07
17035,2021-05-20,IL,Cumberland County,0.0
17039,2021-05-20,IL,De Witt County,5.6
17037,2021-05-20,IL,DeKalb County,5.88
17041,2021-05-20,IL,Douglas County,3.0
17043,2021-05-20,IL,DuPage County,3.15
17045,2021-05-20,IL,Edgar County,0.4
17047,2021-05-20,IL,Edwards County,3.02
17049,2021-05-20,IL,Effingham County,1.22
17051,2021-05-20,IL,Fayette County,2.77
17053,2021-05-20,IL,Ford County,6.99
17055,2021-05-20,IL,Franklin County,3.5300000000000002
17057,2021-05-20,IL,Fulton County,9.62
17059,2021-05-20,IL,Gallatin County,3.17
17061,2021-05-20,IL,Greene County,0.0
17063,2021-05-20,IL,Grundy County,3.17
17065,2021-05-20,IL,Hamilton County,2.41
17067,2021-05-20,IL,Hancock County,3.38
17069,2021-05-20,IL,Hardin County,0.0
17071,2021-05-20,IL,Henderson County,1.79
17073,2021-05-20,IL,Henry County,3.85
17075,2021-05-20,IL,Iroquois County,3.9
17077,2021-05-20,IL,Jackson County,1.8399999999999999
17079,2021-05-20,IL,Jasper County,2.12
17081,2021-05-20,IL,Jefferson County,5.8100000000000005
17083,2021-05-20,IL,Jersey County,1.96
17085,2021-05-20,IL,Jo Daviess County,5.07
17087,2021-05-20,IL,Johnson County,2.54
17089,2021-05-20,IL,Kane County,4.18
17091,2021-05-20,IL,Kankakee County,4.21
17093,2021-05-20,IL,Kendall County,5.02
17095,2021-05-20,IL,Knox County,1.63
17097,2021-05-20,IL,Lake County,1.92
17099,2021-05-20,IL,LaSalle County,3.52
17101,2021-05-20,IL,Lawrence County,0.68
17103,2021-05-20,IL,Lee County,2.38
17105,2021-05-20,IL,Livingston County,1.22
17107,2021-05-20,IL,Logan County,3.61
17115,2021-05-20,IL,Macon County,3.5700000000000003
17117,2021-05-20,IL,Macoupin County,3.13
17119,2021-05-20,IL,Madison County,4.14
17121,2021-05-20,IL,Marion County,2.32
17123,2021-05-20,IL,Marshall County,2.3
17125,2021-05-20,IL,Mason County,7.61
17127,2021-05-20,IL,Massac County,3.32
17109,2021-05-20,IL,McDonough County,3.22
17111,2021-05-20,IL,McHenry County,4.21
17113,2021-05-20,IL,McLean County,3.34
17129,2021-05-20,IL,Menard County,2.2
17131,2021-05-20,IL,Mercer County,4.94
17133,2021-05-20,IL,Monroe County,0.75
17135,2021-05-20,IL,Montgomery County,2.15
17137,2021-05-20,IL,Morgan County,1.7000000000000002
17139,2021-05-20,IL,Moultrie County,3.8200000000000003
17141,2021-05-20,IL,Ogle County,2.69
17143,2021-05-20,IL,Peoria County,3.32
17145,2021-05-20,IL,Perry County,3.41
17147,2021-05-20,IL,Piatt County,3.85
17149,2021-05-20,IL,Pike County,0.35000000000000003
17151,2021-05-20,IL,Pope County,5.0
17153,2021-05-20,IL,Pulaski County,2.21
17155,2021-05-20,IL,Putnam County,1.5899999999999999
17157,2021-05-20,IL,Randolph County,1.12
17159,2021-05-20,IL,Richland County,3.13
17161,2021-05-20,IL,Rock Island County,4.24
17165,2021-05-20,IL,Saline County,5.25
17167,2021-05-20,IL,Sangamon County,2.61
17169,2021-05-20,IL,Schuyler County,2.48
17171,2021-05-20,IL,Scott County,0.0
