GEOID,Rate_poor_fair_health,provcount_b,provcount_c,injury_deaths_per_100000
18165,0.153,11,11,70.2
18167,0.175,19,11,68.3
18169,0.16,16,16,86.5
18171,0.18899999999999997,9,13,63.7
18173,0.141,9,11,60.7
18175,0.214,12,10,91.6
18177,0.18,17,13,66.3
18179,0.141,16,14,52.0
18181,0.14,17,13,69.8
18183,0.114,14,11,54.2
19001,0.087,17,15,110.2
19003,,11,10,54.6
19005,0.159,12,11,74.2
19007,0.23,12,7,102.8
19009,0.086,12,10,82.2
19011,0.124,23,22,56.8
19013,0.122,38,31,47.5
19015,0.092,27,22,82.1
19017,0.083,21,19,41.2
19019,0.113,22,20,52.4
19021,0.13,27,21,55.4
19023,0.075,19,17,76.6
19025,0.121,20,18,75.9
19027,0.095,23,18,69.4
19029,0.095,22,16,89.4
19031,0.053,26,25,55.3
19033,0.111,25,17,69.9
19035,,19,15,74.9
19037,0.07200000000000001,20,17,59.6
19039,0.10400000000000001,9,7,66.7
19041,0.098,26,22,68.5
19043,0.114,18,15,65.3
19045,0.158,31,25,62.8
19047,0.153,16,13,55.0
19049,0.106,35,29,36.8
19051,0.129,13,11,68.8
19053,0.187,9,8,66.7
19055,0.062,16,14,73.4
19057,0.158,20,14,76.0
19059,0.121,25,19,57.2
19061,0.09699999999999999,28,20,50.3
19063,0.091,21,18,54.5
19065,0.10300000000000001,24,19,77.5
19067,0.102,15,12,58.0
19069,,18,14,67.5
19071,0.125,16,14,75.9
19073,,13,12,101.0
19075,0.114,15,12,54.7
19077,0.079,16,13,51.3
19079,0.073,21,17,67.8
19081,0.151,22,17,63.5
19083,0.177,25,19,74.3
19085,0.188,16,13,71.4
19087,0.094,17,12,55.4
19089,0.113,14,10,66.8
19091,,22,18,77.4
19093,,13,11,64.6
19095,0.184,23,18,62.5
19097,0.094,29,24,62.6
19099,0.166,25,18,72.3
19101,0.111,20,15,71.5
19103,0.076,43,35,39.1
19105,0.106,33,27,66.8
19107,0.134,19,18,59.1
19109,0.1,31,26,60.6
19111,0.154,20,14,80.5
19113,0.111,57,46,49.7
19115,0.214,15,14,83.8
19117,,9,7,78.5
19119,,14,11,63.7
19121,0.095,20,16,48.6
19123,0.12300000000000001,28,24,55.3
19125,0.092,26,22,54.5
19127,0.127,27,20,77.4
19129,0.129,17,15,70.5
19131,0.047,13,10,53.8
19133,,13,10,99.6
19135,0.138,11,8,72.7
19137,0.146,18,14,80.3
19139,0.11699999999999999,31,25,57.1
19141,0.065,23,19,62.9
19143,,18,16,56.0
19145,0.102,16,13,75.4
19147,,22,20,74.3
19149,0.077,20,19,51.4
19151,0.098,21,20,68.4
19153,0.10800000000000001,66,56,54.3
19155,0.124,31,22,61.7
19157,0.107,27,23,63.5
19159,0.11800000000000001,8,7,66.3
19161,0.122,15,13,60.1
19163,0.095,34,29,56.4
19165,0.08900000000000001,15,11,79.0
19167,0.095,24,19,36.1
19169,0.064,36,30,36.0
19171,0.115,20,18,77.7
19173,,18,15,72.9
19175,0.08800000000000001,15,11,75.0
19177,0.174,13,12,81.9
19179,0.153,22,18,69.4
19181,0.131,19,15,52.8
19183,0.10400000000000001,23,20,73.5
19185,0.166,7,6,116.3
19187,0.139,29,20,86.0
19189,,16,13,66.5
19191,0.053,21,17,37.1
19193,0.13699999999999998,32,25,55.9
19195,,14,10,89.7
19197,0.11599999999999999,17,12,84.9
20001,0.18899999999999997,10,10,89.8
20003,0.146,11,8,76.8
20005,0.122,10,9,75.9
20007,0.102,10,9,115.1
20009,0.16,12,9,81.9
20011,0.20600000000000002,9,9,77.0
20013,0.174,9,10,92.3
20015,0.10400000000000001,18,15,67.7
20017,,7,8,
20019,,7,8,109.6
20021,0.182,14,12,83.6
20023,0.045,8,8,117.3
20025,,7,5,
20027,0.099,7,7,95.9
20029,0.13,9,9,95.0
20031,0.10300000000000001,10,9,98.2
20033,,8,8,105.6
20035,0.15,14,11,75.5
20037,0.18100000000000002,15,13,68.5
20039,0.115,9,8,122.3
20041,0.141,11,10,69.8
20043,0.149,9,10,47.9
20045,0.11599999999999999,15,12,43.8
20047,0.11699999999999999,8,8,132.4
20049,0.175,6,7,126.0
20051,0.092,10,7,62.4
20053,,9,9,67.9
20055,0.16399999999999998,17,13,67.8
20057,0.161,10,8,68.8
20059,0.141,15,12,71.0
20061,0.17300000000000001,16,11,74.3
20063,,5,5,156.1
20065,0.08900000000000001,4,3,
20067,0.11,8,5,53.7
20069,0.127,6,6,63.6
20071,0.10300000000000001,6,5,
20073,0.207,11,10,99.0
20075,,7,6,135.3
20077,0.107,11,11,113.2
20079,0.11800000000000001,16,12,80.4
20081,0.109,7,6,85.2
20083,,6,5,
20085,0.128,10,10,77.7
20087,0.11199999999999999,12,12,77.8
20089,0.106,6,8,64.8
20091,0.08199999999999999,32,20,39.2
20093,,8,6,106.2
20095,0.142,12,11,99.1
20097,,8,7,119.9
20099,0.185,12,12,88.9
20101,,6,5,137.3
20103,0.109,19,13,54.3
20105,,8,8,74.0
20107,0.165,10,9,83.1
20109,0.107,7,6,86.8
20111,0.127,15,13,63.3
20113,0.08800000000000001,15,13,71.2
20115,0.126,14,14,89.1
20117,0.153,9,8,55.5
20119,0.114,7,6,57.8
20121,0.132,13,9,58.4
20123,0.092,9,7,97.4
20125,0.18100000000000002,15,13,88.7
20127,0.102,8,8,77.6
20129,,8,5,81.0
20131,0.11699999999999999,9,8,86.5
20133,0.191,15,13,80.0
20135,0.162,6,5,122.5
20137,,6,6,102.6
20139,0.17300000000000001,10,12,101.9
20141,0.08800000000000001,9,7,57.0
20143,0.10099999999999999,7,8,62.2
20145,0.136,8,5,103.8
20147,0.102,6,5,78.8
20149,0.08800000000000001,16,13,55.6
20151,0.122,12,11,90.9
20153,0.083,8,8,
20155,0.12300000000000001,21,16,85.2
20157,,9,10,76.4
20159,0.11599999999999999,12,13,89.3
20161,0.073,18,14,35.4
20163,0.139,6,6,88.4
20165,0.102,4,4,110.2
20167,0.127,8,7,109.8
20169,0.14400000000000002,14,12,67.0
20171,0.10400000000000001,9,7,135.6
20173,0.132,23,17,65.2
20175,0.191,14,10,65.2
20177,0.125,23,18,70.6
20179,,6,6,
20181,0.08,7,6,89.4
20183,0.05,7,7,109.3
20185,0.157,9,9,122.8
20187,,5,4,
20189,0.086,5,4,92.4
20191,0.154,13,12,92.5
20193,0.16399999999999998,8,6,84.1
20195,0.121,6,4,101.0
20197,0.087,8,10,90.8
20199,0.095,7,6,
20201,,7,9,68.9
