GEOID,urban,FluVax_BlackRate,FluVax_NHWhiteRate,FluVax_WholeRate
20193,0,,34.0,34
20195,0,,23.0,23
20197,1,,50.0,49
20199,0,,35.0,36
20201,0,,39.0,40
20203,0,,45.0,44
20205,0,,33.0,34
20207,0,,41.0,40
20209,1,36.0,51.0,46
20990,0,,50.0,50
21001,0,22.0,28.0,28
21003,0,36.0,39.0,39
21005,0,42.0,45.0,44
21007,0,25.0,52.0,52
21009,0,32.0,48.0,47
21011,0,26.0,37.0,37
21013,0,25.0,32.0,32
21015,1,37.0,56.0,55
21017,1,45.0,53.0,53
21019,1,32.0,50.0,49
21021,0,24.0,39.0,38
21023,1,,35.0,35
21025,0,,30.0,30
21027,0,27.0,33.0,33
21029,1,52.0,54.0,54
21031,0,,44.0,44
21033,0,27.0,41.0,40
21035,0,30.0,48.0,47
21037,1,36.0,57.0,57
21039,0,,47.0,47
21041,0,29.0,37.0,37
21043,0,,44.0,44
21045,0,,31.0,31
21047,1,24.0,42.0,38
21049,1,35.0,47.0,47
21051,0,11.0,13.0,13
21053,0,,30.0,30
21055,0,,29.0,29
21057,0,12.0,17.0,17
21059,1,36.0,53.0,53
21061,1,,46.0,46
21063,0,,36.0,36
21065,0,,27.0,27
21067,1,37.0,56.0,54
21069,0,35.0,33.0,33
21071,0,27.0,31.0,31
21073,0,33.0,43.0,42
21075,0,17.0,34.0,31
21077,1,45.0,42.0,42
21079,0,36.0,37.0,37
21081,1,47.0,46.0,47
21083,0,24.0,45.0,44
21085,0,26.0,45.0,45
21087,0,27.0,38.0,37
21089,1,45.0,50.0,49
21091,1,18.0,45.0,44
21093,1,34.0,47.0,46
21095,0,12.0,21.0,21
21097,0,40.0,51.0,51
21099,0,32.0,38.0,38
21101,1,33.0,52.0,50
21103,1,41.0,46.0,46
21105,0,36.0,50.0,47
21107,0,36.0,47.0,46
21109,0,,27.0,27
21111,1,37.0,57.0,54
21113,1,42.0,53.0,52
21115,0,,37.0,37
21117,1,34.0,57.0,56
21119,0,20.0,32.0,32
21121,0,25.0,23.0,23
21123,1,29.0,45.0,45
21125,0,32.0,34.0,34
21127,0,,41.0,41
21129,0,,19.0,19
21131,0,,21.0,21
21133,0,18.0,24.0,24
21135,0,,26.0,26
21137,0,26.0,29.0,29
21139,0,,38.0,38
21141,0,45.0,52.0,52
21143,0,25.0,52.0,52
21145,0,39.0,55.0,53
21147,0,,25.0,25
21149,1,36.0,47.0,47
21151,0,37.0,40.0,40
21153,0,,35.0,35
21155,0,29.0,41.0,40
21157,0,50.0,48.0,48
21159,0,,28.0,28
21161,0,32.0,40.0,40
21163,1,38.0,43.0,42
21165,0,,33.0,33
21167,0,18.0,39.0,38
21169,0,26.0,39.0,38
21171,0,27.0,37.0,37
21173,0,36.0,47.0,47
21175,0,,31.0,31
21177,0,32.0,29.0,29
21179,1,40.0,54.0,54
21181,0,,45.0,45
21183,0,36.0,39.0,39
21185,1,50.0,57.0,56
21187,0,53.0,47.0,47
21189,0,,26.0,26
21191,1,,47.0,47
21193,0,25.0,23.0,24
21195,0,17.0,36.0,36
21197,0,,30.0,30
21199,0,33.0,32.0,32
21201,0,,46.0,47
21203,0,,21.0,21
21205,0,39.0,47.0,47
21207,0,25.0,32.0,32
21209,1,39.0,50.0,49
21211,1,42.0,53.0,52
21213,0,46.0,51.0,51
21215,1,21.0,49.0,49
21217,0,34.0,43.0,42
21219,0,27.0,36.0,35
21221,1,33.0,42.0,41
21223,1,,43.0,43
21225,0,24.0,32.0,32
21227,1,38.0,51.0,50
21229,0,38.0,48.0,47
21231,0,16.0,23.0,23
21233,1,28.0,46.0,45
21235,0,26.0,31.0,31
21237,0,,30.0,30
21239,1,49.0,55.0,54
22001,0,35.0,49.0,47
22003,0,28.0,33.0,32
22005,1,37.0,51.0,47
22007,0,35.0,56.0,49
22009,0,28.0,43.0,40
22011,0,27.0,40.0,38
22013,0,24.0,42.0,36
22015,1,33.0,50.0,47
22017,1,32.0,50.0,43
22019,1,33.0,49.0,46
22021,0,21.0,26.0,26
22023,1,50.0,35.0,36
22025,0,22.0,27.0,26
22027,0,21.0,32.0,28
22029,0,26.0,46.0,40
22031,1,23.0,43.0,36
22033,1,37.0,56.0,49
22035,0,9.0,21.0,14
22037,1,35.0,47.0,42
22039,0,34.0,49.0,46
22041,0,18.0,26.0,24
22043,1,28.0,42.0,41
22045,0,34.0,49.0,44
22047,1,34.0,51.0,44
22049,0,27.0,40.0,38
22051,1,31.0,48.0,43
22053,0,35.0,47.0,45
22055,1,34.0,54.0,50
22057,1,29.0,49.0,47
22059,0,15.0,22.0,21
22061,0,30.0,50.0,44
22063,1,31.0,48.0,47
22065,0,15.0,28.0,22
22067,0,29.0,48.0,42
22069,0,34.0,48.0,43
22071,1,31.0,51.0,39
22073,1,33.0,50.0,46
22075,1,24.0,38.0,35
22077,1,26.0,41.0,36
22079,1,32.0,47.0,44
22081,0,26.0,37.0,34
22083,0,20.0,30.0,27
22085,0,22.0,42.0,40
22087,1,32.0,37.0,36
22089,1,32.0,47.0,42
22091,1,31.0,41.0,36
22093,0,27.0,52.0,41
22095,1,28.0,44.0,36
22097,0,34.0,51.0,45
22099,1,34.0,44.0,41
22101,0,29.0,48.0,43
22103,1,32.0,49.0,47
22105,0,29.0,44.0,40
22107,0,16.0,34.0,26
22109,1,34.0,49.0,47
22111,1,30.0,46.0,43
22113,0,28.0,45.0,43
22115,0,26.0,36.0,35
22117,0,33.0,45.0,42
22119,0,26.0,41.0,37
22121,1,41.0,54.0,49
22123,0,18.0,32.0,30
22125,1,32.0,49.0,45
22127,0,26.0,39.0,36
23001,1,36.0,44.0,44
23003,0,27.0,36.0,36
23005,1,41.0,53.0,53
23007,0,,39.0,39
23009,0,62.0,54.0,54
23011,0,25.0,45.0,45
23013,0,25.0,49.0,49
23015,0,18.0,35.0,35
23017,0,29.0,32.0,32
23019,1,34.0,41.0,41
23021,0,,32.0,32
23023,1,48.0,44.0,44
23025,0,34.0,39.0,39
23027,0,29.0,40.0,40
23029,0,50.0,35.0,34
23031,1,37.0,51.0,51
24001,1,33.0,45.0,45
24003,1,40.0,57.0,54
24005,1,43.0,59.0,55
24009,1,43.0,58.0,56
24011,0,41.0,53.0,51
24013,1,46.0,58.0,57
24015,1,32.0,50.0,49
24017,1,37.0,51.0,45
24019,0,41.0,55.0,51
24021,1,41.0,56.0,54
24023,0,35.0,41.0,41
24025,1,40.0,57.0,55
24027,1,47.0,63.0,60
24029,0,44.0,60.0,58
24031,1,41.0,60.0,56
24033,1,35.0,52.0,40
24035,1,47.0,58.0,58
24037,0,41.0,50.0,48
24039,1,38.0,46.0,44
24041,0,44.0,60.0,58
24043,1,36.0,53.0,52
24045,1,35.0,51.0,47
24047,0,37.0,54.0,52
24510,1,40.0,53.0,46
24990,0,,,38
25001,1,38.0,58.0,57
25003,1,30.0,48.0,47
25005,1,37.0,54.0,53
25007,0,63.0,57.0,57
25009,1,38.0,59.0,56
25011,1,35.0,54.0,54
25013,1,37.0,54.0,51
25015,1,36.0,60.0,59
25017,1,43.0,61.0,59
25019,0,15.0,20.0,19
25021,1,42.0,61.0,60
25023,1,39.0,59.0,58
25025,1,39.0,53.0,48
25027,1,38.0,54.0,53
26001,0,,29.0,29
26003,0,,31.0,30
26005,0,27.0,39.0,39
26007,0,29.0,36.0,36
26009,0,,48.0,48
26011,0,23.0,39.0,39
26013,0,,25.0,23
26015,1,18.0,45.0,44
26017,1,27.0,47.0,47
26019,0,,55.0,54
26021,1,26.0,49.0,47
26023,0,19.0,46.0,46
26025,1,35.0,51.0,49
26027,1,40.0,51.0,50
26029,0,,44.0,44
26031,0,0.0,39.0,39
26033,0,17.0,39.0,37
26035,0,0.0,31.0,31
26037,1,29.0,49.0,49
26039,0,,31.0,31
26041,0,,39.0,38
26043,0,,43.0,42
26045,1,32.0,45.0,45
26047,0,39.0,53.0,52
26049,1,34.0,48.0,45
26051,0,25.0,40.0,40
26053,0,,36.0,35
26055,0,33.0,55.0,55
26057,0,,37.0,37
26059,0,23.0,44.0,44
26061,0,,26.0,26
26063,0,,43.0,43
26065,1,32.0,48.0,46
26067,1,30.0,29.0,29
26069,0,10.0,29.0,29
26071,0,,34.0,34
26073,0,34.0,42.0,42
26075,1,33.0,51.0,50
26077,1,36.0,55.0,53
26079,0,,34.0,34
26081,1,33.0,50.0,48
26083,0,,23.0,23
26085,0,23.0,32.0,31
26087,1,23.0,43.0,43
26089,0,,62.0,60
26091,0,34.0,48.0,48
26093,1,33.0,55.0,55
26095,0,,14.0,15
26097,0,,27.0,26
26099,1,32.0,51.0,50
26101,0,,42.0,42
26103,0,53.0,49.0,49
26105,0,21.0,32.0,32
26107,0,21.0,35.0,35
26109,0,,33.0,32
26111,0,40.0,52.0,51
26113,0,,44.0,44
26115,1,34.0,48.0,47
26117,0,31.0,31.0,31
26119,0,,33.0,33
26121,1,38.0,51.0,49
26123,1,35.0,33.0,33
26125,1,36.0,55.0,52
26127,0,0.0,30.0,30
26129,0,,32.0,32
26131,0,,28.0,28
26133,0,0.0,31.0,31
26135,0,,27.0,27
26137,0,0.0,36.0,36
26139,1,38.0,52.0,51
26141,0,,39.0,40
26143,0,25.0,34.0,34
26145,1,30.0,49.0,45
26147,1,29.0,45.0,45
26149,0,27.0,46.0,46
26151,0,0.0,43.0,42
26153,0,,9.0,9
26155,0,20.0,47.0,47
26157,0,37.0,38.0,38
26159,1,28.0,40.0,39
26161,1,39.0,57.0,55
26163,1,30.0,51.0,43
26165,0,0.0,45.0,45
27001,0,,30.0,30
27003,1,31.0,56.0,54
27005,0,46.0,58.0,56
27007,0,24.0,55.0,52
27009,1,33.0,52.0,51
27011,0,,49.0,49
27013,1,31.0,63.0,62
27015,0,,56.0,56
27017,1,,51.0,51
27019,1,28.0,60.0,59
27021,0,,47.0,45
27023,0,,55.0,55
27025,1,39.0,50.0,50
27027,1,34.0,59.0,58
27029,0,,31.0,31
27031,0,,36.0,35
27033,0,,42.0,41
27035,0,40.0,56.0,55
27037,1,35.0,61.0,59
27039,1,,58.0,58
27041,0,33.0,59.0,59
27043,0,,60.0,59
27045,0,0.0,61.0,61
27047,0,29.0,52.0,51
27049,0,40.0,55.0,54
27051,0,,56.0,56
27053,1,34.0,62.0,59
27055,1,,63.0,63
27057,0,,41.0,41
27059,1,22.0,54.0,54
27061,0,23.0,45.0,44
27063,0,,39.0,39
27065,0,,41.0,41
27067,0,28.0,62.0,61
27069,0,,24.0,24
27071,0,,23.0,24
27073,0,,23.0,23
27075,0,,52.0,52
27077,0,,27.0,27
27079,0,0.0,54.0,53
27081,0,,17.0,17
27083,0,29.0,55.0,54
27085,0,19.0,53.0,52
27087,0,,31.0,34
27089,0,,52.0,51
27091,0,,58.0,58
27093,0,,44.0,44
27095,0,,36.0,35
27097,0,,45.0,44
27099,0,40.0,58.0,57
27101,0,,45.0,45
27103,1,22.0,64.0,63
27105,0,48.0,62.0,60
27107,0,,25.0,25
27109,1,36.0,64.0,63
27111,0,29.0,52.0,52
27113,0,,55.0,55
27115,0,0.0,30.0,30
27117,0,,61.0,60
27119,1,22.0,58.0,57
27121,0,,26.0,26
27123,1,34.0,62.0,58
27125,0,,52.0,52
27127,0,42.0,41.0,41
27129,0,,34.0,33
27131,0,33.0,59.0,58
27133,0,,61.0,60
27135,0,,58.0,58
27137,1,34.0,46.0,46
27139,1,36.0,60.0,59
27141,1,37.0,54.0,54
27143,0,,36.0,36
27145,1,25.0,48.0,48
27147,0,27.0,60.0,59
27149,0,,55.0,55
27151,0,,33.0,33
27153,0,,23.0,23
27155,0,,15.0,16
27157,1,,47.0,47
27159,0,24.0,26.0,26
27161,0,,57.0,57
27163,1,37.0,62.0,61
27165,0,,56.0,54
27167,0,,55.0,55
27169,0,38.0,61.0,61
27171,1,28.0,56.0,56
27173,0,,40.0,40
28001,0,35.0,55.0,45
28003,0,36.0,43.0,43
28005,0,17.0,29.0,25
28007,0,38.0,54.0,49
28009,0,30.0,44.0,40
28011,0,27.0,48.0,36
28013,0,34.0,43.0,41
28015,0,32.0,49.0,44
28017,0,33.0,44.0,40
28019,0,22.0,38.0,33
28021,0,25.0,48.0,32
28023,0,20.0,35.0,31
28025,0,26.0,41.0,34
28027,0,26.0,54.0,35
28029,1,34.0,56.0,49
28031,0,34.0,49.0,45
28033,1,36.0,56.0,53
28035,1,40.0,58.0,54
28037,0,19.0,33.0,28
28039,1,17.0,27.0,27
28041,0,22.0,32.0,30
28043,0,24.0,45.0,37
28045,1,29.0,44.0,43
28047,1,28.0,40.0,38
28049,1,30.0,54.0,42
28051,0,20.0,47.0,30
28053,0,15.0,22.0,17
28055,0,25.0,48.0,34
28057,0,47.0,52.0,52
28059,1,31.0,42.0,40
28061,0,31.0,47.0,41
28063,0,30.0,51.0,33
28065,0,37.0,49.0,43
28067,0,37.0,53.0,50
28069,0,22.0,36.0,29
28071,0,36.0,59.0,54
28073,1,37.0,52.0,51
28075,0,25.0,45.0,39
28077,0,33.0,43.0,41
28079,0,24.0,40.0,36
28081,0,42.0,58.0,54
28083,0,30.0,52.0,39
28085,0,34.0,55.0,50
28087,0,28.0,43.0,37
28089,1,28.0,60.0,53
28091,0,35.0,41.0,39
28093,1,29.0,47.0,41
28095,0,25.0,50.0,44
28097,0,28.0,44.0,38
28099,0,17.0,21.0,22
28101,0,26.0,32.0,31
28103,0,32.0,47.0,37
28105,0,36.0,57.0,49
28107,0,34.0,53.0,48
28109,0,33.0,47.0,46
28111,1,34.0,47.0,45
28113,0,22.0,41.0,34
28115,0,28.0,36.0,35
28117,0,44.0,52.0,51
28119,0,26.0,41.0,33
28121,1,35.0,52.0,50
28123,0,21.0,35.0,31
28125,0,20.0,29.0,24
28127,1,29.0,43.0,40
28129,0,31.0,47.0,44
28131,1,25.0,36.0,35
28133,0,16.0,24.0,19
28135,0,14.0,34.0,24
28137,1,37.0,55.0,51
28139,0,32.0,45.0,43
28141,0,37.0,46.0,46
28143,1,28.0,45.0,35
28145,0,29.0,41.0,39
28147,0,22.0,34.0,30
28149,0,27.0,50.0,42
28151,0,25.0,50.0,35
28153,0,22.0,42.0,36
28155,0,22.0,35.0,33
28157,0,11.0,26.0,16
28159,0,24.0,26.0,25
28161,0,19.0,32.0,29
28163,0,29.0,46.0,39
29001,0,47.0,51.0,50
29003,1,,52.0,52
29005,0,,47.0,47
29007,0,33.0,31.0,31
29009,0,0.0,36.0,36
29011,0,,39.0,39
29013,1,30.0,29.0,29
29015,0,,37.0,37
29017,1,,39.0,40
29019,1,33.0,54.0,52
29021,1,40.0,55.0,55
29023,0,13.0,23.0,22
29025,1,,46.0,46
29027,1,42.0,50.0,50
29029,0,0.0,40.0,40
29031,1,28.0,51.0,50
29033,0,22.0,42.0,42
29035,0,,34.0,34
29037,1,36.0,49.0,49
29039,0,,30.0,30
29041,0,24.0,40.0,39
29043,1,44.0,53.0,53
29045,0,,51.0,51
29047,1,37.0,57.0,56
29049,1,21.0,47.0,47
29051,1,37.0,58.0,57
29053,0,45.0,44.0,44
29055,1,,29.0,29
29057,0,,41.0,41
29059,1,,27.0,27
29061,0,,38.0,38
29063,1,,45.0,45
29065,0,,25.0,25
29067,0,,40.0,39
29069,0,23.0,37.0,36
29071,1,34.0,50.0,50
29073,0,,47.0,47
29075,0,,45.0,45
29077,1,35.0,54.0,53
29079,0,,46.0,46
29081,0,,36.0,36
29083,0,31.0,36.0,36
29085,0,,29.0,29
29087,0,,43.0,43
29089,1,40.0,46.0,46
29091,0,36.0,38.0,38
29093,0,0.0,35.0,35
29095,1,36.0,54.0,50
29097,1,33.0,52.0,52
29099,1,46.0,52.0,52
29101,0,38.0,45.0,45
29103,0,,45.0,45
29105,0,0.0,34.0,34
29107,1,34.0,42.0,42
29109,0,,38.0,38
29111,0,11.0,33.0,33
29113,1,28.0,42.0,42
29115,0,64.0,40.0,40
29117,0,38.0,47.0,46
29119,1,,35.0,34
29121,0,33.0,45.0,45
29123,0,,33.0,33
29125,0,,40.0,40
29127,0,19.0,24.0,23
29129,0,,33.0,33
29131,0,,46.0,46
29133,0,15.0,29.0,28
29135,1,20.0,47.0,47
29137,0,33.0,40.0,39
29139,0,40.0,36.0,36
29141,0,17.0,41.0,40
29143,0,15.0,34.0,32
29145,1,17.0,43.0,42
29147,0,,39.0,39
29149,0,,28.0,28
29151,1,,58.0,58
29153,0,,37.0,37
29155,0,16.0,33.0,30
29157,0,,42.0,42
29159,0,35.0,48.0,47
29161,0,26.0,39.0,38
29163,0,22.0,29.0,29
29165,1,46.0,59.0,58
29167,1,,29.0,29
29169,0,8.0,21.0,19
29171,0,,47.0,47
29173,0,22.0,31.0,31
29175,0,27.0,43.0,42
29177,1,42.0,49.0,49
29179,0,,31.0,31
29181,0,,27.0,27
29183,1,38.0,58.0,57
29185,0,,25.0,26
29186,0,27.0,39.0,38
29187,0,24.0,42.0,42
29189,1,36.0,61.0,56
29195,0,21.0,37.0,36
29197,0,,51.0,50
29199,0,,50.0,50
29201,0,21.0,42.0,40
29203,0,,30.0,30
29205,0,,41.0,41
29207,0,28.0,31.0,31
29209,0,,41.0,41
29211,0,,37.0,37
29213,0,24.0,40.0,40
29215,0,0.0,35.0,35
29217,0,29.0,33.0,33
29219,1,28.0,49.0,48
29221,1,0.0,32.0,32
29223,0,,19.0,19
29225,1,,46.0,46
29227,0,,32.0,32
29229,0,,34.0,34
29510,1,31.0,50.0,41
29990,0,,,55
30001,0,,55.0,55
30003,0,,49.0,37
30005,0,,29.0,25
30007,0,,45.0,45
30009,1,,52.0,52
30011,0,,38.0,38
30013,1,32.0,47.0,47
30015,0,,28.0,27
30017,0,,40.0,40
30019,0,,8.0,7
30021,0,,44.0,43
30023,0,,49.0,49
30025,0,,38.0,38
30027,0,,46.0,46
30029,0,17.0,45.0,44
30031,0,31.0,50.0,50
30033,0,,30.0,30
30035,0,,28.0,26
30037,0,,43.0,43
30039,0,,39.0,39
30041,0,,37.0,33
30043,0,,47.0,46
30045,0,,43.0,43
30047,0,,38.0,34
30049,0,45.0,50.0,50
30051,0,,31.0,31
30053,0,,23.0,23
30055,0,,48.0,48
30057,0,,26.0,25
30059,0,,16.0,16
30061,0,,27.0,27
30063,1,26.0,52.0,52
30065,0,,30.0,30
30067,0,,30.0,30
30069,0,,47.0,47
30071,0,,31.0,30
30073,0,,36.0,35
30075,0,,41.0,41
30077,0,,35.0,34
30079,0,,36.0,36
30081,0,21.0,37.0,37
30083,0,,50.0,50
30085,0,,29.0,31
30087,0,,23.0,26
30089,0,,22.0,22
30091,0,,39.0,39
30093,0,0.0,47.0,46
30095,0,,36.0,36
30097,0,,24.0,24
30099,0,,41.0,41
30101,0,,32.0,31
30103,0,,50.0,49
30105,0,,29.0,29
30107,0,,20.0,20
30109,0,,39.0,39
30111,1,36.0,56.0,55
31001,0,50.0,62.0,62
31003,0,,34.0,34
31005,0,,46.0,46
31007,0,,42.0,42
31009,0,,35.0,35
31011,0,,40.0,40
31013,0,,44.0,44
31015,0,,30.0,30
31017,0,,10.0,10
31019,0,17.0,65.0,64
31021,0,,26.0,26
31023,0,,53.0,53
31025,1,,57.0,57
31027,0,,46.0,46
31029,0,,18.0,18
31031,0,,12.0,12
31033,0,,44.0,43
31035,0,,47.0,47
31037,0,,46.0,44
31039,0,,31.0,30
31041,0,,48.0,48
31043,1,,49.0,46
31045,0,,40.0,40
31047,0,33.0,35.0,34
31049,0,,36.0,36
31051,1,0.0,49.0,46
31053,0,,66.0,66
31055,1,41.0,66.0,63
31057,0,,11.0,11
31059,0,,39.0,39
31061,0,,26.0,26
31063,0,,41.0,41
31065,0,,27.0,27
31067,0,21.0,43.0,43
31069,0,,24.0,23
31071,0,,26.0,26
31073,0,,45.0,46
31075,0,,38.0,38
31077,0,,38.0,38
31079,0,45.0,59.0,58
31081,0,,59.0,59
31083,0,,25.0,25
31085,0,,54.0,53
31087,0,,37.0,37
31089,0,,11.0,11
31091,0,,61.0,62
31093,0,,32.0,32
31095,0,,28.0,27
31097,0,,14.0,13
31099,0,,37.0,36
31101,0,,44.0,43
31103,0,,16.0,16
31105,0,,18.0,18
31107,0,,46.0,45
31109,1,37.0,65.0,64
31111,0,26.0,53.0,52
31113,0,,38.0,39
31115,0,,31.0,31
31117,0,,52.0,52
31119,0,38.0,54.0,53
31121,0,,41.0,41
31123,0,,42.0,41
31125,0,,22.0,22
31127,0,,56.0,56
31129,0,,25.0,24
31131,0,,39.0,39
31133,0,,11.0,11
31135,0,,47.0,47
31137,0,,52.0,51
31139,0,,41.0,41
31141,0,,60.0,59
31143,0,,61.0,61
31145,0,,55.0,55
31147,0,,40.0,39
31149,0,,7.0,7
31151,0,,35.0,34
31153,1,37.0,56.0,55
31155,1,,47.0,47
31157,0,,48.0,47
31159,1,,23.0,22
31161,0,,26.0,25
31163,0,,45.0,45
31165,0,,31.0,31
31167,0,,51.0,51
31169,0,,25.0,25
31171,0,,42.0,41
31173,0,,22.0,24
31175,0,,43.0,43
31177,1,,52.0,52
31179,0,,59.0,58
31181,0,,36.0,35
31183,0,,29.0,29
31185,0,,52.0,52
32001,0,20.0,35.0,36
32003,1,21.0,40.0,36
32005,0,38.0,49.0,49
32007,0,12.0,35.0,34
32009,0,,22.0,22
32011,0,,19.0,18
32013,0,,17.0,16
32015,0,,17.0,17
32017,0,24.0,35.0,33
32019,0,29.0,37.0,37
32021,0,20.0,25.0,23
32023,0,21.0,32.0,31
32027,0,,25.0,24
32029,1,,34.0,34
32031,1,30.0,50.0,48
32033,0,,30.0,30
32510,1,36.0,47.0,47
33001,0,38.0,52.0,52
33003,0,42.0,47.0,47
33005,0,34.0,52.0,52
33007,0,,42.0,42
33009,0,27.0,43.0,43
33011,1,32.0,56.0,55
33013,0,44.0,54.0,54
33015,1,36.0,55.0,55
33017,1,38.0,51.0,50
33019,0,17.0,42.0,42
34001,1,31.0,52.0,48
34003,1,39.0,56.0,54
34005,1,40.0,58.0,55
34007,1,37.0,56.0,52
34009,1,39.0,54.0,53
34011,1,34.0,51.0,47
34013,1,30.0,55.0,45
34015,1,37.0,52.0,50
34017,1,27.0,42.0,38
34019,1,43.0,55.0,55
34021,1,33.0,58.0,53
34023,1,38.0,56.0,53
34025,1,37.0,55.0,53
34027,1,47.0,60.0,59
34029,1,38.0,55.0,54
34031,1,33.0,52.0,48
34033,1,35.0,48.0,46
34035,1,40.0,59.0,57
34037,1,31.0,53.0,52
34039,1,35.0,55.0,49
34041,1,43.0,55.0,54
34990,0,,25.0,31
35001,1,26.0,41.0,38
35003,0,,26.0,26
35005,0,32.0,45.0,42
35006,0,25.0,35.0,36
35007,0,,46.0,46
35009,0,25.0,41.0,38
35011,0,,14.0,13
35013,1,33.0,42.0,39
35015,0,32.0,40.0,39
35017,0,27.0,39.0,38
35019,0,,40.0,41
35021,0,,33.0,33
35023,0,,23.0,21
35025,0,17.0,28.0,24
35027,0,31.0,44.0,43
35028,0,,46.0,46
35029,0,20.0,31.0,28
35031,0,37.0,41.0,48
35033,0,,40.0,40
35035,0,29.0,38.0,37
35037,0,15.0,32.0,32
35039,0,13.0,30.0,35
35041,0,19.0,24.0,23
35043,1,26.0,45.0,42
35045,1,27.0,46.0,48
35047,0,17.0,37.0,34
35049,1,36.0,47.0,44
35051,0,0.0,21.0,21
35053,0,36.0,39.0,37
35055,0,30.0,46.0,45
35057,1,,31.0,31
35059,0,,20.0,19
35061,1,28.0,38.0,36
36001,1,33.0,57.0,53
36003,0,26.0,46.0,46
36005,1,33.0,48.0,38
36007,1,36.0,53.0,52
36009,0,42.0,45.0,43
36011,0,39.0,56.0,55
36013,0,33.0,52.0,51
36015,1,35.0,49.0,49
36017,0,27.0,46.0,46
36019,0,34.0,48.0,47
36021,0,35.0,52.0,52
36023,0,56.0,52.0,52
36025,0,25.0,47.0,47
36027,1,40.0,54.0,52
36029,1,31.0,48.0,45
36031,0,52.0,52.0,52
36033,0,19.0,51.0,49
36035,0,42.0,45.0,45
36037,0,36.0,49.0,48
36039,0,42.0,45.0,45
36041,0,,51.0,51
36043,1,40.0,48.0,48
36045,0,28.0,52.0,51
36047,1,27.0,43.0,39
36049,0,,49.0,49
36051,1,61.0,50.0,49
36053,1,53.0,45.0,45
36055,1,38.0,52.0,49
36057,0,33.0,48.0,48
36059,1,37.0,60.0,57
36061,1,33.0,56.0,50
36063,1,29.0,42.0,41
36065,1,40.0,50.0,49
36067,1,37.0,56.0,54
36069,1,36.0,52.0,51
36071,1,39.0,53.0,51
36073,1,30.0,42.0,41
36075,1,35.0,48.0,47
36077,0,45.0,52.0,51
36079,1,40.0,54.0,53
36081,1,31.0,49.0,45
36083,1,36.0,53.0,52
36085,1,31.0,48.0,46
36087,1,34.0,57.0,53
36089,0,28.0,52.0,52
36091,1,39.0,56.0,56
36093,1,31.0,56.0,53
36095,1,49.0,52.0,51
36097,0,44.0,50.0,50
36099,0,42.0,53.0,53
36101,0,34.0,47.0,47
36103,1,37.0,57.0,55
36105,0,41.0,51.0,50
36107,1,40.0,50.0,50
36109,1,38.0,53.0,52
36111,1,34.0,50.0,49
36113,1,40.0,49.0,49
36115,1,32.0,48.0,48
36117,1,44.0,47.0,46
36119,1,37.0,60.0,56
36121,0,0.0,47.0,47
36123,0,,54.0,54
36990,0,,,64
37001,1,38.0,55.0,51
37003,1,36.0,46.0,46
37005,0,36.0,53.0,53
37007,1,36.0,51.0,45
37009,0,30.0,53.0,53
37011,0,36.0,49.0,49
37013,0,40.0,58.0,54
37015,0,35.0,45.0,39
37017,0,28.0,37.0,34
37019,1,42.0,61.0,60
37021,1,35.0,57.0,56
37023,1,41.0,54.0,53
37025,1,38.0,55.0,52
37027,1,45.0,56.0,55
37029,0,42.0,51.0,49
37031,0,33.0,52.0,51
37033,0,32.0,52.0,46
37035,1,40.0,57.0,56
37037,1,46.0,65.0,62
37039,0,36.0,46.0,46
37041,0,38.0,58.0,52
37043,0,,46.0,46
37045,0,36.0,53.0,50
37047,0,36.0,48.0,45
37049,0,46.0,61.0,57
37051,1,30.0,45.0,39
37053,1,36.0,49.0,48
37055,0,35.0,51.0,51
37057,0,37.0,52.0,51
37059,1,43.0,59.0,58
37061,0,30.0,48.0,42
37063,1,46.0,65.0,59
37065,1,41.0,57.0,49
37067,1,39.0,58.0,53
37069,1,43.0,60.0,56
37071,1,37.0,54.0,52
37073,0,39.0,49.0,45
37075,0,,39.0,39
37077,0,38.0,53.0,48
37079,1,40.0,55.0,50
37081,1,39.0,59.0,54
37083,0,37.0,53.0,45
37085,0,34.0,53.0,49
37087,1,42.0,51.0,50
37089,1,42.0,56.0,56
37091,0,41.0,50.0,45
37093,1,32.0,44.0,38
37095,0,43.0,47.0,46
37097,0,35.0,55.0,53
37099,0,28.0,49.0,48
37101,1,42.0,56.0,53
37103,0,53.0,55.0,54
37105,0,40.0,58.0,53
37107,0,39.0,55.0,49
37109,0,39.0,59.0,58
37111,0,31.0,42.0,41
37113,0,35.0,49.0,48
37115,1,54.0,43.0,43
37117,0,42.0,57.0,51
37119,1,38.0,61.0,54
37121,0,36.0,42.0,41
37123,0,41.0,54.0,52
37125,0,44.0,62.0,59
37127,1,41.0,61.0,53
37129,1,42.0,61.0,59
37131,0,41.0,55.0,48
37133,1,32.0,46.0,43
37135,1,47.0,65.0,63
37137,0,53.0,62.0,60
37139,0,33.0,49.0,44
37141,1,35.0,55.0,51
37143,0,34.0,53.0,50
37145,1,46.0,60.0,57
37147,1,41.0,57.0,51
37149,0,44.0,52.0,51
37151,1,41.0,55.0,54
37153,0,38.0,48.0,45
37155,0,33.0,45.0,39
37157,1,42.0,54.0,51
37159,0,33.0,51.0,48
37161,0,42.0,52.0,51
37163,0,35.0,52.0,47
37165,0,29.0,41.0,37
37167,1,39.0,54.0,52
