Geographic Area Name,Rate_Unemployment_Whole,Rate_Unemployment_White,Rate_Unemployment_Black,Rate_Unemployment_AIndA,Rate_Unemployment_Asian,Unemployment Parity
"Denali Borough, Alaska",0.015,0.012,0.0,0.087,0.0,0.012
"Dillingham Census Area, Alaska",0.11900000000000001,0.016,0.0,0.174,0.0,0.016
"Fairbanks North Star Borough, Alaska",0.065,0.047,0.057,0.179,0.06,-0.010000000000000002
"Haines Borough, Alaska",0.048,0.047,,0.079,0.0,
"Hoonah-Angoon Census Area, Alaska",0.107,0.05,0.0,0.22699999999999998,0.0,0.05
"Juneau City and Borough, Alaska",0.046,0.037000000000000005,0.031,0.14,0.004,0.006000000000000005
"Kenai Peninsula Borough, Alaska",0.07200000000000001,0.063,0.423,0.18,0.047,-0.36
"Ketchikan Gateway Borough, Alaska",0.059000000000000004,0.039,0.0,0.162,0.006,0.039
"Kodiak Island Borough, Alaska",0.055999999999999994,0.053,0.0,0.122,0.006,0.053
"Kusilvak Census Area, Alaska",0.272,0.0,0.0,0.31,0.0,0.0
"Lake and Peninsula Borough, Alaska",0.152,0.037000000000000005,0.0,0.207,0.0,0.037000000000000005
"Matanuska-Susitna Borough, Alaska",0.091,0.086,0.015,0.139,0.037000000000000005,0.071
"Nome Census Area, Alaska",0.172,0.03,0.044000000000000004,0.24100000000000002,0.02,-0.014000000000000005
"North Slope Borough, Alaska",0.09,0.013999999999999999,0.0,0.21100000000000002,0.03,0.013999999999999999
"Northwest Arctic Borough, Alaska",0.182,0.019,0.0,0.256,0.0,0.019
"Petersburg Borough, Alaska",0.040999999999999995,0.027999999999999997,0.042,0.17800000000000002,0.01,-0.014000000000000005
"Prince of Wales-Hyder Census Area, Alaska",0.113,0.076,0.0,0.168,0.0,0.076
"Sitka City and Borough, Alaska",0.05,0.028999999999999998,0.0,0.095,0.059000000000000004,0.028999999999999998
"Skagway Municipality, Alaska",0.065,0.068,0.0,0.073,0.0,0.068
"Southeast Fairbanks Census Area, Alaska",0.11,0.077,0.0,0.371,0.0,0.077
"Valdez-Cordova Census Area, Alaska",0.034,0.022000000000000002,0.455,0.115,0.006999999999999999,-0.433
"Wrangell City and Borough, Alaska",0.066,0.061,0.0,0.09699999999999999,0.0,0.061
"Yakutat City and Borough, Alaska",0.057999999999999996,0.040999999999999995,0.0,0.087,0.0,0.040999999999999995
"Yukon-Koyukuk Census Area, Alaska",0.17,0.052000000000000005,,0.22899999999999998,0.0,
"Apache, Arizona",0.105,0.045,0.040999999999999995,0.132,0.032,0.0040000000000000036
"Cochise, Arizona",0.063,0.06,0.064,0.14800000000000002,0.0,-0.0040000000000000036
"Coconino, Arizona",0.076,0.061,0.125,0.11699999999999999,0.045,-0.064
"Gila, Arizona",0.08800000000000001,0.059000000000000004,0.214,0.214,0.0,-0.155
"Graham, Arizona",0.083,0.057999999999999996,0.015,0.27399999999999997,0.048,0.043
"Greenlee, Arizona",0.057,0.052000000000000005,0.111,0.073,0.7,-0.059
"La Paz, Arizona",0.08900000000000001,0.068,0.0,0.183,0.0,0.068
"Maricopa, Arizona",0.05,0.045,0.083,0.099,0.038,-0.038000000000000006
"Mohave, Arizona",0.08,0.079,0.15,0.136,0.0,-0.071
"Navajo, Arizona",0.127,0.084,0.215,0.182,0.153,-0.131
"Pima, Arizona",0.07,0.062,0.09,0.159,0.048,-0.027999999999999997
"Pinal, Arizona",0.071,0.068,0.10400000000000001,0.12,0.009000000000000001,-0.036000000000000004
"Santa Cruz, Arizona",0.077,0.073,0.107,0.111,0.0,-0.034
"Yavapai, Arizona",0.057,0.055,0.040999999999999995,0.10400000000000001,0.1,0.014000000000000005
"Yuma, Arizona",0.1,0.096,0.051,0.07200000000000001,0.07200000000000001,0.045000000000000005
"Arkansas, Arkansas",0.057999999999999996,0.039,0.124,0.0,,-0.08499999999999999
"Ashley, Arkansas",0.054000000000000006,0.036000000000000004,0.133,0.0,0.0,-0.097
"Baxter, Arkansas",0.046,0.048,0.043,0.0,0.0,0.0050000000000000044
"Benton, Arkansas",0.024,0.024,0.03,0.036000000000000004,0.023,-0.005999999999999998
"Boone, Arkansas",0.045,0.04,0.0,0.0,0.0,0.04
"Bradley, Arkansas",0.076,0.048,0.14400000000000002,0.311,,-0.09600000000000002
"Calhoun, Arkansas",0.044000000000000004,0.035,0.079,,,-0.044
"Carroll, Arkansas",0.037000000000000005,0.027000000000000003,0.0,0.0,0.0,0.027000000000000003
"Chicot, Arkansas",0.099,0.054000000000000006,0.133,,0.0,-0.079
