GEOID,hesitancy,strong_hesitancy
08089,0.18,0.07
08091,0.16,0.06
08093,0.16,0.06
08095,0.19,0.08
08097,0.14,0.05
08099,0.18,0.07
08101,0.17,0.07
08103,0.17,0.07
08105,0.18,0.07
08107,0.17,0.07
08109,0.18,0.07
08111,0.16,0.06
08113,0.16,0.06
08115,0.19,0.08
08117,0.14,0.05
08119,0.19,0.07
08121,0.19,0.08
08123,0.16,0.06
08125,0.19,0.08
09001,0.09,0.04
09003,0.1,0.04
09005,0.1,0.04
09007,0.1,0.04
09009,0.11,0.04
09011,0.11,0.04
09013,0.1,0.04
09015,0.12,0.05
10001,0.16,0.05
10003,0.13,0.04
10005,0.12,0.04
11001,0.1,0.04
12001,0.2,0.08
12003,0.23,0.1
12005,0.23,0.1
12007,0.26,0.12
12009,0.19,0.09
12011,0.2,0.09
12013,0.25,0.12
12015,0.18,0.08
12017,0.2,0.09
12019,0.21,0.09
12021,0.16,0.08
12023,0.26,0.12
12027,0.22,0.1
12029,0.26,0.12
12031,0.23,0.1
12033,0.24,0.1
12035,0.18,0.08
12037,0.25,0.12
12039,0.25,0.12
12041,0.26,0.12
12043,0.23,0.11
12045,0.25,0.12
12047,0.26,0.12
12049,0.22,0.1
12051,0.23,0.11
12053,0.21,0.1
12055,0.22,0.1
12057,0.21,0.09
12059,0.23,0.1
12061,0.19,0.09
12063,0.25,0.12
12065,0.25,0.12
12067,0.26,0.12
12069,0.19,0.09
12071,0.18,0.08
12073,0.2,0.08
12075,0.26,0.12
12077,0.25,0.12
12079,0.26,0.12
12081,0.19,0.09
12083,0.21,0.1
12085,0.16,0.07
12086,0.19,0.09
12087,0.21,0.1
12089,0.23,0.1
12091,0.23,0.1
12093,0.23,0.11
12095,0.2,0.09
12097,0.2,0.1
12099,0.18,0.08
12101,0.21,0.09
12103,0.19,0.08
12105,0.22,0.1
12107,0.23,0.1
12109,0.18,0.08
12111,0.21,0.09
12113,0.23,0.1
12115,0.17,0.07
12117,0.18,0.08
12119,0.17,0.08
12121,0.26,0.12
12123,0.26,0.12
12125,0.26,0.12
12127,0.2,0.09
12129,0.25,0.12
12131,0.23,0.1
12133,0.23,0.1
13001,0.27,0.12
13003,0.28,0.13
13005,0.28,0.13
13007,0.27,0.12
13009,0.23,0.1
13011,0.24,0.11
13013,0.23,0.1
13015,0.25,0.11
13017,0.26,0.12
13019,0.26,0.12
13021,0.24,0.11
13023,0.26,0.12
13025,0.28,0.13
13027,0.26,0.12
13029,0.27,0.11
13031,0.25,0.1
13033,0.26,0.12
13035,0.25,0.11
13037,0.27,0.12
13039,0.24,0.1
13043,0.26,0.12
13045,0.26,0.11
13047,0.25,0.11
13049,0.28,0.13
13051,0.23,0.1
13053,0.25,0.11
13055,0.25,0.11
13057,0.2,0.09
13059,0.22,0.09
13061,0.24,0.11
13063,0.26,0.11
13065,0.28,0.13
13067,0.19,0.08
13069,0.28,0.13
13071,0.25,0.11
13073,0.2,0.08
13075,0.26,0.12
13077,0.21,0.09
13079,0.23,0.1
13081,0.24,0.11
13083,0.25,0.11
13085,0.21,0.09
13087,0.27,0.12
13089,0.21,0.09
13091,0.26,0.12
13093,0.24,0.11
13095,0.25,0.11
13097,0.23,0.1
13099,0.27,0.12
13101,0.28,0.13
13103,0.25,0.1
13105,0.22,0.1
13107,0.26,0.12
13109,0.27,0.12
13111,0.25,0.11
13113,0.17,0.07
13115,0.25,0.11
13117,0.16,0.07
13119,0.24,0.11
13121,0.19,0.08
13123,0.25,0.11
13125,0.26,0.12
13127,0.24,0.1
13129,0.25,0.11
13131,0.27,0.12
13133,0.22,0.1
13135,0.19,0.08
13137,0.24,0.11
13139,0.22,0.1
13141,0.26,0.12
13143,0.25,0.11
13145,0.24,0.11
13147,0.24,0.11
13149,0.26,0.11
13151,0.22,0.09
13153,0.23,0.1
13155,0.26,0.12
13157,0.23,0.1
13159,0.23,0.1
13161,0.27,0.12
13163,0.26,0.12
13165,0.26,0.12
13167,0.26,0.12
13169,0.23,0.1
13171,0.25,0.11
13173,0.28,0.13
13175,0.26,0.12
13177,0.25,0.11
13179,0.27,0.11
13181,0.26,0.12
13183,0.27,0.11
13185,0.26,0.11
13187,0.21,0.09
13189,0.26,0.12
13191,0.24,0.1
13193,0.24,0.11
13195,0.22,0.1
13197,0.24,0.11
13199,0.26,0.11
13201,0.27,0.12
13205,0.27,0.12
13207,0.23,0.1
13209,0.27,0.12
13211,0.23,0.1
13213,0.25,0.11
13215,0.25,0.11
13217,0.24,0.1
13219,0.22,0.1
13221,0.22,0.1
13223,0.24,0.1
13225,0.23,0.1
13227,0.25,0.11
13229,0.28,0.13
13231,0.25,0.11
13233,0.25,0.11
13235,0.23,0.1
13237,0.23,0.1
13239,0.24,0.11
13241,0.21,0.09
13243,0.24,0.11
13245,0.26,0.11
13247,0.24,0.1
13249,0.24,0.11
13251,0.25,0.1
13253,0.27,0.12
13255,0.25,0.11
13257,0.24,0.11
13259,0.24,0.11
13261,0.24,0.11
13263,0.24,0.11
13265,0.26,0.12
13267,0.27,0.12
13269,0.24,0.11
13271,0.27,0.12
13273,0.27,0.12
13275,0.25,0.11
13277,0.26,0.12
13279,0.27,0.12
13281,0.21,0.09
13283,0.26,0.12
13285,0.26,0.11
13287,0.26,0.12
13289,0.23,0.1
13291,0.21,0.09
13293,0.25,0.11
13295,0.25,0.11
13297,0.23,0.1
13299,0.28,0.13
13301,0.26,0.12
13303,0.26,0.12
13305,0.27,0.12
13307,0.24,0.11
13309,0.27,0.12
13311,0.21,0.09
13313,0.24,0.11
13315,0.26,0.12
13317,0.26,0.12
13319,0.23,0.1
13321,0.25,0.11
15001,0.12,0.05
15003,0.1,0.04
15005,0.11,0.05
15007,0.11,0.05
15009,0.11,0.05
16001,0.24,0.11
16003,0.24,0.12
16005,0.27,0.13
16007,0.27,0.13
16009,0.25,0.11
16011,0.27,0.12
16013,0.28,0.13
16015,0.24,0.12
16017,0.25,0.11
16019,0.25,0.12
16021,0.25,0.11
16023,0.24,0.12
16025,0.28,0.13
16027,0.25,0.12
16029,0.27,0.13
16031,0.27,0.13
16033,0.24,0.12
16035,0.24,0.12
16037,0.24,0.12
16039,0.28,0.13
16041,0.27,0.13
16043,0.27,0.12
16045,0.22,0.1
16047,0.28,0.13
16049,0.24,0.12
16051,0.27,0.12
16053,0.28,0.13
16055,0.25,0.12
16057,0.25,0.11
16059,0.24,0.12
16061,0.24,0.12
16063,0.28,0.13
16065,0.27,0.12
16067,0.28,0.13
16069,0.24,0.12
16071,0.27,0.13
16073,0.26,0.13
16075,0.22,0.1
16077,0.27,0.13
16079,0.25,0.11
16081,0.27,0.12
16083,0.27,0.13
16085,0.24,0.12
16087,0.22,0.1
17001,0.17,0.08
17003,0.18,0.08
17005,0.18,0.08
17007,0.16,0.07
17009,0.17,0.08
17011,0.16,0.07
17013,0.18,0.08
17015,0.17,0.07
17017,0.18,0.08
17019,0.15,0.06
17021,0.18,0.08
17023,0.18,0.08
17025,0.18,0.08
17027,0.18,0.08
17029,0.17,0.08
17031,0.14,0.07
17033,0.18,0.08
17035,0.17,0.08
17037,0.15,0.06
17039,0.18,0.08
17041,0.17,0.08
17043,0.12,0.05
17045,0.17,0.08
17047,0.18,0.08
17049,0.18,0.08
17051,0.18,0.08
17053,0.19,0.09
17055,0.18,0.08
17057,0.17,0.08
17059,0.18,0.08
17061,0.18,0.08
17063,0.14,0.06
17065,0.18,0.08
17067,0.17,0.08
17069,0.18,0.08
17071,0.17,0.08
17073,0.17,0.08
17075,0.19,0.09
17077,0.18,0.08
17079,0.18,0.08
17081,0.18,0.08
17083,0.18,0.08
17085,0.17,0.07
17087,0.18,0.08
17089,0.14,0.07
17091,0.18,0.08
17093,0.14,0.06
17095,0.16,0.07
17097,0.13,0.06
17099,0.17,0.08
17101,0.18,0.08
17103,0.17,0.07
17105,0.19,0.09
17107,0.18,0.08
17109,0.17,0.08
17111,0.14,0.06
17113,0.15,0.06
17115,0.18,0.08
17117,0.18,0.08
17119,0.16,0.07
17121,0.18,0.08
17123,0.16,0.07
17125,0.17,0.08
17127,0.18,0.08
17129,0.18,0.08
17131,0.17,0.08
17133,0.18,0.08
17135,0.18,0.08
17137,0.18,0.08
17139,0.18,0.08
17141,0.16,0.07
17143,0.16,0.07
17145,0.18,0.08
17147,0.18,0.08
17149,0.17,0.08
17151,0.18,0.08
17153,0.18,0.08
17155,0.16,0.07
17157,0.18,0.08
17159,0.18,0.08
17161,0.17,0.08
17163,0.18,0.08
17165,0.18,0.08
17167,0.16,0.07
17169,0.17,0.08
17171,0.18,0.08
17173,0.18,0.08
17175,0.16,0.07
17177,0.16,0.07
17179,0.16,0.07
17181,0.18,0.08
17183,0.19,0.09
17185,0.18,0.08
17187,0.17,0.08
17189,0.18,0.08
17191,0.18,0.08
17193,0.18,0.08
17195,0.17,0.07
17197,0.15,0.07
17199,0.18,0.08
17201,0.17,0.08
17203,0.16,0.07
18001,0.2,0.08
18003,0.18,0.07
18005,0.17,0.07
18007,0.2,0.09
18009,0.21,0.09
18011,0.15,0.06
18013,0.19,0.08
18015,0.2,0.09
18017,0.2,0.08
18019,0.19,0.08
18021,0.2,0.09
18023,0.2,0.09
18025,0.19,0.08
18027,0.2,0.08
18029,0.18,0.08
18031,0.2,0.09
18033,0.21,0.09
18035,0.19,0.08
18037,0.19,0.08
18039,0.2,0.09
18041,0.2,0.08
18043,0.18,0.08
18045,0.2,0.09
18047,0.18,0.08
18049,0.19,0.08
18051,0.17,0.07
18053,0.2,0.09
18055,0.2,0.08
18057,0.13,0.05
18059,0.19,0.08
18061,0.18,0.08
18063,0.16,0.06
18065,0.21,0.09
18067,0.2,0.08
18069,0.2,0.08
18071,0.17,0.07
18073,0.19,0.08
18075,0.21,0.09
18077,0.2,0.09
18079,0.2,0.09
18081,0.17,0.07
18083,0.19,0.08
18085,0.19,0.08
18087,0.21,0.09
18089,0.18,0.08
18091,0.2,0.09
18093,0.2,0.08
18095,0.2,0.09
18097,0.19,0.08
18099,0.19,0.08
18101,0.2,0.08
18103,0.2,0.09
18105,0.17,0.07
18107,0.2,0.09
18109,0.19,0.08
18111,0.19,0.08
18113,0.21,0.09
18115,0.18,0.08
18117,0.2,0.08
18119,0.2,0.08
18121,0.2,0.09
18123,0.19,0.08
18125,0.19,0.08
18127,0.17,0.07
18129,0.17,0.07
18131,0.19,0.08
18133,0.19,0.08
18135,0.21,0.09
18137,0.18,0.08
18139,0.2,0.08
18141,0.19,0.08
18143,0.2,0.09
18145,0.19,0.08
18147,0.19,0.08
18149,0.19,0.08
18151,0.21,0.09
18153,0.2,0.09
18155,0.18,0.08
18157,0.18,0.07
18159,0.2,0.08
18161,0.2,0.08
18163,0.19,0.08
18165,0.2,0.09
18167,0.2,0.09
18169,0.2,0.09
18171,0.2,0.09
18173,0.17,0.07
18175,0.18,0.08
18177,0.2,0.08
18179,0.2,0.08
18181,0.2,0.09
18183,0.2,0.08
19001,0.21,0.11
19003,0.21,0.11
19005,0.2,0.1
19007,0.21,0.11
19009,0.21,0.11
19011,0.21,0.11
19013,0.2,0.1
19015,0.19,0.09
19017,0.2,0.1
19019,0.2,0.1
19021,0.19,0.1
19023,0.2,0.11
19025,0.19,0.1
19027,0.19,0.1
19029,0.21,0.11
19031,0.2,0.11
