GEOID,Segregation index,Average Traffic Volume per Meter of Major Roadways,% Vaccinated,% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (White),Violent Crime Rate
13177,13.444844267,39.117745791,43.0,29.0,37.0,44.0,174.70099253
13179,23.885090703,57.04517774,32.0,31.0,25.0,37.0,478.32962261
13181,16.191630566,6.527436463,44.0,,36.0,45.0,417.64552336
13183,1.2377681724,26.755179333,37.0,,27.0,39.0,95.47611693
13185,50.544371745,106.76887911,37.0,41.0,27.0,40.0,279.97415623
13187,53.464278375,44.623691043,41.0,,,41.0,41.419081452
13189,33.712352621,57.573424,48.0,,37.0,51.0,154.1086466
13191,23.735402541,37.387719217,40.0,,38.0,40.0,138.41362605
13193,14.656790183,3.9433478648,37.0,,30.0,42.0,310.55900621
13195,36.518550144,23.622413717,48.0,,31.0,49.0,191.18389727
13197,68.170897035,17.597983579,41.0,,39.0,44.0,57.10370032
13199,18.54327518,22.103860334,39.0,,32.0,42.0,321.27913927
13201,35.591394705,27.522859284,37.0,,22.0,39.0,188.21113868
13205,34.520393682,41.213910828,39.0,,32.0,42.0,262.40298873
13207,30.29443568,182.19355077,45.0,,36.0,47.0,178.27932879
13209,34.596121863,31.024244333,34.0,,26.0,36.0,
13211,38.002843344,50.530951204,46.0,,33.0,48.0,176.13903241
13213,61.00018861,42.406464943,48.0,,,48.0,447.67980114
13215,60.010198028,473.28947692,40.0,41.0,30.0,46.0,566.92058711
13217,32.459770952,67.316023372,45.0,53.0,34.0,49.0,396.49067627
13219,6.3470032755,45.801098835,53.0,49.0,34.0,53.0,114.12308386
13221,5.1971579038,18.259182207,48.0,,36.0,50.0,357.67815779
13223,28.014323306,72.347517381,46.0,52.0,37.0,47.0,143.32230346
13225,45.052921136,117.50284533,40.0,25.0,33.0,41.0,514.94270092
13227,52.872669301,39.31743274,48.0,,,48.0,226.126595
13229,24.854054254,55.572979492,40.0,,26.0,42.0,324.81990832
13231,28.295742126,19.35944333,39.0,,35.0,40.0,93.262491522
13233,22.673661558,94.237071859,45.0,,38.0,46.0,568.9745114
13235,16.29144117,49.791169124,42.0,,33.0,44.0,632.25058005
13237,51.618557907,40.320841489,44.0,,31.0,46.0,422.47274934
13239,,33.182201066,41.0,,31.0,54.0,152.07473387
13241,,65.168470158,42.0,,,42.0,125.9678014
13243,22.933663447,30.586069125,25.0,,15.0,30.0,253.48542459
13245,45.374210097,395.84031361,37.0,43.0,27.0,44.0,428.73782558
13247,24.956736211,178.3585058,43.0,56.0,34.0,47.0,300.47839323
13249,16.279678693,10.871204197,44.0,,29.0,47.0,155.0838422
13251,13.992399437,22.686397468,29.0,,24.0,31.0,341.75334324
13253,46.450651824,53.047482051,37.0,,23.0,40.0,260.62322946
13255,41.295335105,142.57107063,42.0,43.0,29.0,45.0,584.59422283
13257,42.001302768,62.181462768,49.0,27.0,33.0,50.0,275.95655152
13259,12.74661522,21.302872174,44.0,,41.0,46.0,22.914757104
13261,29.156525715,79.703006768,41.0,,28.0,46.0,696.18169849
13263,16.585655861,13.54545865,42.0,,28.0,48.0,89.781260202
13265,,12.222640423,33.0,,16.0,47.0,178.41213202
13267,28.97091135,37.406675045,37.0,,25.0,40.0,105.20999916
13269,15.151295896,30.027700133,40.0,,28.0,43.0,174.15325486
13271,14.199044442,48.067309201,36.0,,24.0,39.0,191.80642306
13273,47.190124668,193.66317733,37.0,,25.0,43.0,377.7987666
13275,35.658142267,78.583990396,46.0,38.0,34.0,49.0,264.48665545
13277,52.433151253,147.85241252,50.0,64.0,41.0,52.0,564.85355649
13279,20.234706425,60.977680604,35.0,40.0,23.0,37.0,424.61165177
13281,,60.693525979,50.0,,,,320.25259359
13283,34.606529004,31.527447937,41.0,,22.0,45.0,122.16641781
13285,34.07908523,89.634992372,40.0,42.0,29.0,44.0,332.15234721
13287,43.047369198,93.193045573,48.0,,28.0,53.0,1306.9770466
13289,15.808261274,13.618555787,43.0,,35.0,48.0,222.03552568
13291,,35.833659346,46.0,,,46.0,165.39786116
13293,43.044996032,94.471181821,41.0,,36.0,42.0,381.16549409
13295,28.748783228,50.467827658,45.0,47.0,33.0,45.0,555.5718863
13297,37.52972215,68.020424321,46.0,38.0,33.0,48.0,302.26098044
13299,39.927859012,137.84890577,41.0,18.0,28.0,43.0,500.01412469
13301,10.895520011,14.197338124,44.0,,34.0,51.0,277.77777778
13303,14.340861513,4.4287692177,39.0,,29.0,44.0,264.31718062
13305,45.065716544,52.266563692,43.0,,25.0,45.0,591.02051781
13307,2.2926629379,8.4547834511,47.0,,25.0,48.0,131.2335958
13309,4.4403392254,17.693292661,39.0,,26.0,42.0,50.466818067
13311,43.436142219,44.653870011,46.0,,23.0,46.0,173.3132903
13313,36.240867333,225.68103414,49.0,53.0,39.0,50.0,263.3816444
13315,22.799215593,20.788097273,35.0,,25.0,37.0,257.63930497
13317,24.396822662,17.756397299,38.0,,24.0,44.0,308.07147258
13319,9.0902751513,11.222534046,38.0,,27.0,41.0,179.28031758
13321,20.730801682,100.40570081,40.0,,25.0,44.0,419.12152129
15000,54.670115838,995.66080391,42.0,,,,284.29299629
15001,46.228973785,83.347371173,35.0,41.0,15.0,30.0,237.33140865
15003,48.246081951,1370.9615502,46.0,50.0,22.0,38.0,237.65232449
15005,,0.0,,,,,
15007,53.050573736,154.23418976,39.0,45.0,14.0,34.0,235.30394587
15009,58.423737039,168.61834418,36.0,39.0,25.0,35.0,293.27217125
16000,67.945520008,165.4185493,41.0,,,,221.36457516
16001,49.253771912,277.25357103,48.0,45.0,41.0,48.0,230.63350167
16003,,42.144859882,31.0,,,,117.34028683
16005,56.321052571,251.48825169,43.0,41.0,39.0,43.0,254.27756654
16007,,64.8833309,23.0,,,,176.07109919
16009,,67.539931071,27.0,,,27.0,272.13467502
16011,,66.538675491,29.0,34.0,,29.0,163.32115781
16013,,41.30367308,49.0,53.0,,49.0,173.3102253
16015,,22.814561728,33.0,,,,163.58093539
16017,,65.082571204,35.0,,,35.0,165.77173952
16019,71.074308037,156.00969086,47.0,55.0,37.0,47.0,274.32234233
16021,,76.67309717,26.0,,,26.0,93.984962406
16023,,35.588570305,27.0,,,,138.86133704
16025,,7.7513285213,31.0,,,,0.0
16027,66.687577943,197.82582223,42.0,45.0,34.0,42.0,263.36632233
16029,,28.06168084,36.0,,,,58.879811585
16031,,104.09952314,42.0,,,42.0,188.14874321
16033,,12.328138945,39.0,,,,233.3722287
16035,,31.695809077,42.0,,,42.0,239.13677457
16037,,11.11988625,32.0,,,,60.153994225
16039,18.662099734,67.631458719,23.0,8.0,16.0,24.0,181.0268459
16041,,48.238446832,43.0,,,43.0,38.20001528
16043,,73.252834032,40.0,,,40.0,81.528068949
16045,,56.411968007,32.0,,,33.0,183.43195266
16047,,25.253110304,28.0,,,29.0,157.72870662
16049,,32.016102447,23.0,,,23.0,135.15173854
16051,,50.296584656,44.0,,,44.0,51.092093499
16053,,22.938965947,38.0,,,39.0,277.78992957
16055,77.53415719,151.35943919,43.0,33.0,44.0,43.0,255.34153178
16057,51.071948837,110.4530968,46.0,60.0,,46.0,105.2834307
16059,,35.609625756,34.0,,,34.0,174.76859344
16061,,37.830227029,36.0,,,36.0,128.88258796
16063,,66.640220379,31.0,,,32.0,177.09012956
16065,,205.34377073,43.0,,,44.0,53.712728607
16067,,40.082042747,35.0,,,35.0,167.65885069
16069,,39.717638619,45.0,33.0,,45.0,144.80914897
16071,,14.383207454,24.0,,,,69.718800837
16073,,41.05498891,32.0,,,32.0,183.39009693
16075,,121.41652033,37.0,,,38.0,220.24990732
16077,,88.298903327,37.0,,,38.0,110.42546281
16079,,128.36143368,38.0,,,37.0,396.41639578
16081,,34.549122626,32.0,,,32.0,85.336367515
16083,62.869461395,135.43172759,47.0,35.0,27.0,48.0,242.34786613
16085,,40.502886131,42.0,,,,327.20865844
16087,,45.726510051,27.0,,,28.0,100.21044193
17000,71.215077331,508.45567267,46.0,,,,403.07032297
17001,52.177794828,98.741377982,41.0,47.0,34.0,41.0,346.26928864
17003,60.031886988,66.108530698,35.0,,21.0,39.0,1316.354271
17005,51.010363874,34.318511644,46.0,,29.0,46.0,39.246467818
17007,26.34336581,93.613679915,48.0,34.0,45.0,49.0,170.90824189
17009,,60.173422298,32.0,,,,134.39470692
17011,,69.918944719,42.0,35.0,25.0,42.0,131.69377231
17013,,4.2839031109,42.0,,,,
17015,,59.027074692,46.0,,,46.0,46.851208371
17017,35.538754719,31.347975173,38.0,,,38.0,518.05458904
17019,45.570158669,213.93183672,48.0,47.0,36.0,50.0,487.2054149
17021,81.097699841,82.605487096,42.0,,,,184.74630041
17023,,44.212383336,36.0,,,,189.13274755
17025,,55.839055085,38.0,,,,59.755004482
17027,61.151274541,49.443899314,40.0,,24.0,40.0,146.249638
17029,44.423820649,173.64859811,42.0,36.0,20.0,43.0,277.51205236
17031,77.928359881,947.14271413,45.0,53.0,33.0,50.0,619.81359093
17033,,42.976384517,40.0,,,,288.53089685
17035,,45.213790241,36.0,,,,115.15961122
17037,56.470605775,114.82800331,50.0,43.0,33.0,51.0,275.76126675
17039,,123.75711065,43.0,,,,188.23201339
17041,,46.191698207,44.0,,,44.0,223.22120601
17043,40.888103873,509.66947724,52.0,51.0,39.0,53.0,88.585961321
17045,,114.66873106,32.0,,,,293.76663913
17047,,57.902673449,35.0,,,,
17049,60.091805949,139.86479069,34.0,41.0,,35.0,180.76428934
17051,,56.607609303,40.0,,,,135.33761902
17053,35.192299248,38.800454192,30.0,,,,252.25903614
17055,64.826206128,130.32566659,35.0,,26.0,35.0,160.30824181
17057,,90.542523378,35.0,,,35.0,115.29038766
17059,,22.510850275,31.0,,,,179.67434026
17061,,8.9468357937,35.0,,,,202.94648226
17063,37.842962314,154.48369246,45.0,,19.0,45.0,101.41679259
17065,,38.047121711,35.0,,,,55.391432792
17067,,47.170940787,41.0,,,,75.6859035
17069,,7.6809454634,17.0,,,,206.58646251
17071,,17.600451003,46.0,,,,
17073,56.66503593,67.683432345,50.0,,19.0,50.0,129.81344912
17075,,64.548336437,37.0,,24.0,38.0,136.36621906
17077,41.720952076,152.48715191,40.0,18.0,24.0,41.0,418.52060212
17079,,30.116017627,39.0,,,,
17081,68.054509094,94.09151159,44.0,,28.0,45.0,602.70827354
17083,,42.443405203,40.0,,,,132.04717889
17085,,66.361878278,47.0,,,47.0,131.11284906
17087,,27.486233707,44.0,,,,262.14009454
17089,46.574001723,200.32417795,49.0,49.0,37.0,51.0,165.71738515
17091,60.648034415,230.99635477,46.0,46.0,32.0,47.0,317.84175691
17093,21.88724075,152.60797045,53.0,58.0,35.0,54.0,104.20369984
17095,46.869126358,93.215250688,50.0,68.0,35.0,51.0,354.78735501
17097,56.129271222,203.23131163,51.0,50.0,35.0,53.0,154.19857244
17099,53.218951075,122.30685701,45.0,41.0,38.0,45.0,124.61986292
17101,,38.082894044,45.0,,55.0,45.0,107.31148948
17103,41.745543827,133.68257536,44.0,46.0,33.0,44.0,141.62216387
17105,53.309052158,69.779400884,51.0,,33.0,51.0,183.64480933
17107,,75.209389911,41.0,,32.0,41.0,233.22987495
17109,49.685758034,104.84666431,47.0,42.0,36.0,47.0,257.36571194
17111,46.855051553,150.99605192,50.0,51.0,34.0,50.0,95.731314112
17113,39.865495738,202.15152312,57.0,57.0,45.0,57.0,287.30394327
17115,54.599987736,188.69786797,46.0,45.0,29.0,48.0,389.60553025
17117,60.343464082,38.620131133,35.0,,26.0,35.0,170.07381203
17119,52.147274101,155.84471318,51.0,50.0,36.0,52.0,248.72637528
17121,69.849226663,126.89271803,46.0,,33.0,46.0,347.06626924
17123,,37.961809151,43.0,,,,161.11707841
17125,,37.850542032,35.0,,,,363.5996364
17127,22.441284961,37.172001142,47.0,,33.0,48.0,318.13720513
17129,,16.214571699,39.0,,,,83.766863592
17131,,30.751700552,44.0,,,,95.712098009
17133,,118.88966484,52.0,,,,31.124483111
17135,,61.976503807,31.0,,,,132.05324958
17137,63.290068896,81.551340016,42.0,,28.0,42.0,169.02598775
17139,,86.742087119,43.0,,,,
17141,59.620248504,83.207204117,49.0,64.0,52.0,49.0,71.13422292
17143,63.059847599,238.52190058,49.0,56.0,34.0,50.0,523.7788085
17145,55.728742713,94.407312147,29.0,,18.0,29.0,131.49401105
17147,,42.458409797,49.0,,,,167.18414139
17149,,54.416932589,24.0,,,,94.029149036
17151,,2.9359982092,28.0,,,,
17153,31.518854057,8.3495759738,36.0,,21.0,41.0,351.09458901
17155,,10.560313349,41.0,,,41.0,11.564704522
17157,66.2947842,85.134696065,29.0,,7.0,30.0,97.469107249
17159,77.391150153,39.002799659,48.0,,,,333.60354181
17161,43.395057513,204.83303349,52.0,48.0,37.0,54.0,346.51461194
17163,57.518636738,182.52537976,43.0,38.0,30.0,47.0,615.22031852
17165,40.341566428,111.72079999,25.0,,17.0,25.0,345.6446599
17167,56.197917183,216.48548531,51.0,51.0,38.0,53.0,814.52151736
17169,55.983908817,47.122703323,33.0,,,,139.74287311
17171,,18.538793473,39.0,,,,27.921262041
17173,78.385098996,54.685945241,46.0,,,,51.85227862
17175,,18.803560209,45.0,,,,40.733197556
17177,54.571646367,107.02735429,47.0,,36.0,48.0,127.64782999
17179,63.453041655,149.32462448,52.0,53.0,36.0,52.0,241.30028393
17181,69.704145895,76.291917022,52.0,,62.0,52.0,211.999152
17183,63.427007719,160.25176817,34.0,28.0,25.0,35.0,704.73158584
17185,,123.43036387,30.0,,,,156.50812973
17187,55.791635831,24.08248151,41.0,31.0,,41.0,230.66408475
17189,,50.467983485,47.0,,,,331.59127771
17191,48.83856708,72.333462982,43.0,,,,283.06742151
17193,,110.92211384,41.0,,,,278.35768963
17195,62.08347008,106.59008947,46.0,29.0,37.0,47.0,190.9600245
17197,51.860681569,236.94176767,46.0,47.0,34.0,47.0,162.86176232
17199,45.61406751,101.76732017,43.0,39.0,41.0,43.0,63.022893066
17201,51.843095384,271.14620898,49.0,50.0,34.0,50.0,887.49641571
17203,,39.549952422,55.0,,,,73.28965868
18000,67.781417261,247.934521,49.0,,,,385.06692564
18001,59.839874961,84.129103983,44.0,,,44.0,
18003,55.608848891,162.46093847,48.0,51.0,34.0,49.0,295.91109612
18005,35.100909789,144.49777063,55.0,61.0,46.0,56.0,95.543953301
18007,,28.833108873,53.0,,,53.0,
18009,,20.853095327,48.0,,,,49.336019406
18011,44.788982057,192.2406878,54.0,62.0,31.0,54.0,186.79396329
18013,,17.733728768,47.0,,,,187.35362998
18015,,55.826785273,48.0,,,,
18017,73.108306336,61.439475468,52.0,,40.0,53.0,70.385818561
18019,45.025893539,319.88413636,49.0,46.0,39.0,50.0,356.05002111
18021,71.499582455,138.86281595,41.0,,,,
18023,65.399929705,54.357164561,54.0,,,55.0,107.20740037
18025,,4.1940931985,40.0,,,,237.85738071
18027,70.411768485,50.162750759,30.0,,25.0,30.0,161.3811793
18029,78.313207835,121.70561423,53.0,,63.0,53.0,
18031,,125.00499777,40.0,,,,
18033,,72.120805677,47.0,,,47.0,117.40396356
18035,54.682574087,124.54240954,52.0,57.0,36.0,53.0,270.97838584
18037,71.712240407,143.02069752,45.0,,,45.0,395.26610709
18039,57.324203393,179.02883955,51.0,47.0,44.0,52.0,357.31477943
18041,55.846627875,204.86720148,45.0,,42.0,45.0,
18043,51.816788077,343.89890515,50.0,46.0,36.0,51.0,132.39098112
18045,,17.086575436,41.0,,,,
18047,,54.873374556,50.0,,,,36.311644691
18049,75.330582884,83.614754209,49.0,,,49.0,48.975022738
18051,52.417707531,120.17661532,53.0,,40.0,53.0,114.70419553
18053,57.032259193,132.79354864,48.0,43.0,35.0,49.0,233.84353741
18055,,66.009777815,41.0,,,,39.47345839
18057,32.953051007,186.23677177,56.0,53.0,48.0,56.0,33.000133405
18059,64.18534126,95.980262346,57.0,58.0,39.0,57.0,118.08087504
18061,36.646531642,20.706104996,52.0,,,,81.753615043
18063,45.834277577,88.989026867,55.0,43.0,45.0,55.0,176.29384836
18065,63.611445653,79.872969094,41.0,33.0,32.0,41.0,15.932700274
18067,45.22463933,59.409732008,47.0,55.0,33.0,48.0,431.32009719
18069,58.672365536,105.95163691,51.0,,,51.0,32.972467989
18071,79.929223973,153.97853722,50.0,60.0,44.0,50.0,222.71968001
18073,68.302093046,33.371456038,45.0,62.0,,45.0,
18075,,69.925218872,52.0,,,,99.936881969
18077,45.54884053,149.86053472,50.0,,44.0,50.0,
18079,32.677648459,102.51412789,47.0,,,,261.03125223
18081,54.974858903,191.64043903,54.0,51.0,31.0,55.0,284.46470913
18083,59.2213793,117.77949665,48.0,,44.0,48.0,108.97932261
18085,62.987936424,95.954801091,49.0,52.0,29.0,49.0,159.28178396
18087,,43.797076591,47.0,,,47.0,103.48752975
18089,73.920263444,416.56700247,40.0,41.0,23.0,43.0,395.30747291
18091,62.949221157,219.52068056,50.0,53.0,34.0,51.0,301.79118658
18093,,107.05109655,46.0,,,,314.95299932
18095,53.337220215,146.03148224,52.0,57.0,37.0,53.0,211.49378295
18097,52.276354447,688.84851342,49.0,53.0,37.0,53.0,1251.1690298
18099,86.158768432,87.14048745,50.0,,,50.0,
18101,,103.14697074,26.0,,,,
18103,49.763842596,63.780092495,41.0,,19.0,42.0,146.62551843
18105,48.062586745,251.79444146,50.0,49.0,43.0,51.0,307.43422398
18107,66.933277074,150.00567704,55.0,,41.0,55.0,837.12656307
18109,,126.29691042,52.0,,,52.0,
18111,,46.405758289,43.0,,,,21.531615589
18113,65.423291806,67.698316328,48.0,,,48.0,158.03902596
18115,,75.129576363,43.0,,,,
18117,86.2028365,126.54059204,37.0,,,,
18119,63.177256712,77.718140214,47.0,,,,
18121,,46.189592892,42.0,,,,63.972084908
18123,,166.42849952,35.0,,,,
18125,,89.366728082,30.0,,,,58.275058275
18127,45.340611665,128.36949169,46.0,37.0,31.0,46.0,96.853208028
18129,70.911875766,9.9192073725,60.0,,47.0,60.0,304.89870587
18131,,69.588006582,32.0,,,,
18133,,75.529560361,45.0,,36.0,45.0,
18135,65.928669524,74.963388871,39.0,,,,
18137,,74.484238757,48.0,27.0,,48.0,29.792305073
18139,85.050243511,80.248884297,53.0,,,,
18141,52.69818637,263.5114514,51.0,50.0,39.0,52.0,425.5861175
18143,,113.16162957,42.0,,,42.0,193.84788043
18145,78.055999809,196.79424116,52.0,45.0,47.0,53.0,535.44824187
18147,65.117587533,36.925829347,48.0,,,,
18149,,36.930064192,35.0,,,35.0,97.316123745
18151,,70.373382304,48.0,,,48.0,69.844015033
18153,,51.491160914,42.0,,,,127.85442436
18155,31.724782623,41.945522021,36.0,,,,
18157,45.565144227,277.20844785,54.0,48.0,38.0,55.0,243.33161999
18159,,83.824657809,54.0,,,,132.30138255
18161,,131.30183661,49.0,,,,
18163,52.346553622,217.57561798,55.0,56.0,42.0,56.0,408.95861218
18165,70.789069286,68.84236572,43.0,,,,
18167,41.415884465,252.78821057,48.0,48.0,36.0,48.0,232.86241279
18169,71.969949026,80.614312114,50.0,,,50.0,50.673730278
18171,35.660510885,6.779489502,40.0,,,,
18173,49.859999334,66.278750004,57.0,45.0,52.0,58.0,222.52251523
18175,,79.256823041,45.0,,,,
18177,44.968689076,161.37740018,47.0,39.0,38.0,47.0,
18179,65.915659547,47.012716815,47.0,,,46.0,17.908950894
18181,,113.56115966,50.0,,,50.0,61.730935429
18183,,78.040266813,49.0,,,,
19000,62.397331911,1460.6919721,53.0,,,,282.08123305
19001,,445.65176978,54.0,,,,102.9795414
19003,,145.40439887,45.0,,,,65.64264146
19005,75.594925306,459.44362291,41.0,,,,39.388405486
19007,,614.65651401,36.0,,,,218.97519608
19009,,200.41481059,35.0,,,,70.187752237
19011,,216.88933946,32.0,,,,
19013,62.126718064,1436.2700776,57.0,53.0,44.0,58.0,511.49265924
19015,64.90233904,189.71690873,59.0,,,,276.75797797
19017,,616.25746246,48.0,,,,377.54896023
19019,,289.26055564,50.0,,,,47.53303546
19021,54.955073996,512.04984267,54.0,42.0,,55.0,310.95887083
19023,,198.84775446,45.0,,,,10.008340284
19025,,147.50986759,42.0,,,,45.86688411
19027,,416.50088135,60.0,,,,63.440938926
19029,,633.74256723,33.0,,,,238.35238911
19031,,416.50237687,44.0,,,,95.417245986
19033,51.325670935,1110.2943782,58.0,48.0,39.0,58.0,133.31014896
19035,32.704110099,312.13360624,48.0,,,,175.40106952
19037,,364.7941414,56.0,,,,172.59091843
19039,,667.48729928,53.0,,,53.0,139.89776702
19041,,785.31603972,57.0,,,,148.72822194
19043,78.972207051,253.0190862,53.0,,,,59.55588327
19045,51.794507598,594.10146253,57.0,,35.0,57.0,484.46374875
19047,40.064663627,512.28956403,43.0,,,44.0,58.637269849
19049,50.110229595,1562.12486,58.0,57.0,40.0,59.0,191.94337983
19051,,185.13998719,47.0,,,,113.52026337
19053,,318.60992708,39.0,,,,
19055,,341.45940825,35.0,,,,146.50120648
19057,46.433182456,672.92420594,58.0,62.0,36.0,58.0,517.56236813
19059,78.354063519,867.50515814,62.0,,,,131.4329108
19061,58.867713593,1262.5026743,56.0,63.0,35.0,57.0,210.33963665
19063,,564.60935517,54.0,,,54.0,392.81705948
19065,51.046316414,359.84091873,37.0,,,,278.60647452
19067,53.284691327,318.48113065,53.0,,36.0,53.0,175.3507014
19069,54.78441238,443.17739523,43.0,,,44.0,
19071,,184.65058116,32.0,,,,397.35099338
19073,,272.64653308,63.0,,,,76.838638858
19075,,445.69276756,40.0,,,,97.09916252
19077,,243.2651194,55.0,,,,32.939626371
19079,55.777676814,218.15960753,53.0,,,,210.92874563
19081,,118.92993441,57.0,,,,117.49819234
19083,,278.38785816,59.0,,,,106.08424337
19085,,247.55035055,39.0,,,,31.627776216
19087,55.585116638,79.401129429,53.0,62.0,,54.0,224.70735786
19089,,171.65648806,42.0,,,,63.485345466
19091,,364.14205388,38.0,,,,57.378331855
19093,,200.21415042,41.0,,,,162.17740798
19095,,272.8644018,49.0,,,,103.80411553
19097,,580.75103834,55.0,,,,82.253752827
19099,54.328028822,629.86386796,60.0,44.0,42.0,60.0,253.25418006
19101,64.964129936,289.33354112,17.0,19.0,,17.0,83.994670683
19103,44.52175843,1571.5658157,63.0,63.0,47.0,63.0,270.93972025
19105,54.462846714,345.39318365,34.0,,,,
19107,,278.82188875,40.0,,,,136.19524951
19109,,288.93270111,31.0,,,,158.03509696
19111,55.011384335,379.05668425,49.0,25.0,35.0,50.0,480.21078279
19113,47.969502308,2691.5221226,60.0,57.0,41.0,61.0,225.77117601
19115,,220.20861428,50.0,,,51.0,156.14543832
19117,,262.73993719,39.0,,,,184.40615456
19119,,243.43241315,37.0,,,,133.83681468
19121,,35.151389397,37.0,,,,112.38119702
19123,64.026402487,918.35753486,57.0,46.0,,57.0,268.20437173
19125,68.634879164,100.34352932,58.0,73.0,45.0,58.0,273.7552073
19127,44.033374708,708.02226817,53.0,38.0,31.0,55.0,452.05747239
19129,,125.88304535,58.0,,,58.0,286.57159233
19131,,292.7030088,28.0,,,,73.561865529
19133,,275.21946474,16.0,,,,142.70032931
19135,,590.32544047,42.0,,,,81.28048018
19137,,276.3746757,59.0,,,,424.04129794
19139,50.51204893,577.52205877,60.0,71.0,39.0,60.0,429.36433134
19141,,390.69118113,33.0,,,,218.90475849
19143,,16.190984724,51.0,,,,89.781260202
19145,65.692206751,90.706840111,48.0,,,,265.85397484
19147,61.3739546,501.98860736,31.0,,,,290.90509907
19149,49.582728103,340.50819296,54.0,,,54.0,102.54966621
19151,,270.55881254,37.0,,,,113.62829345
19153,50.048895881,4149.9479547,60.0,53.0,42.0,62.0,391.85600472
19155,61.369928818,2250.9756733,59.0,51.0,49.0,60.0,372.99214838
19157,56.746725884,544.32645906,64.0,,,,199.29975761
19159,,175.17526532,36.0,,,,59.31198102
19161,,122.42392724,38.0,,,,50.462573591
19163,48.183612581,1582.0365591,56.0,52.0,37.0,58.0,494.45160689
19165,50.197344815,228.87982226,54.0,,,,
19167,,345.97523576,54.0,57.0,,54.0,42.700979276
19169,57.048600871,1876.3893246,66.0,61.0,53.0,66.0,142.44853199
19171,,349.11434351,48.0,,,48.0,322.15688728
19173,,139.27215438,44.0,,,44.0,40.61738424
19175,,565.3520463,56.0,,,,219.4119759
19177,,175.73687181,27.0,,,,115.55978519
19179,48.75827251,153.98628697,47.0,29.0,32.0,48.0,315.24687238
19181,73.831532916,770.2718575,60.0,,,60.0,337.09026988
19183,57.50599088,538.92073086,44.0,,,44.0,321.61572543
19185,,212.56754302,32.0,,,,117.28829463
19187,40.838933917,450.16403484,41.0,25.0,32.0,41.0,469.03170709
19189,,177.33644696,58.0,,,,114.20957457
19191,,206.75250467,62.0,,,,43.243243243
19193,56.030749346,906.74540937,49.0,31.0,27.0,51.0,355.14793765
19195,,273.23765679,55.0,,,,92.709092113
19197,,287.41151589,27.0,,,27.0,74.175287917
20000,57.817187345,139.04042583,46.0,,,,364.51333692
20001,51.735186958,47.919496044,38.0,,36.0,38.0,318.64961461
20003,,41.389709485,27.0,,,,237.48268355
20005,11.369613853,17.500987979,27.0,,20.0,28.0,288.35938686
20007,,27.167302135,24.0,,,,296.80365297
20009,38.881833405,82.733535665,31.0,,41.0,31.0,363.98049065
20011,43.796391122,52.482789967,47.0,,38.0,47.0,521.65018752
20013,26.315472721,25.929217354,26.0,,,25.0,213.32791548
20015,46.746090317,72.340254033,49.0,31.0,34.0,49.0,181.7321055
20017,,18.41392198,37.0,,,,150.29118918
20019,,23.438993804,30.0,,,30.0,
20021,,81.740977173,40.0,,,41.0,318.18181818
20023,,14.246630818,36.0,,,,150.54572826
20025,,80.008973645,29.0,,,,187.88163457
20027,,46.624033041,38.0,,,,168.27934371
20029,,27.447059408,32.0,,,,403.29173252
20031,,40.931344586,40.0,,,,96.494049534
20033,,12.260476828,47.0,,,,
20035,37.786094266,58.574055522,41.0,32.0,28.0,41.0,334.57727448
20037,50.002219437,31.922421174,45.0,36.0,32.0,45.0,312.70509207
20039,,37.55234566,41.0,,,,170.64846416
20041,59.200911983,15.001220389,28.0,,,28.0,152.55332902
20043,50.889863071,39.769280931,39.0,,,,109.28961749
20045,26.644621799,215.16247043,57.0,60.0,47.0,58.0,224.95136187
20047,,64.996663986,15.0,,,14.0,128.9847061
20049,,8.8049538782,38.0,,,,0.0
20051,60.463660662,64.308018412,45.0,,,,293.70845571
20053,,20.410541753,28.0,,,28.0,98.212531919
20055,71.066280487,22.587060936,46.0,44.0,30.0,49.0,495.26996937
20057,29.000353108,25.621065435,38.0,35.0,22.0,39.0,367.01737216
20059,47.712934768,26.764232405,35.0,,19.0,36.0,311.30080664
20061,12.762681265,67.756815016,31.0,25.0,26.0,32.0,484.20996621
20063,,12.589137557,40.0,,,,
20065,,58.546314055,36.0,,,,115.83011583
20067,,3.8217054495,35.0,,,36.0,191.68104274
20069,,48.634272552,29.0,,,29.0,156.64935279
20071,,42.18380028,5.0,,,,151.6875237
20073,,18.45345733,37.0,,,,224.14345181
20075,,78.961899159,30.0,,,,124.06947891
20077,,25.05989616,28.0,,,,386.97928523
20079,49.556704892,39.200160736,50.0,41.0,37.0,50.0,383.60000583
20081,,32.340382192,53.0,,,55.0,160.35524855
20083,,36.892074344,36.0,,,,78.104660245
20085,,33.364137627,29.0,,,28.0,176.43756516
20087,,28.38563201,53.0,,,53.0,198.65026668
20089,,18.162339877,33.0,,,,
20091,39.952619209,248.47960541,58.0,52.0,43.0,59.0,157.02939009
20093,,76.134056199,20.0,,,20.0,242.47064829
20095,,80.261303225,40.0,,,,179.19911779
20097,,52.866143042,30.0,,,,39.200313603
20099,52.686101767,46.303939223,36.0,,33.0,36.0,425.97478036
20101,,32.75305848,28.0,,,,208.02377415
20103,41.35420522,77.944258137,46.0,45.0,29.0,47.0,416.86434513
20105,,18.047214765,40.0,,,,31.979533099
