GEOID,Segregation index,Average Traffic Volume per Meter of Major Roadways,% Vaccinated,% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (White),Violent Crime Rate
05115,48.856663308,102.81845487,46.0,37.0,36.0,46.0,372.43062489
05117,11.089886731,20.309337116,33.0,,12.0,35.0,169.81017648
05119,49.544943857,301.09458541,50.0,47.0,35.0,54.0,1059.6289012
05121,46.647941912,23.181945377,38.0,,,,294.55502173
05123,45.950456439,29.253052473,42.0,,32.0,48.0,776.78775417
05125,43.923518823,115.56044797,53.0,54.0,38.0,54.0,352.4580766
05127,,18.894057563,35.0,31.0,,35.0,318.08172253
05129,,29.019390884,22.0,,,,126.76681245
05131,53.219764905,193.67410751,47.0,45.0,30.0,48.0,635.56239012
05133,25.012720033,52.713732427,47.0,,27.0,49.0,216.05738484
05135,,37.322736398,36.0,,,,
05137,,16.139278383,50.0,,,,239.33942319
05139,39.7344231,70.514204189,45.0,65.0,32.0,48.0,583.01047675
05141,,28.112284343,36.0,,,36.0,277.78607485
05143,44.644587136,178.7460088,49.0,47.0,40.0,50.0,454.59715024
05145,41.948530005,69.602736827,48.0,62.0,34.0,48.0,344.45365823
05147,30.554907391,23.868656732,22.0,,19.0,23.0,161.01880992
05149,57.151183548,67.953850145,37.0,36.0,44.0,38.0,333.9936426
06000,55.42886242,1200.4469672,41.0,,,,420.87688216
06001,49.890444154,1620.6797066,44.0,50.0,28.0,47.0,628.78196249
06003,,4.8948196451,21.0,,,25.0,442.47787611
06005,,50.4993426,46.0,56.0,36.0,47.0,237.07073752
06007,62.099507235,240.57942353,39.0,33.0,25.0,40.0,327.05730855
06009,57.414759293,17.59655406,40.0,43.0,30.0,40.0,327.24573793
06011,19.219009659,152.92216792,43.0,57.0,44.0,44.0,200.95805585
06013,52.702580187,1015.8096979,45.0,45.0,28.0,49.0,336.02779077
06015,35.769303335,57.394244118,36.0,21.0,,37.0,609.10920066
06017,58.879477026,113.89489814,45.0,42.0,39.0,45.0,217.58394569
06019,48.479736713,335.74169988,44.0,46.0,34.0,47.0,541.77921571
06021,,132.19481628,37.0,32.0,31.0,37.0,408.14134579
06023,65.592092169,280.51409056,37.0,40.0,34.0,37.0,432.13579506
06025,52.889216438,225.51828703,31.0,37.0,22.0,34.0,366.25347999
06027,56.92264574,94.290395789,40.0,54.0,,41.0,600.45306913
06029,48.367834503,302.58154042,38.0,39.0,26.0,39.0,545.33785309
06031,31.0153549,117.25534278,35.0,34.0,26.0,38.0,443.3772393
06033,55.312216221,34.014772143,27.0,29.0,14.0,28.0,535.47314438
06035,,38.096758613,33.0,26.0,26.0,33.0,586.92995433
06037,57.098106069,2069.7537739,38.0,48.0,23.0,40.0,488.34611236
06039,43.057668542,196.57767392,36.0,43.0,28.0,38.0,620.23550783
06041,49.691672137,870.32879333,48.0,51.0,30.0,48.0,177.85725089
06043,,9.0270128303,27.0,33.0,,26.0,431.42857143
06045,,96.424663799,28.0,29.0,18.0,29.0,640.48580677
06047,45.826936552,207.85350671,41.0,42.0,35.0,43.0,555.33866693
06049,50.747207511,13.344981235,17.0,,,17.0,504.7955578
06051,,10.450703741,42.0,55.0,,42.0,262.06203331
06053,52.692614106,221.09669213,43.0,48.0,31.0,44.0,420.63614456
06055,67.543324563,379.13944108,41.0,39.0,28.0,44.0,397.68136308
06057,70.123180948,155.53768312,46.0,51.0,38.0,46.0,264.19005426
06059,46.052747025,1797.0457059,46.0,57.0,31.0,44.0,213.58280579
06061,42.017993396,279.02737201,48.0,51.0,37.0,49.0,161.99867528
06063,69.791920175,44.643148111,23.0,27.0,,23.0,574.82224099
06065,40.051716281,407.06103317,36.0,37.0,25.0,39.0,291.24456001
06067,43.896350069,877.74749459,44.0,52.0,34.0,44.0,508.24109624
06069,54.470971792,120.15093075,47.0,51.0,27.0,49.0,298.70306703
06071,36.285741666,594.27744321,30.0,38.0,22.0,31.0,441.88442142
06073,46.354607286,986.95979261,41.0,42.0,26.0,44.0,327.71883112
06075,57.538036883,2318.3966083,41.0,41.0,29.0,45.0,760.46400445
06077,42.280542722,595.48973106,43.0,49.0,29.0,46.0,787.32183644
06079,48.70710113,151.55646849,48.0,51.0,36.0,48.0,408.22505811
06081,56.242967857,1478.6408744,48.0,46.0,35.0,51.0,209.11245996
06083,46.596619036,332.92858078,45.0,47.0,39.0,46.0,318.05052279
06085,42.434994226,1524.0879016,47.0,51.0,31.0,49.0,264.08835127
06087,53.560009722,374.55654532,48.0,51.0,32.0,49.0,409.52586412
06089,59.623955772,208.83444686,40.0,42.0,28.0,40.0,726.13674647
06091,,13.938315596,18.0,,,19.0,422.22597534
06093,62.617108235,75.714874525,31.0,36.0,22.0,31.0,343.55545308
06095,37.223408172,707.36238309,38.0,38.0,27.0,41.0,476.30025821
06097,47.699574698,474.79399217,43.0,41.0,30.0,45.0,367.91949455
06099,40.453660261,305.67436646,43.0,52.0,33.0,45.0,578.4520988
06101,29.931912583,151.13533162,49.0,54.0,39.0,49.0,351.79749787
06103,63.769291851,85.609910169,39.0,35.0,27.0,39.0,540.13753282
06105,,19.283143625,36.0,37.0,37.0,36.0,380.32936523
06107,58.921055907,191.82039651,41.0,38.0,31.0,45.0,381.80764333
06109,73.265778169,19.121146985,45.0,43.0,,45.0,316.15673143
06111,46.30289555,637.43873931,45.0,47.0,35.0,47.0,240.48967302
06113,46.69881904,360.28529425,50.0,52.0,37.0,51.0,331.88943992
06115,44.497919656,189.27365677,40.0,34.0,29.0,40.0,413.7271153
08000,62.117437971,363.79650162,48.0,,,,326.13490809
08001,49.546022751,490.4027736,46.0,49.0,39.0,47.0,372.42750473
08003,29.195858274,143.87708302,41.0,,,40.0,
08005,46.392510279,453.79536579,53.0,51.0,37.0,54.0,329.9652518
08007,,45.399367845,32.0,,,32.0,190.26029227
08009,,56.013947373,22.0,,,22.0,96.471885336
08011,,57.255431911,35.0,,,33.0,133.48758565
08013,49.12347518,306.68230874,53.0,51.0,44.0,53.0,242.3764358
08014,40.833135962,187.19439178,58.0,50.0,44.0,59.0,50.922081381
08015,,113.86267878,47.0,,,47.0,61.134442613
08017,,41.801648733,38.0,,,,80.14961261
08019,,454.23032138,47.0,,,46.0,562.54136334
08021,,33.658212701,32.0,,,36.0,44.952478808
08023,,39.538737236,34.0,,,30.0,226.24434389
08025,,5.7448528335,39.0,,,38.0,65.18904824
08027,,11.201149344,43.0,,,,125.15644556
08029,87.711464459,66.243374548,40.0,,,40.0,84.296945152
08031,53.744606472,1028.7191892,48.0,49.0,35.0,52.0,631.46154365
08033,,50.634513774,32.0,,,,175.3507014
08035,45.672695382,194.02876775,54.0,47.0,41.0,54.0,113.61496356
08037,77.369068439,259.92183741,52.0,57.0,,54.0,144.27581038
08039,,14.224635819,41.0,,40.0,41.0,4.2722262571
08041,38.807950961,236.94730652,46.0,43.0,32.0,47.0,399.61498249
08043,,42.664679841,44.0,,27.0,44.0,225.26871339
08045,73.802462832,168.49632464,44.0,47.0,,45.0,188.98070679
08047,,5.8680085581,46.0,,,,286.16265116
08049,26.824998261,88.26417629,46.0,,,46.0,80.809635587
08051,,49.94118692,44.0,,,45.0,179.08196927
08053,,14.000728884,20.0,,,,254.61489497
08055,,112.91377286,27.0,,,28.0,409.06487769
08057,,18.728034484,40.0,,,,0.0
08059,57.130791276,396.85243708,51.0,51.0,36.0,52.0,253.58037445
08061,,49.35896611,31.0,,,,
08063,,75.770297227,35.0,,,36.0,206.29533506
08065,,1.7227879092,46.0,,,44.0,201.54517971
08067,,113.71567631,47.0,60.0,,47.0,174.58228218
08069,66.150584667,119.14611982,54.0,52.0,43.0,54.0,201.12825097
08071,,68.026213203,27.0,,,28.0,146.89423615
08073,,49.83485176,42.0,,,,99.791345369
08075,42.697123028,55.915318628,43.0,,,44.0,301.13036248
08077,67.042311862,99.287725544,48.0,46.0,28.0,48.0,347.93466523
08079,,17.367841906,47.0,,,,137.17421125
08081,,118.43463932,44.0,,,44.0,159.08738165
08083,,93.403762756,39.0,,,39.0,159.32125307
08085,,92.732081843,46.0,29.0,,46.0,134.4240888
08087,46.896023849,39.103479774,42.0,,,44.0,202.82873649
08089,58.316323375,75.094294443,44.0,,,44.0,157.71125007
08091,,82.344643427,47.0,,,,81.632653061
08093,,18.367845797,43.0,,,43.0,112.33150275
08095,,54.468526076,35.0,,,35.0,161.27174289
08097,44.565624718,271.17055382,54.0,45.0,,54.0,62.071495077
08099,,152.91551468,31.0,,,31.0,56.942975677
08101,49.875578853,170.63560275,53.0,41.0,42.0,54.0,629.90730185
08103,,60.665474954,20.0,,,,96.740586397
08105,40.591190108,115.86669332,29.0,,,30.0,200.85582045
08107,49.325030625,117.40855737,57.0,,,58.0,159.39811273
08109,,14.343198141,32.0,,,32.0,175.50857599
08111,,3.195969121,55.0,,,,71.83908046
08113,,25.25275791,35.0,,,,114.0034201
08115,,6.8921672227,19.0,,,19.0,337.55274262
08117,72.594379271,169.216744,55.0,57.0,,55.0,175.97667052
08119,40.523947861,76.620813346,39.0,31.0,,39.0,242.00111363
08121,,41.321597721,19.0,,,,133.95157135
08123,66.188106347,148.67463121,50.0,54.0,43.0,52.0,272.7775432
08125,44.387055971,83.007353737,14.0,,,,4.9002793159
09000,62.046244256,489.02672987,53.0,,,,232.0465727
09001,60.441331302,776.19720078,52.0,51.0,38.0,54.0,238.13702459
09003,62.284826497,445.82743209,54.0,53.0,38.0,56.0,270.04471382
09005,54.020361778,132.24805772,54.0,58.0,46.0,54.0,106.29585098
09007,57.567690609,250.48928351,56.0,45.0,45.0,57.0,109.74528775
09009,57.517837453,550.06085011,53.0,49.0,42.0,55.0,328.67014478
09011,54.261953149,206.53529885,50.0,43.0,37.0,52.0,283.15892622
09013,53.454771118,108.83786359,58.0,47.0,42.0,58.0,
09015,49.109379565,109.30071191,54.0,50.0,47.0,54.0,
10000,42.866742156,253.63074295,54.0,,,,499.02552288
10001,28.814073097,67.989933425,53.0,51.0,44.0,55.0,448.14599062
10003,45.269508721,381.47287538,54.0,57.0,43.0,57.0,551.25136937
10005,39.522201927,70.242958413,55.0,46.0,41.0,56.0,406.1413998
11000,68.025633437,465.37923742,38.0,,,,1226.4348766
11001,68.025633437,465.37923742,38.0,42.0,31.0,49.0,1226.4348766
12000,54.387923895,452.86990558,43.0,,,,484.42768698
12001,38.22571273,331.22667941,46.0,51.0,34.0,48.0,560.54092488
12003,26.998459913,26.04254203,40.0,,24.0,41.0,465.69388389
12005,43.510923817,181.5096438,39.0,40.0,28.0,39.0,496.91120437
12007,29.53739248,79.42360459,33.0,31.0,21.0,35.0,454.08105347
12009,47.196431878,267.35262962,40.0,40.0,27.0,41.0,496.31520878
12011,52.85745349,817.35987366,35.0,34.0,20.0,40.0,397.77519133
12013,43.013171761,26.067560806,22.0,,21.0,22.0,173.97355602
12015,46.354207124,118.01111147,49.0,45.0,31.0,50.0,199.69027631
12017,37.026144022,59.524640301,43.0,49.0,31.0,43.0,296.26859769
12019,38.230668857,155.67172389,38.0,32.0,26.0,39.0,268.32354404
12021,49.566080101,161.17831902,50.0,50.0,27.0,52.0,261.45589652
12023,38.672606932,101.54496565,38.0,34.0,26.0,40.0,570.55497443
12027,58.476026857,116.16239505,39.0,,21.0,42.0,440.77918385
12029,36.315393926,25.987428575,30.0,,35.0,30.0,499.22816698
12031,49.813229589,421.52154203,43.0,39.0,34.0,45.0,654.10290188
12033,39.373209635,256.80440351,37.0,33.0,26.0,39.0,659.72144383
12035,22.755598747,130.17691507,46.0,43.0,33.0,47.0,242.67206787
12037,60.899845235,45.603594623,32.0,,22.0,32.0,267.65230691
12039,32.074449123,35.224323392,33.0,,23.0,40.0,361.3650505
12041,79.642975452,30.606464712,31.0,,27.0,32.0,322.52389609
12043,25.887030995,43.210414721,36.0,,25.0,38.0,233.54254853
12045,48.114978591,55.682423975,39.0,,27.0,40.0,392.16916609
12047,18.079776502,17.224570304,37.0,,26.0,40.0,331.69232918
12049,36.493259112,92.13345483,36.0,27.0,28.0,36.0,269.38096616
12051,48.767486057,87.783525108,30.0,43.0,21.0,35.0,559.98642457
12053,33.730610194,79.197461944,40.0,33.0,27.0,41.0,257.5032574
12055,47.296381765,118.3564144,38.0,29.0,23.0,40.0,318.26592651
12057,44.572495701,444.71099378,41.0,42.0,27.0,44.0,311.50704576
12059,37.924639171,32.360665198,39.0,,20.0,40.0,335.32144133
12061,53.486249538,142.76018872,49.0,35.0,26.0,50.0,255.15837827
12063,33.381375561,30.517352701,37.0,,31.0,38.0,359.68495065
12065,19.304155162,45.326484843,32.0,,24.0,35.0,873.79675345
12067,21.815208504,41.54326941,29.0,,,,199.11252702
12069,35.774272934,189.65241413,50.0,50.0,33.0,51.0,306.3644643
12071,54.4512658,189.19737845,49.0,46.0,30.0,51.0,347.84984732
12073,41.678628684,197.39840931,41.0,39.0,26.0,45.0,739.04143923
12075,48.094360159,46.2905613,34.0,31.0,23.0,35.0,1075.9850387
12077,36.694600396,22.432322975,22.0,,17.0,22.0,53.683268715
12079,36.582622515,47.520594557,36.0,,24.0,39.0,872.24217547
12081,49.205634198,339.62372792,46.0,43.0,27.0,47.0,518.70063208
12083,47.630397478,99.909534653,43.0,41.0,29.0,44.0,376.79895334
12085,60.267866284,183.87124164,48.0,41.0,24.0,49.0,240.199077
12086,69.668784355,1079.4594662,25.0,30.0,18.0,35.0,601.83692932
12087,50.127550831,286.19900953,35.0,38.0,15.0,37.0,431.23304499
12089,25.460886241,22.901143163,49.0,49.0,37.0,49.0,166.13843165
12091,33.524313101,221.84150497,38.0,29.0,27.0,39.0,394.67797127
