GEOID,Confirmed,Deaths,Incident_Rate,Case_Fatality_Ratio
01001,7049,109,12617.014802484386,1.5463186267555682
01003,21489,310,9626.221812089556,1.4425985387872866
01005,2326,58,9422.344648788789,2.493551160791057
01007,2656,64,11860.319728498704,2.409638554216868
01009,6816,139,11787.085394113376,2.039319248826291
01011,1233,42,12206.712206712207,3.40632603406326
01013,2195,69,11286.50761003702,3.143507972665148
01015,14590,321,12842.74459750891,2.2001370801919125
01017,3622,123,10891.922776207371,3.395913859745997
01019,1852,45,7069.781646052833,2.429805615550756
01021,4394,114,9890.159358962816,2.594446973145198
01023,611,24,4853.443482405274,3.927986906710311
01025,3517,61,14888.663110659552,1.7344327551890817
01027,1575,57,11900.264450321118,3.619047619047619
01029,1498,42,10046.948356807512,2.803738317757009
01031,5592,118,10683.581063008674,2.1101573676680974
01033,6332,135,11462.500678843611,2.132027795325332
01035,1110,29,9198.640921521504,2.612612612612613
01037,1095,29,10269.155022038824,2.6484018264840183
01039,4170,119,11255.364517260923,2.853717026378897
01041,1534,57,11138.541969212896,3.715775749674055
01043,9799,195,11697.784356794957,1.9899989794877029
01045,4885,113,9934.515577971202,2.3132036847492325
01047,3581,153,9627.379288095492,4.272549567160011
01049,8877,188,12413.1276830786,2.1178326011039768
01051,10172,206,12525.705278971544,2.025167125442391
01053,3953,77,10790.817022902847,1.9478876802428533
01055,13946,355,13636.71920835452,2.545532769252832
01057,2133,62,13084.284136915716,2.906704172526957
01059,4263,82,13592.88310694471,1.923528031902416
01061,2546,79,9691.294583380914,3.102906520031422
01063,926,34,11416.594747873256,3.67170626349892
01065,2245,78,15323.186130639548,3.474387527839644
01067,1905,43,11072.362685265907,2.257217847769029
01069,10671,283,10078.200260667536,2.6520476056602007
01071,6853,112,13274.31914151784,1.634320735444331
01073,79979,1533,12144.287725126904,1.916753147701272
01075,1440,37,10431.00325968852,2.5694444444444446
01077,9487,244,10230.887856010526,2.5719405502266257
01079,3051,99,9266.79625804884,3.2448377581120944
01081,16017,172,9734.29276415748,1.0738590247861648
01083,10094,152,10204.721225294445,1.5058450564691896
01085,1411,53,14507.505654945508,3.7562012756909993
01087,1614,50,8932.920079698915,3.097893432465923
01089,35223,509,9445.46792917307,1.445078499843852
01091,2501,65,13258.760536500027,2.5989604158336665
01093,3151,101,10606.21360530479,3.2053316407489687
01095,12300,226,12710.02542005084,1.83739837398374
01097,41363,812,10010.16432322548,1.963107124724996
01099,1784,41,8604.63994597984,2.298206278026906
01101,24776,595,10939.307506865767,2.401517597675169
01103,14461,281,12083.155775031542,1.9431574579904567
01105,1079,26,12092.345623669167,2.409638554216868
01107,2351,62,11796.287004515803,2.6371756699276903
01109,3123,77,9431.056350788189,2.4655779699007363
01111,1834,43,8071.47258163894,2.3446019629225736
01113,4474,38,7718.983454391746,0.8493518104604381
01115,9976,246,11144.874430243992,2.465918203688853
01117,25322,251,11631.496265537296,0.991232919990522
01119,1052,32,8465.438158847672,3.041825095057034
01121,8357,178,10449.123508964964,2.1299509393322964
01123,4054,152,10042.85678896128,3.7493833251110016
01125,25964,456,12401.901077117816,1.7562779232783854
01127,7268,279,11441.88536074684,3.8387451843698406
01129,1680,39,10290.334435869168,2.321428571428572
01131,1274,30,12281.88566470645,2.3547880690737832
01133,2759,73,11676.329933556222,2.6458861906487856
02013,369,3,11057.836379982022,0.8130081300813008
02016,699,1,12406.81576144835,0.1430615164520744
02020,30671,179,10649.652777777776,0.5836131850934108
02050,3895,22,21184.59697595997,0.5648267008985879
02060,0,0,0.0,
02063,434,3,6428.677233002519,0.6912442396313364
02066,243,0,9003.334568358652,0.0
02068,108,0,5150.214592274678,0.0
02070,230,2,4678.60048820179,0.8695652173913043
02090,7976,43,8235.500624683786,0.5391173520561685
02100,31,0,1225.296442687747,0.0
02110,1439,5,4500.531681991618,0.3474635163307852
02122,4553,22,7755.331471009063,0.4831978915001098
02130,611,2,4395.367239766923,0.3273322422258592
02150,1119,6,8609.016771811048,0.5361930294906166
02158,1299,4,15624.248255953811,0.3079291762894534
02164,198,0,4925.373134328358,0.0
02170,11694,57,10796.089256534062,0.4874294510005131
02180,365,0,3648.5405837664935,0.0
02185,1086,4,11045.565500406834,0.3683241252302026
02188,620,2,8135.415299829418,0.3225806451612903
02195,172,1,5266.380894060012,0.5813953488372093
02198,133,1,2144.123811059165,0.7518796992481203
02220,362,1,4262.3336865654055,0.2762430939226519
02230,21,0,1775.1479289940826,0.0
02240,702,5,10184.24488611635,0.7122507122507122
02261,0,0,0.0,
02275,57,0,2278.177458033573,0.0
02282,86,2,14853.19516407599,2.3255813953488373
02290,365,4,6978.967495219887,1.095890410958904
04001,11377,431,15826.227273359578,3.788344906390085
04003,12043,287,9563.856990835597,2.3831271277920782
04005,17868,332,12453.650784800246,1.8580702932616968
04007,6918,230,12806.842163723202,3.3246603064469498
04009,5613,82,14452.712619409323,1.460894352396223
04011,575,10,6053.9060854916825,1.7391304347826086
04012,2469,79,11696.986924388855,3.19967598217902
04013,546247,9985,12178.2961394422,1.827927659099272
04015,22911,725,10797.85654700468,3.164418838112697
04017,16364,535,14752.44311420432,3.269371791737961
04019,116101,2407,11085.966585790417,2.0731948906555497
04021,52423,885,11327.62446817016,1.6881902981515746
04023,8010,179,17226.547378381867,2.2347066167290888
04025,19091,505,8120.4088490380655,2.6452254989261954
04027,37183,837,17392.54491620164,2.251028695909421
05001,2118,37,12112.547180601625,1.7469310670443814
05003,2033,35,10342.371674212747,1.7215937038858828
05005,3189,104,7605.170275684442,3.2612104107870805
