GEOID,date,state,county,percent_new_test_results_reported_positive_7_day_rolling_average
6001,2021-05-18,CA,Alameda County,0.0
6003,2021-05-18,CA,Alpine County,0.0
6005,2021-05-18,CA,Amador County,0.0
6007,2021-05-18,CA,Butte County,0.0
6009,2021-05-18,CA,Calaveras County,0.0
6011,2021-05-18,CA,Colusa County,0.0
6013,2021-05-18,CA,Contra Costa County,0.0
6015,2021-05-18,CA,Del Norte County,0.0
6017,2021-05-18,CA,El Dorado County,0.0
6019,2021-05-18,CA,Fresno County,0.0
6021,2021-05-18,CA,Glenn County,0.0
6023,2021-05-18,CA,Humboldt County,0.0
6025,2021-05-18,CA,Imperial County,0.0
6027,2021-05-18,CA,Inyo County,0.0
6029,2021-05-18,CA,Kern County,0.0
6031,2021-05-18,CA,Kings County,0.0
6033,2021-05-18,CA,Lake County,0.0
6035,2021-05-18,CA,Lassen County,0.0
6037,2021-05-18,CA,Los Angeles County,0.0
6039,2021-05-18,CA,Madera County,0.0
6041,2021-05-18,CA,Marin County,0.0
6043,2021-05-18,CA,Mariposa County,0.0
6045,2021-05-18,CA,Mendocino County,0.0
6047,2021-05-18,CA,Merced County,0.0
6049,2021-05-18,CA,Modoc County,0.0
6051,2021-05-18,CA,Mono County,0.0
6053,2021-05-18,CA,Monterey County,0.0
6055,2021-05-18,CA,Napa County,0.0
6057,2021-05-18,CA,Nevada County,0.0
6059,2021-05-18,CA,Orange County,0.0
6061,2021-05-18,CA,Placer County,0.0
6063,2021-05-18,CA,Plumas County,0.0
6065,2021-05-18,CA,Riverside County,0.0
6067,2021-05-18,CA,Sacramento County,0.0
6069,2021-05-18,CA,San Benito County,0.0
6071,2021-05-18,CA,San Bernardino County,0.0
6073,2021-05-18,CA,San Diego County,0.0
6075,2021-05-18,CA,San Francisco County,0.0
6077,2021-05-18,CA,San Joaquin County,0.0
6079,2021-05-18,CA,San Luis Obispo County,0.0
6081,2021-05-18,CA,San Mateo County,0.0
6083,2021-05-18,CA,Santa Barbara County,0.0
6085,2021-05-18,CA,Santa Clara County,0.0
6087,2021-05-18,CA,Santa Cruz County,0.0
6089,2021-05-18,CA,Shasta County,0.0
6091,2021-05-18,CA,Sierra County,0.0
6093,2021-05-18,CA,Siskiyou County,0.0
6095,2021-05-18,CA,Solano County,0.0
6097,2021-05-18,CA,Sonoma County,0.0
6099,2021-05-18,CA,Stanislaus County,0.0
6101,2021-05-18,CA,Sutter County,0.0
6103,2021-05-18,CA,Tehama County,0.0
6105,2021-05-18,CA,Trinity County,0.0
6107,2021-05-18,CA,Tulare County,0.0
6109,2021-05-18,CA,Tuolumne County,0.0
6111,2021-05-18,CA,Ventura County,0.0
6113,2021-05-18,CA,Yolo County,0.0
6115,2021-05-18,CA,Yuba County,0.0
17001,2021-05-18,IL,Adams County,2.44
17003,2021-05-18,IL,Alexander County,0.0
17005,2021-05-18,IL,Bond County,1.9
17007,2021-05-18,IL,Boone County,2.98
17009,2021-05-18,IL,Brown County,2.43
17011,2021-05-18,IL,Bureau County,0.0
17013,2021-05-18,IL,Calhoun County,0.0
17015,2021-05-18,IL,Carroll County,3.61
17017,2021-05-18,IL,Cass County,1.1400000000000001
17019,2021-05-18,IL,Champaign County,0.62
17021,2021-05-18,IL,Christian County,0.9500000000000001
17023,2021-05-18,IL,Clark County,6.51
17025,2021-05-18,IL,Clay County,0.0
17027,2021-05-18,IL,Clinton County,2.51
17029,2021-05-18,IL,Coles County,2.94
17031,2021-05-18,IL,Cook County,3.07
17033,2021-05-18,IL,Crawford County,1.38
17035,2021-05-18,IL,Cumberland County,0.0
17039,2021-05-18,IL,De Witt County,4.91
17037,2021-05-18,IL,DeKalb County,5.12
17041,2021-05-18,IL,Douglas County,3.77
17043,2021-05-18,IL,DuPage County,3.23
17045,2021-05-18,IL,Edgar County,3.11
17047,2021-05-18,IL,Edwards County,3.27
17049,2021-05-18,IL,Effingham County,0.93
17051,2021-05-18,IL,Fayette County,1.04
17053,2021-05-18,IL,Ford County,6.04
