GEOID,date,state,county,percent_new_test_results_reported_positive_7_day_rolling_average
6001,2021-03-27,CA,Alameda County,1.38
6003,2021-03-27,CA,Alpine County,0.0
6005,2021-03-27,CA,Amador County,0.0
6007,2021-03-27,CA,Butte County,2.7199999999999998
6009,2021-03-27,CA,Calaveras County,0.0
6011,2021-03-27,CA,Colusa County,0.0
6013,2021-03-27,CA,Contra Costa County,1.94
6015,2021-03-27,CA,Del Norte County,0.0
6017,2021-03-27,CA,El Dorado County,2.3
6019,2021-03-27,CA,Fresno County,3.83
6021,2021-03-27,CA,Glenn County,0.0
6023,2021-03-27,CA,Humboldt County,1.69
6025,2021-03-27,CA,Imperial County,3.37
6027,2021-03-27,CA,Inyo County,0.0
6029,2021-03-27,CA,Kern County,2.44
6031,2021-03-27,CA,Kings County,3.24
6033,2021-03-27,CA,Lake County,3.64
6035,2021-03-27,CA,Lassen County,0.0
6037,2021-03-27,CA,Los Angeles County,1.55
6039,2021-03-27,CA,Madera County,2.16
6041,2021-03-27,CA,Marin County,1.25
6043,2021-03-27,CA,Mariposa County,0.0
6045,2021-03-27,CA,Mendocino County,1.3599999999999999
6047,2021-03-27,CA,Merced County,4.79
6049,2021-03-27,CA,Modoc County,0.0
6051,2021-03-27,CA,Mono County,0.0
6053,2021-03-27,CA,Monterey County,1.74
6055,2021-03-27,CA,Napa County,1.9500000000000002
6057,2021-03-27,CA,Nevada County,3.48
6059,2021-03-27,CA,Orange County,1.62
6061,2021-03-27,CA,Placer County,2.64
6063,2021-03-27,CA,Plumas County,0.0
6065,2021-03-27,CA,Riverside County,2.17
6067,2021-03-27,CA,Sacramento County,3.14
6069,2021-03-27,CA,San Benito County,2.0
6071,2021-03-27,CA,San Bernardino County,2.03
6073,2021-03-27,CA,San Diego County,2.05
6075,2021-03-27,CA,San Francisco County,0.9
6077,2021-03-27,CA,San Joaquin County,3.99
6079,2021-03-27,CA,San Luis Obispo County,2.81
6081,2021-03-27,CA,San Mateo County,0.9
6083,2021-03-27,CA,Santa Barbara County,2.84
6085,2021-03-27,CA,Santa Clara County,1.12
6087,2021-03-27,CA,Santa Cruz County,1.15
6089,2021-03-27,CA,Shasta County,2.56
6091,2021-03-27,CA,Sierra County,0.0
6093,2021-03-27,CA,Siskiyou County,0.0
6095,2021-03-27,CA,Solano County,2.32
6097,2021-03-27,CA,Sonoma County,1.69
6099,2021-03-27,CA,Stanislaus County,4.78
6101,2021-03-27,CA,Sutter County,4.24
6103,2021-03-27,CA,Tehama County,6.2
6105,2021-03-27,CA,Trinity County,0.0
6107,2021-03-27,CA,Tulare County,2.09
6109,2021-03-27,CA,Tuolumne County,1.32
6111,2021-03-27,CA,Ventura County,1.78
6113,2021-03-27,CA,Yolo County,0.64
6115,2021-03-27,CA,Yuba County,3.45
17001,2021-03-27,IL,Adams County,0.87
17003,2021-03-27,IL,Alexander County,3.81
17005,2021-03-27,IL,Bond County,0.9
17007,2021-03-27,IL,Boone County,5.93
17009,2021-03-27,IL,Brown County,0.0
17011,2021-03-27,IL,Bureau County,1.9500000000000002
17013,2021-03-27,IL,Calhoun County,7.02
17015,2021-03-27,IL,Carroll County,9.06
17017,2021-03-27,IL,Cass County,5.67
17019,2021-03-27,IL,Champaign County,0.56
17021,2021-03-27,IL,Christian County,1.48
17023,2021-03-27,IL,Clark County,1.73
17025,2021-03-27,IL,Clay County,0.6000000000000001
17027,2021-03-27,IL,Clinton County,1.94
17029,2021-03-27,IL,Coles County,3.27
17031,2021-03-27,IL,Cook County,4.6
17033,2021-03-27,IL,Crawford County,2.03
17035,2021-03-27,IL,Cumberland County,8.29
17039,2021-03-27,IL,De Witt County,2.59
17037,2021-03-27,IL,DeKalb County,5.88
17041,2021-03-27,IL,Douglas County,1.9
17043,2021-03-27,IL,DuPage County,5.25
17045,2021-03-27,IL,Edgar County,2.52
17047,2021-03-27,IL,Edwards County,2.38
17049,2021-03-27,IL,Effingham County,2.32
17051,2021-03-27,IL,Fayette County,2.01
17053,2021-03-27,IL,Ford County,1.88
17055,2021-03-27,IL,Franklin County,3.7199999999999998
17057,2021-03-27,IL,Fulton County,9.47
17059,2021-03-27,IL,Gallatin County,5.63
17061,2021-03-27,IL,Greene County,0.84
17063,2021-03-27,IL,Grundy County,3.84
17065,2021-03-27,IL,Hamilton County,5.42
17067,2021-03-27,IL,Hancock County,4.64
17069,2021-03-27,IL,Hardin County,0.0
17071,2021-03-27,IL,Henderson County,7.42
17073,2021-03-27,IL,Henry County,2.83
17075,2021-03-27,IL,Iroquois County,4.59
17077,2021-03-27,IL,Jackson County,3.21
17079,2021-03-27,IL,Jasper County,4.01
17081,2021-03-27,IL,Jefferson County,1.4
17083,2021-03-27,IL,Jersey County,2.8
17085,2021-03-27,IL,Jo Daviess County,11.25
17087,2021-03-27,IL,Johnson County,0.55
17089,2021-03-27,IL,Kane County,5.65
17091,2021-03-27,IL,Kankakee County,4.12
17093,2021-03-27,IL,Kendall County,6.31
17095,2021-03-27,IL,Knox County,1.18
17097,2021-03-27,IL,Lake County,3.67
17099,2021-03-27,IL,LaSalle County,2.56
17101,2021-03-27,IL,Lawrence County,1.3599999999999999
17103,2021-03-27,IL,Lee County,6.38
17105,2021-03-27,IL,Livingston County,2.59
17107,2021-03-27,IL,Logan County,5.06
17115,2021-03-27,IL,Macon County,2.85
17117,2021-03-27,IL,Macoupin County,2.83
17119,2021-03-27,IL,Madison County,6.37
17121,2021-03-27,IL,Marion County,0.65
17123,2021-03-27,IL,Marshall County,4.88
17125,2021-03-27,IL,Mason County,6.78
