GEOID,Confirmed,Deaths,Incident_Rate,Case_Fatality_Ratio
01001,6543,99,11711.32471,1.5130674
01003,20423,301,9148.695987,1.473828527
01005,2221,54,8997.00235,2.431337235
01007,2535,58,11319.99643,2.287968442
01009,6415,131,11093.6257,2.042088854
01011,1201,39,11889.91189,3.247293922
01013,2087,66,10731.18058,3.162434116
01015,14192,304,12492.4079,2.14205186
01017,3481,116,10467.91363,3.332375754
01019,1801,43,6875.095434,2.387562465
01021,4019,109,9046.097056,2.712117442
01023,583,24,4631.027087,4.116638079
01025,3460,58,14647.36263,1.676300578
01027,1480,54,11182.47072,3.648648649
01029,1449,41,9718.309859,2.829537612
01031,5373,108,10265.17901,2.010050251
01033,6151,125,11134.8455,2.032189888
01035,1086,26,8999.751388,2.394106814
01037,942,24,8834.286786,2.547770701
01039,4034,111,10888.28308,2.751611304
01041,1495,57,10855.3587,3.81270903
01043,9339,186,11148.64865,1.991647928
01045,4746,109,9651.834377,2.296670881
01047,3510,148,9436.498548,4.216524217
01049,8690,179,12151.63677,2.059838895
01051,9892,201,12180.91591,2.031945006
01053,3856,74,10526.02844,1.919087137
01055,13631,342,13328.70497,2.508986868
01057,2060,59,12636.48632,2.86407767
01059,4183,82,13337.79733,1.960315563
01061,2440,73,9287.807849,2.991803279
01063,903,34,11133.02922,3.765227021
01065,2158,73,14729.37001,3.382761816
01067,1865,42,10839.87213,2.252010724
01069,10299,271,9726.865756,2.631323429
01071,6714,106,13005.07496,1.578790587
01073,74399,1455,11297.00124,1.955671447
01075,1382,33,10010.86563,2.387843705
01077,9076,218,9787.660818,2.40193918
01079,2914,94,8850.686429,3.225806452
01081,15371,166,9341.687837,1.079955761
01083,9709,145,9815.498155,1.493459677
01085,1358,53,13962.57454,3.902798233
01087,1530,47,8468.009741,3.071895425
01089,33401,488,8956.876879,1.461034101
01091,2495,58,13226.95223,2.324649299
01093,3049,99,10262.8833,3.246966218
01095,11830,217,12224.35778,1.834319527
01097,37420,786,9055.927979,2.100481026
01099,1699,39,8194.665509,2.295467922
01101,23539,550,10393.13688,2.336547857
01103,14108,263,11788.2001,1.86419053
01105,1077,27,12069.93164,2.506963788
01107,2321,57,11645.76016,2.455838001
01109,3035,74,9165.307725,2.438220758
01111,1738,41,7648.974562,2.359033372
01113,4210,36,7263.50477,0.855106888
01115,9314,232,10405.30879,2.490873953
01117,22930,232,10532.7466,1.011774967
01119,1023,32,8232.07532,3.128054741
01121,7941,167,9928.98047,2.103009697
01123,3843,144,9520.1526,3.7470726
01125,24986,434,11934.75198,1.736972705
01127,7032,274,11070.35469,3.896473265
01129,1637,38,10026.95088,2.321319487
01131,1246,26,12011.95411,2.086677368
01133,2710,71,11468.95764,2.619926199
02013,364,2,10908.0012,0.549450549
