GEOID,date,state,county,percent_new_test_results_reported_positive_7_day_rolling_average
6001,2021-04-19,CA,Alameda County,1.51
6003,2021-04-19,CA,Alpine County,0.0
6005,2021-04-19,CA,Amador County,0.0
6007,2021-04-19,CA,Butte County,3.99
6009,2021-04-19,CA,Calaveras County,0.0
6011,2021-04-19,CA,Colusa County,0.0
6013,2021-04-19,CA,Contra Costa County,1.81
6015,2021-04-19,CA,Del Norte County,0.0
6017,2021-04-19,CA,El Dorado County,3.46
6019,2021-04-19,CA,Fresno County,2.51
6021,2021-04-19,CA,Glenn County,0.0
6023,2021-04-19,CA,Humboldt County,4.0
6025,2021-04-19,CA,Imperial County,3.15
6027,2021-04-19,CA,Inyo County,0.0
6029,2021-04-19,CA,Kern County,1.52
6031,2021-04-19,CA,Kings County,1.42
6033,2021-04-19,CA,Lake County,1.79
6035,2021-04-19,CA,Lassen County,0.0
6037,2021-04-19,CA,Los Angeles County,0.96
6039,2021-04-19,CA,Madera County,1.5
6041,2021-04-19,CA,Marin County,0.51
6043,2021-04-19,CA,Mariposa County,0.0
6045,2021-04-19,CA,Mendocino County,1.11
6047,2021-04-19,CA,Merced County,3.59
6049,2021-04-19,CA,Modoc County,0.0
6051,2021-04-19,CA,Mono County,0.0
6053,2021-04-19,CA,Monterey County,0.79
6055,2021-04-19,CA,Napa County,1.65
6057,2021-04-19,CA,Nevada County,3.92
6059,2021-04-19,CA,Orange County,1.34
6061,2021-04-19,CA,Placer County,3.59
6063,2021-04-19,CA,Plumas County,0.0
6065,2021-04-19,CA,Riverside County,1.9500000000000002
6067,2021-04-19,CA,Sacramento County,3.03
6069,2021-04-19,CA,San Benito County,3.08
6071,2021-04-19,CA,San Bernardino County,1.78
6073,2021-04-19,CA,San Diego County,2.32
6075,2021-04-19,CA,San Francisco County,0.93
6077,2021-04-19,CA,San Joaquin County,2.5700000000000003
6079,2021-04-19,CA,San Luis Obispo County,1.7000000000000002
6081,2021-04-19,CA,San Mateo County,0.88
6083,2021-04-19,CA,Santa Barbara County,1.6600000000000001
6085,2021-04-19,CA,Santa Clara County,1.1400000000000001
6087,2021-04-19,CA,Santa Cruz County,1.02
6089,2021-04-19,CA,Shasta County,3.17
6091,2021-04-19,CA,Sierra County,0.0
6093,2021-04-19,CA,Siskiyou County,0.0
6095,2021-04-19,CA,Solano County,2.81
6097,2021-04-19,CA,Sonoma County,1.04
6099,2021-04-19,CA,Stanislaus County,3.63
6101,2021-04-19,CA,Sutter County,4.11
6103,2021-04-19,CA,Tehama County,5.37
6105,2021-04-19,CA,Trinity County,0.0
6107,2021-04-19,CA,Tulare County,1.52
6109,2021-04-19,CA,Tuolumne County,1.72
6111,2021-04-19,CA,Ventura County,1.05
6113,2021-04-19,CA,Yolo County,0.61
6115,2021-04-19,CA,Yuba County,3.99
17001,2021-04-19,IL,Adams County,3.07
17003,2021-04-19,IL,Alexander County,0.0
17005,2021-04-19,IL,Bond County,1.6099999999999999
17007,2021-04-19,IL,Boone County,10.6
17009,2021-04-19,IL,Brown County,1.03
17011,2021-04-19,IL,Bureau County,3.56
17013,2021-04-19,IL,Calhoun County,0.0
17015,2021-04-19,IL,Carroll County,5.22
17017,2021-04-19,IL,Cass County,0.75
17019,2021-04-19,IL,Champaign County,0.63
17021,2021-04-19,IL,Christian County,2.17
17023,2021-04-19,IL,Clark County,3.7
17025,2021-04-19,IL,Clay County,0.97
17027,2021-04-19,IL,Clinton County,2.17
17029,2021-04-19,IL,Coles County,5.0
17031,2021-04-19,IL,Cook County,5.22
17033,2021-04-19,IL,Crawford County,0.5700000000000001
17035,2021-04-19,IL,Cumberland County,3.77
17039,2021-04-19,IL,De Witt County,7.72
17037,2021-04-19,IL,DeKalb County,9.42
17041,2021-04-19,IL,Douglas County,2.86
17043,2021-04-19,IL,DuPage County,5.45
17045,2021-04-19,IL,Edgar County,3.71
17047,2021-04-19,IL,Edwards County,10.03
17049,2021-04-19,IL,Effingham County,2.58
17051,2021-04-19,IL,Fayette County,1.49
17053,2021-04-19,IL,Ford County,8.57
17055,2021-04-19,IL,Franklin County,2.9699999999999998
