Geographic Area Name,HighSchool_WholeRate,Bachelor_WholeRate,HighSchool_WhiteRate,Bachelor_WhiteRate,HighSchool_NHWhiteRate,Bachelor_NHWhiteRate,HighSchool_BlackRate,Bachelor_BlackRate
"Bristol Bay Borough, Alaska",94.0,22.5,99.4,34.7,99.4,33.2,100.0,100.0
"Denali Borough, Alaska",98.5,41.1,98.6,42.5,98.6,42.5,100.0,0.0
"Dillingham Census Area, Alaska",86.3,22.1,99.1,68.9,99.5,70.2,100.0,81.2
"Fairbanks North Star Borough, Alaska",94.5,31.4,96.0,33.4,96.0,34.5,94.0,23.8
"Haines Borough, Alaska",97.5,33.8,98.2,38.0,98.3,38.8,,
"Hoonah-Angoon Census Area, Alaska",93.7,21.3,98.9,35.7,99.2,34.2,100.0,0.0
"Juneau City and Borough, Alaska",96.4,38.4,97.8,45.9,98.1,46.9,100.0,25.7
"Kenai Peninsula Borough, Alaska",92.7,24.6,94.0,26.3,94.2,26.5,86.6,31.9
"Ketchikan Gateway Borough, Alaska",92.8,25.3,94.2,28.2,94.2,27.8,93.7,18.9
"Kodiak Island Borough, Alaska",89.8,28.0,93.3,38.8,94.7,40.6,100.0,14.3
"Kusilvak Census Area, Alaska",78.9,3.9,98.9,28.3,99.6,28.5,100.0,0.0
"Lake and Peninsula Borough, Alaska",88.0,16.1,96.1,53.6,96.1,53.6,100.0,10.0
"Matanuska-Susitna Borough, Alaska",92.9,21.6,93.7,23.0,93.7,23.2,91.5,18.7
"Nome Census Area, Alaska",84.6,16.1,98.5,55.2,98.4,56.5,100.0,38.0
"North Slope Borough, Alaska",89.7,16.5,98.1,27.5,98.1,27.2,97.0,40.9
"Northwest Arctic Borough, Alaska",82.5,13.2,99.6,56.1,99.6,56.3,100.0,27.0
"Petersburg Borough, Alaska",89.7,28.4,92.4,32.0,95.8,34.5,83.3,20.8
"Prince of Wales-Hyder Census Area, Alaska",90.8,18.3,92.1,26.6,92.1,26.2,100.0,38.5
"Sitka City and Borough, Alaska",94.7,33.4,95.7,41.9,96.4,42.8,96.8,20.6
"Skagway Municipality, Alaska",94.7,29.6,94.9,32.5,95.3,32.4,100.0,9.3
"Southeast Fairbanks Census Area, Alaska",89.9,19.7,92.4,22.6,92.3,22.5,100.0,0.0
"Valdez-Cordova Census Area, Alaska",95.4,30.8,97.5,37.0,97.4,37.2,100.0,0.0
"Wrangell City and Borough, Alaska",86.5,19.4,91.2,22.5,91.1,22.6,100.0,0.0
"Yakutat City and Borough, Alaska",91.2,22.6,98.2,40.0,98.1,41.5,100.0,0.0
"Yukon-Koyukuk Census Area, Alaska",86.0,13.6,96.3,34.3,96.5,34.1,100.0,0.0
"Apache, Arizona",80.4,12.3,90.2,21.3,94.2,24.2,69.2,26.9
"Cochise, Arizona",87.4,23.1,87.7,22.8,93.0,27.3,95.3,26.8
"Coconino, Arizona",90.5,36.2,95.7,47.4,97.1,50.4,97.6,30.8
"Gila, Arizona",86.3,18.7,89.1,20.5,91.4,22.7,75.8,20.8
"Graham, Arizona",85.3,15.2,86.7,16.9,91.1,20.6,80.3,4.0
"Greenlee, Arizona",88.1,13.5,88.6,13.5,90.7,17.1,94.9,27.6
"La Paz, Arizona",76.9,12.0,77.9,12.0,83.2,13.2,61.8,15.8
"Maricopa, Arizona",87.7,32.7,89.4,33.6,95.1,39.2,90.3,26.2
"Mohave, Arizona",86.1,12.9,86.6,12.8,88.2,13.3,83.6,11.0
"Navajo, Arizona",83.4,15.3,90.5,22.8,91.8,24.1,89.1,7.9
"Pima, Arizona",88.4,32.4,90.9,35.1,95.2,40.7,87.6,25.6
"Pinal, Arizona",85.8,19.5,87.2,20.6,92.2,24.0,88.5,20.1
"Santa Cruz, Arizona",76.6,20.4,78.5,22.2,96.3,45.1,70.4,5.4
"Yavapai, Arizona",91.0,25.9,91.8,26.3,93.5,27.7,80.7,26.1
"Yuma, Arizona",73.3,15.0,74.5,15.1,89.7,20.2,89.6,22.3
"Arkansas, Arkansas",83.9,15.8,86.9,19.1,87.2,19.1,73.8,5.0
"Ashley, Arkansas",83.3,12.3,86.8,14.4,88.6,14.5,73.0,6.2
"Baxter, Arkansas",88.7,17.9,89.0,17.7,89.2,17.7,54.5,0.0
"Benton, Arkansas",88.6,33.4,89.2,31.9,93.5,34.6,92.4,49.0
"Boone, Arkansas",87.4,16.1,87.6,16.4,87.5,16.6,100.0,0.0
"Bradley, Arkansas",81.0,14.3,82.0,18.5,88.9,20.5,83.4,6.1
"Calhoun, Arkansas",84.2,11.4,87.6,11.7,88.1,12.0,70.9,10.8
"Carroll, Arkansas",86.3,21.2,87.4,21.5,90.1,22.3,96.9,5.6
"Chicot, Arkansas",80.8,15.9,82.3,19.9,85.6,20.6,80.2,11.8
"Clark, Arkansas",90.0,26.6,90.3,28.4,90.4,28.4,90.8,21.9
"Clay, Arkansas",82.5,12.6,82.7,13.0,82.7,13.0,54.8,0.0
"Cleburne, Arkansas",85.9,15.5,86.0,15.9,85.8,15.8,82.7,12.0
"Cleveland, Arkansas",89.6,16.2,90.5,15.5,90.7,15.6,81.8,21.1
"Columbia, Arkansas",85.9,19.6,88.6,26.6,89.3,26.5,81.2,5.8
"Conway, Arkansas",87.0,15.6,87.5,16.0,87.6,16.3,87.3,12.4
"Craighead, Arkansas",89.3,26.2,90.0,27.6,91.0,27.9,88.8,15.9
"Crawford, Arkansas",85.0,16.0,86.4,15.9,86.5,15.8,82.0,8.8
"Crittenden, Arkansas",82.6,17.4,88.0,22.8,89.1,23.3,77.1,11.9
"Cross, Arkansas",83.6,14.4,84.3,15.0,84.2,15.1,84.0,15.8
"Dallas, Arkansas",83.9,11.9,88.8,16.8,88.9,16.8,76.7,5.3
"Desha, Arkansas",81.1,14.1,86.1,20.3,87.5,21.4,76.4,6.7
"Drew, Arkansas",86.9,22.8,88.4,23.7,88.8,24.3,84.1,19.2
"Faulkner, Arkansas",91.8,30.6,92.1,30.7,92.4,30.9,93.2,29.5
"Franklin, Arkansas",83.7,12.1,83.8,12.5,83.8,12.7,92.0,4.4
"Fulton, Arkansas",85.6,12.2,85.8,12.5,86.3,12.6,100.0,0.0
"Garland, Arkansas",89.1,21.6,90.4,22.9,91.0,23.4,82.6,8.8
"Grant, Arkansas",90.8,18.7,91.1,18.7,91.3,18.9,75.2,22.1
"Greene, Arkansas",88.2,16.2,88.7,16.5,88.7,16.5,73.5,0.0
"Hempstead, Arkansas",82.6,15.1,88.3,19.0,89.9,19.2,82.4,8.7
"Hot Spring, Arkansas",85.8,13.3,85.8,14.2,85.9,14.3,84.0,6.9
"Howard, Arkansas",85.2,13.6,88.1,16.0,89.4,16.0,84.8,9.5
"Independence, Arkansas",86.0,17.5,87.1,17.7,87.4,17.8,85.1,29.4
"Izard, Arkansas",83.8,13.1,84.1,13.7,84.3,13.8,46.8,0.0
"Jackson, Arkansas",80.2,10.1,80.4,11.3,80.8,11.3,76.8,3.7
