Geographic Area Name,HighSchool_WholeRate,Bachelor_WholeRate,HighSchool_WhiteRate,Bachelor_WhiteRate,HighSchool_NHWhiteRate,Bachelor_NHWhiteRate,HighSchool_BlackRate,Bachelor_BlackRate
"Guthrie, Iowa",93.1,19.8,93.7,19.9,93.9,19.8,100.0,33.3
"Hamilton, Iowa",93.3,24.3,94.0,24.6,95.9,24.9,92.4,11.4
"Hancock, Iowa",93.3,23.8,93.7,24.4,94.1,24.6,89.5,0.0
"Hardin, Iowa",92.4,20.8,92.9,21.2,93.7,21.4,15.4,0.0
"Harrison, Iowa",91.5,19.5,91.4,18.8,91.3,18.9,100.0,0.0
"Henry, Iowa",92.6,19.6,93.5,19.9,93.8,20.2,83.2,7.3
"Howard, Iowa",90.9,15.8,91.3,15.8,91.3,15.6,76.2,0.0
"Humboldt, Iowa",92.8,21.2,92.9,21.0,95.0,21.7,97.0,15.2
"Ida, Iowa",93.2,18.6,93.5,19.0,93.6,19.1,48.0,0.0
"Iowa, Iowa",93.8,18.8,94.0,18.8,94.0,19.1,91.2,0.0
"Jackson, Iowa",92.6,19.2,92.6,19.2,92.8,19.3,100.0,0.0
"Jasper, Iowa",93.9,18.8,94.6,19.3,94.8,19.3,85.4,6.3
"Jefferson, Iowa",93.2,31.5,92.1,30.8,92.3,30.6,99.9,11.4
"Johnson, Iowa",94.9,52.8,96.5,54.2,97.0,54.9,86.5,20.2
"Jones, Iowa",92.3,19.5,93.8,19.9,93.9,19.9,67.3,14.4
"Keokuk, Iowa",92.9,18.3,93.2,17.9,93.2,17.4,100.0,44.4
"Kossuth, Iowa",93.9,17.5,94.4,17.7,94.7,17.8,83.3,23.3
"Lee, Iowa",93.0,16.4,93.6,16.6,93.9,16.7,80.8,7.9
"Linn, Iowa",94.5,33.1,95.5,33.6,95.7,33.8,84.6,15.4
"Louisa, Iowa",84.1,14.9,85.2,14.3,89.3,15.7,93.2,9.6
"Lucas, Iowa",92.1,17.0,92.0,17.0,92.9,17.2,100.0,0.0
"Lyon, Iowa",90.6,20.7,91.3,21.2,91.5,21.2,60.0,30.0
"Madison, Iowa",94.2,24.5,94.8,24.7,95.3,24.8,66.7,0.0
"Mahaska, Iowa",92.2,22.0,92.7,22.0,92.6,22.3,72.0,8.8
"Marion, Iowa",93.3,28.8,93.2,28.4,93.2,28.5,99.6,16.7
"Marshall, Iowa",83.8,18.8,88.0,19.8,93.3,21.8,80.8,1.6
"Mills, Iowa",92.8,24.1,93.1,24.2,93.3,24.4,0.0,0.0
"Mitchell, Iowa",91.8,19.0,91.9,19.3,91.9,19.0,90.6,0.0
"Monona, Iowa",92.3,15.3,92.2,15.9,92.4,16.0,100.0,0.0
"Monroe, Iowa",87.7,17.4,87.6,17.4,87.9,17.4,,
"Montgomery, Iowa",90.4,18.5,91.3,18.9,91.3,19.0,100.0,100.0
"Muscatine, Iowa",89.0,21.5,90.0,22.0,92.2,23.4,94.5,16.3
"O'Brien, Iowa",92.1,18.8,92.2,18.8,92.2,19.2,100.0,40.9
"Osceola, Iowa",88.4,17.9,89.2,18.5,90.7,18.6,97.6,0.0
"Page, Iowa",91.5,20.2,92.0,20.1,92.0,20.3,62.4,8.2
"Palo Alto, Iowa",92.7,25.5,92.9,25.5,93.1,25.3,92.5,37.6
"Plymouth, Iowa",93.1,23.2,94.0,23.9,94.8,24.3,100.0,3.4
"Pocahontas, Iowa",92.2,15.0,92.8,15.0,94.1,15.4,18.9,0.0
"Polk, Iowa",91.5,36.7,93.7,38.5,95.3,39.9,84.2,19.3
"Pottawattamie, Iowa",89.5,21.5,90.1,21.9,91.2,22.4,91.9,6.4
"Poweshiek, Iowa",93.9,26.1,94.5,26.0,94.7,25.7,95.9,43.4
"Ringgold, Iowa",92.7,21.4,93.1,21.6,93.2,21.6,,
"Sac, Iowa",92.8,20.0,93.0,20.2,93.5,20.5,96.9,0.0
"Scott, Iowa",92.8,31.8,94.0,32.5,94.7,33.2,84.1,15.1
"Shelby, Iowa",92.4,22.2,92.4,22.4,92.3,22.2,87.5,15.9
"Sioux, Iowa",90.2,29.1,91.7,29.4,94.3,30.9,91.0,44.8
"Story, Iowa",97.2,51.6,97.4,49.4,97.7,49.5,94.1,53.6
"Tama, Iowa",91.3,15.8,92.1,16.4,94.3,17.2,90.7,0.0
"Taylor, Iowa",90.2,14.5,92.7,15.2,93.1,15.5,,
"Union, Iowa",90.3,18.0,90.8,17.8,91.6,18.0,100.0,0.0
"Van Buren, Iowa",89.2,14.4,89.4,13.6,89.6,13.6,86.7,33.3
"Wapello, Iowa",88.1,18.8,89.7,19.5,92.1,20.2,80.9,11.9
"Warren, Iowa",95.4,31.9,95.7,32.2,95.9,32.5,89.3,5.9
"Washington, Iowa",91.4,21.8,92.2,21.9,92.9,22.4,77.1,0.0
"Wayne, Iowa",87.9,12.7,87.8,12.9,87.9,12.8,73.3,6.7
"Webster, Iowa",90.5,19.9,90.8,20.3,91.1,20.6,85.3,9.7
"Winnebago, Iowa",92.4,21.8,93.6,22.2,94.3,22.3,95.1,3.3
"Winneshiek, Iowa",95.2,30.6,95.1,30.4,95.2,30.3,98.7,76.3
"Woodbury, Iowa",87.1,23.1,89.0,24.4,93.5,26.6,73.5,10.4
"Worth, Iowa",93.3,17.5,93.7,17.5,93.7,17.8,73.2,0.0
"Wright, Iowa",92.4,17.2,93.4,17.5,94.1,17.7,100.0,0.0
"Allen, Kansas",91.9,20.3,92.1,20.6,92.3,20.3,76.9,21.8
"Anderson, Kansas",91.0,18.1,91.0,18.1,90.9,18.3,100.0,33.3
"Atchison, Kansas",92.7,22.0,92.9,23.0,93.0,23.2,87.5,3.4
"Barber, Kansas",91.1,20.7,92.2,21.4,93.2,21.7,100.0,0.0
"Barton, Kansas",89.5,20.9,90.4,20.9,92.6,22.1,86.1,19.1
"Bourbon, Kansas",91.3,21.7,91.9,22.3,91.8,22.8,77.3,1.6
"Brown, Kansas",93.2,21.2,93.5,22.2,93.5,22.2,77.8,6.9
"Butler, Kansas",92.5,29.8,93.2,29.7,93.6,29.6,70.3,15.9
"Chase, Kansas",91.8,25.5,92.0,26.3,92.1,26.3,68.4,0.0
"Chautauqua, Kansas",86.6,15.9,86.6,15.2,86.4,15.4,84.6,0.0
"Cherokee, Kansas",89.9,19.6,89.6,19.8,89.7,20.0,100.0,19.1
"Cheyenne, Kansas",93.6,28.9,95.2,29.9,95.6,29.6,,
"Clark, Kansas",94.8,26.1,94.7,25.9,95.8,26.6,62.5,0.0
"Clay, Kansas",92.9,26.7,92.7,27.3,92.9,26.9,83.9,0.0
"Cloud, Kansas",93.0,24.0,93.6,24.4,93.9,24.6,100.0,0.0
"Coffey, Kansas",92.7,24.5,93.3,25.1,93.3,25.3,100.0,15.6
"Comanche, Kansas",93.9,16.0,94.1,16.2,94.0,16.1,100.0,0.0
"Cowley, Kansas",90.7,21.8,91.4,22.1,92.7,23.4,79.9,19.5
"Crawford, Kansas",92.1,29.9,92.4,30.3,92.9,30.8,90.0,10.9
"Decatur, Kansas",94.0,22.5,93.9,22.6,96.3,23.4,100.0,0.0
"Dickinson, Kansas",91.5,22.9,91.3,23.0,91.8,23.4,100.0,23.0
"Doniphan, Kansas",90.3,21.1,90.3,21.4,90.3,21.7,94.8,6.3
"Douglas, Kansas",95.4,49.6,95.5,50.3,96.1,50.9,95.0,27.0
"Edwards, Kansas",85.4,18.1,87.0,18.4,91.1,20.8,100.0,0.0
"Elk, Kansas",88.5,15.6,88.3,14.9,91.0,15.5,100.0,0.0
"Ellis, Kansas",93.3,36.3,93.9,35.1,94.5,35.3,65.2,45.5
"Ellsworth, Kansas",91.6,19.5,92.1,19.9,92.7,20.8,75.6,15.6
"Finney, Kansas",71.0,17.1,74.2,18.8,91.9,27.7,81.7,1.4
"Ford, Kansas",73.6,17.7,74.3,18.4,93.6,29.1,76.3,5.4
"Franklin, Kansas",92.2,20.4,92.7,20.4,93.0,20.4,96.2,48.9
"Geary, Kansas",93.8,23.2,95.5,26.3,96.5,28.3,91.7,13.1
"Gove, Kansas",92.1,19.7,91.8,19.5,93.0,19.9,71.4,0.0
"Graham, Kansas",92.6,24.7,92.1,26.5,92.1,26.1,100.0,12.6
"Grant, Kansas",77.0,14.9,82.0,16.0,92.8,25.1,0.0,0.0
"Gray, Kansas",77.4,20.2,76.7,20.8,80.1,23.1,100.0,0.0
"Greeley, Kansas",87.0,27.2,91.3,29.6,93.4,26.7,,
"Greenwood, Kansas",92.4,19.9,93.0,20.2,92.9,20.7,100.0,0.0
"Hamilton, Kansas",80.8,18.7,81.4,19.9,94.2,23.4,69.0,6.9
"Harper, Kansas",89.6,16.2,89.6,16.8,91.0,17.0,100.0,0.0
"Harvey, Kansas",90.5,33.2,90.7,33.9,92.6,35.4,69.1,25.6
"Haskell, Kansas",72.4,17.1,75.9,18.9,80.7,22.3,100.0,0.0
"Hodgeman, Kansas",91.1,30.8,91.3,29.4,93.7,30.5,100.0,0.0
"Jackson, Kansas",94.6,20.2,95.1,20.3,95.4,20.3,78.9,0.0
"Jefferson, Kansas",93.5,23.2,93.5,23.1,93.4,23.1,96.9,11.2
"Jewell, Kansas",93.1,19.3,93.0,19.6,93.2,19.4,100.0,0.0
"Johnson, Kansas",96.0,56.0,96.7,56.7,97.9,58.3,92.8,37.6
"Kearny, Kansas",75.9,14.7,76.6,15.0,86.0,18.2,50.0,0.0
"Kingman, Kansas",93.6,24.4,93.5,24.4,93.4,24.3,100.0,43.5
"Kiowa, Kansas",88.2,28.1,88.6,28.3,89.0,28.7,85.7,71.4
"Labette, Kansas",89.8,18.7,90.8,19.6,91.0,19.7,76.3,6.6
"Lane, Kansas",94.3,23.1,95.9,23.5,96.9,24.2,,
"Leavenworth, Kansas",92.2,31.5,93.3,32.6,93.5,33.4,83.0,24.2
"Lincoln, Kansas",93.3,22.8,93.8,23.1,94.2,23.2,100.0,0.0
"Linn, Kansas",89.7,16.2,90.6,16.3,91.1,16.4,78.0,44.0
"Logan, Kansas",91.0,16.6,93.2,16.8,93.0,16.5,100.0,0.0
"Lyon, Kansas",88.3,27.5,89.5,27.9,96.0,31.7,92.1,23.0
"McPherson, Kansas",91.3,28.0,91.3,28.3,92.1,28.8,87.8,10.6
"Marion, Kansas",91.6,25.0,91.6,25.4,92.1,25.8,92.9,16.1
"Marshall, Kansas",92.2,18.9,92.4,18.5,92.8,18.8,100.0,0.0
"Meade, Kansas",80.7,20.3,85.4,23.0,87.1,24.0,81.3,0.0
"Miami, Kansas",96.0,29.8,96.3,30.0,96.5,30.5,98.0,27.8
"Mitchell, Kansas",94.8,26.1,95.1,26.1,95.0,26.4,80.0,0.0
"Montgomery, Kansas",88.8,19.5,90.1,19.2,90.8,19.4,79.3,20.9
"Morris, Kansas",91.2,21.4,91.1,21.4,91.7,21.8,100.0,0.0
"Morton, Kansas",84.0,17.3,85.7,17.1,92.4,19.9,90.0,0.0
"Nemaha, Kansas",94.2,25.4,94.2,25.9,94.5,26.0,84.6,0.0
"Neosho, Kansas",90.8,18.1,91.2,18.4,92.0,19.1,94.9,8.9
"Ness, Kansas",90.9,19.4,92.3,20.0,95.2,20.8,100.0,0.0
"Norton, Kansas",89.1,18.8,90.9,20.0,91.9,20.3,65.6,0.0
"Osage, Kansas",90.8,19.2,91.6,19.2,91.6,19.3,43.6,12.8
"Osborne, Kansas",93.9,23.6,94.3,24.1,94.3,23.8,90.9,0.0
"Ottawa, Kansas",94.9,24.5,94.9,24.6,95.4,25.0,94.4,0.0
"Pawnee, Kansas",90.6,19.6,92.1,20.8,92.5,20.6,74.8,2.8
"Phillips, Kansas",92.4,21.8,92.7,22.3,93.1,22.1,75.0,0.0
"Pottawatomie, Kansas",94.2,33.8,94.5,34.1,95.6,35.3,78.1,0.0
"Pratt, Kansas",92.1,30.3,92.1,30.1,93.5,30.6,100.0,20.6
"Rawlins, Kansas",95.8,24.1,96.4,24.5,96.3,24.8,100.0,100.0
"Reno, Kansas",88.5,20.9,89.6,21.3,90.4,21.9,74.6,12.5
"Republic, Kansas",95.9,25.5,95.9,25.2,96.0,25.2,100.0,0.0
"Rice, Kansas",91.6,22.8,91.5,24.0,93.5,25.2,100.0,17.9
"Riley, Kansas",95.8,45.6,96.1,47.1,97.2,48.6,95.5,22.4
"Rooks, Kansas",88.7,23.1,90.1,23.6,90.2,23.9,20.4,0.0
"Rush, Kansas",92.1,23.7,91.9,24.1,91.7,23.9,100.0,0.0
"Russell, Kansas",88.1,23.1,88.8,24.0,90.8,24.4,97.9,0.0
"Saline, Kansas",91.5,27.3,92.6,28.1,93.6,28.6,96.6,28.7
"Scott, Kansas",84.4,25.1,83.5,25.9,88.1,28.6,,
"Sedgwick, Kansas",89.6,30.9,91.5,33.1,94.0,34.7,88.0,17.2
"Seward, Kansas",66.3,11.0,79.9,14.0,92.1,18.3,52.1,5.5
"Shawnee, Kansas",92.2,30.9,93.7,33.3,95.0,34.9,86.1,11.4
"Sheridan, Kansas",96.1,22.0,96.1,21.7,96.0,22.3,85.7,0.0
"Sherman, Kansas",92.3,21.8,94.0,21.7,94.9,23.2,0.0,0.0
"Smith, Kansas",93.0,22.3,93.0,21.8,92.8,21.9,100.0,0.0
"Stafford, Kansas",90.7,25.2,91.1,25.8,93.5,27.2,100.0,0.0
"Stanton, Kansas",78.5,19.0,78.3,19.2,87.8,26.4,,
"Stevens, Kansas",78.2,13.7,81.9,13.6,88.9,18.0,100.0,52.4
"Sumner, Kansas",92.3,23.3,93.0,23.5,93.6,23.5,59.6,10.6
"Thomas, Kansas",93.3,22.6,94.0,22.5,95.1,22.7,100.0,39.0
"Trego, Kansas",93.2,24.8,93.0,25.4,92.9,25.6,100.0,0.0
"Wabaunsee, Kansas",95.4,24.2,95.6,24.8,95.9,25.0,81.5,0.0
"Wallace, Kansas",94.7,32.4,97.5,34.3,97.5,34.0,100.0,0.0
"Washington, Kansas",91.6,20.3,91.8,20.4,92.0,20.8,100.0,0.0
"Wichita, Kansas",86.6,20.6,87.7,20.0,96.6,24.8,100.0,0.0
"Wilson, Kansas",88.5,16.5,88.7,16.9,88.6,17.1,43.3,0.0
"Woodson, Kansas",90.7,17.2,90.2,16.6,90.3,16.6,83.3,0.0
"Wyandotte, Kansas",78.9,18.1,80.6,19.7,88.0,23.2,87.1,16.6
"Adair, Kentucky",79.6,15.7,79.1,15.8,79.2,15.9,86.7,5.4
"Allen, Kentucky",82.1,16.1,82.7,16.2,83.2,16.5,35.6,0.0
"Anderson, Kentucky",89.9,20.2,89.9,20.1,89.9,19.7,90.5,23.9
"Ballard, Kentucky",87.2,15.9,87.6,16.6,87.7,16.6,78.8,0.0
"Barren, Kentucky",83.0,16.3,83.0,16.6,82.9,16.5,87.1,8.1
"Bath, Kentucky",76.9,14.5,76.8,14.9,76.7,15.0,76.6,0.0
"Bell, Kentucky",69.6,9.2,70.0,9.5,70.0,9.4,57.3,0.0
"Boone, Kentucky",93.1,32.1,93.9,32.1,94.7,32.5,93.7,22.1
"Bourbon, Kentucky",84.0,19.4,84.7,20.5,86.2,21.5,89.6,10.1
"Boyd, Kentucky",88.2,19.4,88.8,19.9,88.7,19.8,89.7,10.0
"Boyle, Kentucky",87.1,25.2,88.4,26.7,88.7,27.0,77.9,9.9
"Bracken, Kentucky",85.7,13.2,85.5,13.3,85.5,13.4,100.0,52.2
"Breathitt, Kentucky",75.6,15.2,75.6,14.9,75.6,14.9,0.0,0.0
"Breckinridge, Kentucky",84.1,11.9,84.2,12.1,84.5,12.1,75.1,10.7
"Bullitt, Kentucky",88.5,14.7,88.5,14.8,88.4,14.9,83.8,9.1
"Butler, Kentucky",79.6,13.9,79.7,13.7,80.6,13.7,100.0,0.0
"Caldwell, Kentucky",87.0,15.3,87.7,15.4,87.5,15.6,71.9,13.0
"Calloway, Kentucky",89.5,28.5,89.7,27.9,90.0,28.1,92.8,21.3
"Campbell, Kentucky",90.8,36.3,91.0,36.4,91.0,36.4,90.2,23.4
"Carlisle, Kentucky",83.3,14.9,84.3,15.4,84.1,15.0,100.0,0.0
"Carroll, Kentucky",78.3,8.2,80.6,7.9,80.8,8.1,83.7,0.0
"Carter, Kentucky",79.2,12.6,79.1,12.6,78.9,12.4,19.6,0.0
"Casey, Kentucky",76.0,12.8,76.6,13.1,77.1,13.0,55.7,0.0
"Christian, Kentucky",85.6,18.1,85.8,18.3,86.2,18.8,85.0,14.0
"Clark, Kentucky",86.2,20.1,86.4,20.7,86.8,20.8,83.9,14.8
"Clay, Kentucky",64.7,9.8,63.3,10.1,63.5,10.0,83.8,2.7
"Clinton, Kentucky",73.2,10.3,73.8,10.5,73.5,10.6,100.0,0.0
"Crittenden, Kentucky",83.8,13.1,83.5,13.2,83.3,13.0,100.0,0.0
"Cumberland, Kentucky",81.8,13.3,82.7,13.6,82.7,13.6,60.3,0.0
"Daviess, Kentucky",90.0,22.9,90.7,23.5,90.7,23.4,89.0,12.2
"Edmonson, Kentucky",78.1,10.3,78.2,9.9,78.1,9.9,100.0,65.2
"Elliott, Kentucky",75.0,9.7,74.7,10.1,74.9,10.1,80.7,3.4
"Estill, Kentucky",75.6,9.9,75.7,9.9,75.7,9.9,81.3,0.0
"Fayette, Kentucky",91.2,43.6,93.4,47.7,94.6,48.7,85.4,19.5
"Fleming, Kentucky",79.6,12.9,80.0,13.0,80.0,13.0,69.6,12.9
"Floyd, Kentucky",75.2,11.3,75.2,11.2,75.2,11.3,95.5,0.0
"Franklin, Kentucky",89.0,29.9,88.8,29.5,88.8,29.6,95.3,33.9
"Fulton, Kentucky",79.1,13.4,78.8,15.6,78.7,15.6,79.2,4.7
"Gallatin, Kentucky",81.2,11.6,81.7,11.7,81.8,11.6,96.6,0.0
"Garrard, Kentucky",81.0,17.6,81.4,18.0,82.0,18.3,75.7,3.8
"Grant, Kentucky",86.6,12.9,86.5,12.7,86.8,12.5,64.9,4.5
"Graves, Kentucky",87.4,17.4,87.7,17.6,88.1,17.3,88.7,11.4
"Grayson, Kentucky",81.5,10.5,81.2,10.5,81.2,10.6,88.7,8.3
"Green, Kentucky",75.5,13.2,74.9,13.4,75.2,13.4,92.6,5.4
"Greenup, Kentucky",89.0,17.1,89.0,17.0,89.1,16.8,100.0,11.8
"Hancock, Kentucky",85.4,11.4,85.3,11.6,85.4,11.6,87.5,0.0
"Hardin, Kentucky",90.5,22.0,90.6,21.3,90.4,21.0,93.2,24.4
"Harlan, Kentucky",72.8,10.8,72.3,10.8,72.3,10.8,86.0,8.1
"Harrison, Kentucky",82.1,14.6,82.3,14.7,82.7,14.7,87.5,0.0
"Hart, Kentucky",76.2,11.4,76.3,11.8,76.4,11.9,75.7,3.4
"Henderson, Kentucky",86.9,18.2,87.1,18.9,87.2,19.1,89.0,13.4
"Henry, Kentucky",85.1,13.1,86.0,13.3,86.3,13.2,70.5,6.8
"Hickman, Kentucky",80.1,15.8,83.4,17.2,83.4,17.2,59.4,5.6
"Hopkins, Kentucky",86.7,16.5,86.4,16.6,86.6,16.5,89.2,11.7
"Jackson, Kentucky",74.6,13.8,75.1,14.1,75.0,14.1,0.0,0.0
"Jefferson, Kentucky",90.6,33.4,91.8,36.7,92.4,37.2,87.3,18.6
"Jessamine, Kentucky",87.3,29.5,87.8,30.0,88.1,30.3,76.4,17.4
"Johnson, Kentucky",80.6,16.3,80.5,16.3,80.5,16.2,75.9,0.0
"Kenton, Kentucky",89.9,31.7,90.6,32.7,90.8,32.6,86.7,12.4
"Knott, Kentucky",75.1,14.9,74.8,14.6,74.8,14.6,74.1,48.1
"Knox, Kentucky",73.5,14.2,73.6,14.3,73.4,14.4,73.3,20.7
"Larue, Kentucky",84.0,12.4,83.9,11.8,84.3,11.6,92.9,25.3
"Laurel, Kentucky",81.1,14.4,81.1,14.6,81.1,14.6,61.4,4.0
"Lawrence, Kentucky",75.1,9.8,75.1,9.7,74.9,9.8,87.5,0.0
"Lee, Kentucky",68.1,8.3,68.2,8.4,68.0,7.8,65.4,0.0
"Leslie, Kentucky",71.3,8.7,70.9,8.5,71.0,8.5,100.0,0.0
"Letcher, Kentucky",75.7,12.1,75.6,12.0,75.5,12.0,78.2,20.0
"Lewis, Kentucky",75.8,9.1,75.8,9.2,75.8,9.2,66.7,0.0
"Lincoln, Kentucky",79.9,13.0,80.4,13.3,80.5,13.3,71.7,12.8
"Livingston, Kentucky",83.8,11.8,83.7,11.7,83.5,11.7,100.0,0.0
"Logan, Kentucky",84.9,16.4,85.6,16.9,86.1,17.1,79.2,10.9
"Lyon, Kentucky",87.8,16.9,88.1,18.2,88.0,18.1,87.2,0.0
"McCracken, Kentucky",90.5,24.2,91.3,25.3,91.4,25.3,83.2,12.3
"McCreary, Kentucky",76.6,7.2,76.3,6.8,76.1,6.8,72.7,0.0
"McLean, Kentucky",87.3,13.5,87.7,13.2,87.8,13.2,44.0,19.0
"Madison, Kentucky",87.5,30.8,87.7,31.1,88.1,31.2,83.8,21.5
"Magoffin, Kentucky",69.7,9.5,69.8,9.5,70.1,9.6,0.0,0.0
"Marion, Kentucky",81.5,12.6,81.7,13.2,81.8,13.3,78.8,3.2
"Marshall, Kentucky",88.7,19.2,88.6,18.8,88.5,18.6,92.8,54.3
"Martin, Kentucky",74.4,11.7,74.5,12.7,74.5,12.8,72.6,0.0
"Mason, Kentucky",86.3,19.5,85.6,19.4,86.6,19.6,96.6,14.8
"Meade, Kentucky",88.7,19.4,88.5,18.9,88.4,18.9,93.0,32.1
"Menifee, Kentucky",77.4,11.2,77.1,10.9,76.9,11.0,,
"Mercer, Kentucky",84.4,18.5,85.2,19.2,86.0,19.1,71.3,6.5
"Metcalfe, Kentucky",75.6,13.0,76.4,13.4,76.1,12.7,79.8,0.0
"Monroe, Kentucky",74.8,14.4,74.3,14.6,74.7,14.8,93.3,3.3
"Montgomery, Kentucky",84.8,15.7,85.0,16.1,85.3,16.1,77.8,5.6
"Morgan, Kentucky",76.3,12.5,76.0,12.9,75.6,12.8,65.3,0.0
"Muhlenberg, Kentucky",82.1,12.6,81.8,12.1,81.7,12.1,88.2,10.6
"Nelson, Kentucky",89.8,18.0,90.2,18.1,90.2,17.9,88.7,15.3
"Nicholas, Kentucky",75.8,8.9,75.7,9.1,75.6,8.6,91.7,0.0
"Ohio, Kentucky",83.3,13.6,84.0,13.9,84.2,13.8,96.2,8.3
"Oldham, Kentucky",93.8,42.4,94.0,43.3,94.9,44.0,89.2,21.7
"Owen, Kentucky",79.3,10.9,79.2,11.0,79.2,11.0,91.9,12.9
"Owsley, Kentucky",68.8,16.2,68.8,16.2,68.8,16.2,0.0,0.0
"Pendleton, Kentucky",83.8,13.2,83.8,13.1,83.9,13.1,53.4,10.3
"Perry, Kentucky",76.9,14.4,76.9,14.2,77.0,14.2,78.6,21.7
"Pike, Kentucky",77.0,13.0,76.8,12.9,76.8,12.7,65.7,5.4
"Powell, Kentucky",80.3,15.9,79.9,14.2,80.0,14.2,80.0,0.0
"Pulaski, Kentucky",82.8,16.5,82.9,16.1,83.3,16.3,75.0,8.1
"Robertson, Kentucky",84.7,16.3,84.3,16.7,84.0,14.8,100.0,0.0
"Rockcastle, Kentucky",78.4,11.4,78.4,11.2,78.3,11.1,69.2,26.9
"Rowan, Kentucky",84.2,25.1,83.8,25.0,84.2,25.1,83.2,31.6
"Russell, Kentucky",78.5,14.7,79.8,14.5,79.5,14.5,61.3,0.0
"Scott, Kentucky",91.0,28.4,92.6,29.3,92.7,29.3,84.2,20.7
"Shelby, Kentucky",86.5,24.9,88.2,25.7,90.4,26.7,79.3,17.3
"Simpson, Kentucky",87.0,14.2,87.6,15.2,87.5,15.2,87.1,4.3
"Spencer, Kentucky",90.4,20.3,91.0,20.3,91.0,20.3,62.3,0.0
"Taylor, Kentucky",87.1,19.6,87.5,19.8,87.4,19.8,90.1,9.7
"Todd, Kentucky",77.5,13.2,78.3,14.5,78.1,14.6,72.4,0.4
"Trigg, Kentucky",88.0,16.6,89.1,17.0,88.9,17.0,76.9,11.9
"Trimble, Kentucky",82.8,14.1,82.7,13.4,82.5,12.8,,
"Union, Kentucky",90.0,11.1,90.3,11.5,90.4,11.6,87.8,3.7
"Warren, Kentucky",88.1,32.2,90.3,34.6,91.0,34.9,86.5,17.0
"Washington, Kentucky",84.0,18.8,84.9,19.6,84.8,19.4,86.0,8.4
"Wayne, Kentucky",74.6,12.3,75.1,12.7,75.0,12.7,98.0,10.1
"Webster, Kentucky",82.5,10.0,83.5,10.4,84.3,10.5,70.2,10.9
"Whitley, Kentucky",81.4,20.4,81.9,20.2,81.8,20.2,81.8,34.1
"Wolfe, Kentucky",71.8,8.7,71.6,8.5,71.9,8.6,,
"Woodford, Kentucky",91.1,33.8,91.5,34.7,92.5,35.4,90.1,15.9
"Acadia Parish, Louisiana",79.0,13.3,81.6,13.9,82.3,14.1,67.0,8.5
"Allen Parish, Louisiana",79.7,11.3,82.7,12.4,82.3,12.7,68.7,8.2
"Ascension Parish, Louisiana",88.6,26.4,91.1,28.6,92.3,29.2,82.4,20.3
"Assumption Parish, Louisiana",74.4,9.6,77.1,10.3,77.3,10.6,68.7,7.6
"Avoyelles Parish, Louisiana",76.8,12.3,80.8,13.5,81.1,13.7,68.1,9.3
"Beauregard Parish, Louisiana",85.3,17.8,85.8,18.2,85.8,17.9,82.6,15.0
"Bienville Parish, Louisiana",84.1,12.8,87.2,14.1,87.1,13.9,79.9,11.1
"Bossier Parish, Louisiana",89.7,25.2,91.2,27.0,92.9,27.8,84.9,17.6
"Caddo Parish, Louisiana",87.0,23.5,91.3,31.1,91.6,31.3,82.3,14.5
"Calcasieu Parish, Louisiana",86.8,22.3,89.3,24.0,89.6,24.1,80.6,15.5
"Caldwell Parish, Louisiana",76.7,13.8,77.3,14.8,77.5,14.9,71.9,4.2
"Cameron Parish, Louisiana",84.7,12.7,87.0,12.4,88.8,13.0,45.9,15.1
"Catahoula Parish, Louisiana",74.3,13.8,78.6,16.3,78.5,15.6,65.8,8.2
"Claiborne Parish, Louisiana",79.5,12.8,88.0,21.4,88.6,21.6,71.4,4.5
"Concordia Parish, Louisiana",80.2,14.1,83.1,13.3,83.3,13.4,75.6,15.1
"De Soto Parish, Louisiana",82.6,14.8,87.8,17.1,88.4,17.1,72.9,10.6
"East Baton Rouge Parish, Louisiana",90.5,34.9,95.5,46.6,96.0,47.3,85.8,20.3
"East Carroll Parish, Louisiana",70.5,8.9,83.6,16.2,83.6,16.2,63.9,5.4
"East Feliciana Parish, Louisiana",80.0,12.7,85.2,15.8,85.8,16.1,73.4,8.5
"Evangeline Parish, Louisiana",75.7,11.6,80.1,14.6,80.3,14.6,67.1,4.6
"Franklin Parish, Louisiana",75.0,12.0,80.1,13.8,80.1,13.8,63.3,7.8
"Grant Parish, Louisiana",82.5,8.5,83.8,10.1,85.3,10.5,83.2,3.3
"Iberia Parish, Louisiana",79.9,13.6,83.4,15.8,83.8,16.0,75.0,8.9
"Iberville Parish, Louisiana",79.6,13.9,83.4,17.3,83.6,17.4,75.3,9.9
"Jackson Parish, Louisiana",80.6,14.0,83.9,14.7,84.1,14.4,72.4,10.7
"Jefferson Parish, Louisiana",85.7,26.8,88.6,30.4,90.6,32.5,82.3,17.8
"Jefferson Davis Parish, Louisiana",81.3,16.9,83.0,18.4,83.1,18.7,73.1,9.2
"Lafayette Parish, Louisiana",88.6,33.0,91.8,37.9,93.0,39.0,79.1,16.7
"Lafourche Parish, Louisiana",78.2,16.9,79.9,18.2,80.1,18.2,73.6,10.2
"LaSalle Parish, Louisiana",77.6,13.6,80.0,14.3,80.1,14.4,64.8,5.8
"Lincoln Parish, Louisiana",88.5,35.6,92.7,41.7,93.3,42.1,84.0,26.6
"Livingston Parish, Louisiana",85.2,19.7,86.1,19.2,86.4,19.2,79.8,23.8
