GEOID,ADIMean,ADIStd
01001,64.375,19.410256683416865
01003,52.92391304347826,19.098491796878424
01005,83.71428571428571,13.187656566436878
01007,79.5,14.097190118274252
01009,69.85714285714286,13.237964249800328
01011,85.83333333333333,13.287839051804724
01013,81.10526315789474,13.52320941871626
01015,75.36781609195403,17.15464202044174
01017,82.84848484848484,10.817004010241272
01019,70.36842105263158,14.515166498512244
01021,77.6,11.199137897855014
01023,87.13333333333334,9.179687721631202
01025,79.04166666666667,13.665186381479755
01027,76.3076923076923,17.504211947341012
01029,75.0,14.035668847618199
01031,69.0,15.658464164789597
01033,76.73913043478261,14.55783070318544
01035,92.0,3.5161962919661303
01037,82.54545454545455,12.556780131575422
01039,79.26315789473684,13.771659521437329
01041,87.2,4.417138339593985
01043,72.24193548387096,12.877334878364387
01045,75.88372093023256,13.607087268047698
01047,86.94871794871794,13.306011142473041
01049,78.47169811320755,12.03297356559004
01051,57.65909090909091,17.60542091703467
01053,83.34482758620689,10.216498778477899
01055,79.89024390243902,17.6446446235223
01057,85.05555555555556,8.63285258711451
01059,83.96153846153847,7.517876132157375
01061,83.08333333333333,10.938232377136258
01063,95.2,5.411920998027308
01065,85.84615384615384,12.088880247608778
01067,74.6875,16.531661541821297
01069,74.65714285714286,18.758484622741115
01071,78.81818181818181,12.808559505945084
01073,68.04901960784314,27.61600908494157
01075,89.375,6.386183001866868
01077,71.69444444444444,17.030741789017707
01079,74.38709677419355,11.643817871456763
01081,61.026666666666664,22.90755412600909
01083,63.404761904761905,16.40502529165916
01085,86.41666666666667,14.755327748636997
01087,90.21052631578948,6.696424812029019
01089,59.784946236559136,25.9472852143937
01091,83.16666666666667,16.430794700584435
01093,84.60714285714286,10.386384555127167
01095,71.13846153846154,16.326624079893364
01097,74.30798479087453,20.54004218462885
01099,82.47619047619048,11.703072449656322
01101,73.82198952879581,24.469309202816653
01103,69.06666666666666,17.127765772579924
01105,93.0,8.279218232747253
01107,81.84210526315789,11.705948904983392
01109,76.22727272727273,11.393113284042702
01111,80.5,12.948994964406902
01113,78.5,15.23435966116444
01115,64.73684210526316,16.12733823068233
01117,44.56363636363636,21.753214366603377
01119,91.14285714285714,9.079623364411127
01121,79.90384615384616,13.472207579825456
01123,73.72222222222223,19.75364141636547
01125,58.009009009009006,20.06874344732284
01127,81.55172413793103,13.676939759526725
01129,80.17647058823529,12.068736958137162
01131,81.83333333333333,16.68332500832293
01133,84.21739130434783,13.960843038295392
02013,,
02016,,
02020,31.633333333333333,18.0534515602319
02050,67.91666666666667,29.398386886275777
02060,43.0,
02068,47.5,16.263455967290593
02070,62.0,27.655017627909768
02090,40.05,14.862562454431082
02100,37.0,9.0
02105,41.666666666666664,10.214368964029708
02110,24.0,15.314876902719607
02122,39.10526315789474,10.125668409526703
02130,32.46153846153846,9.50101209183689
02150,38.6,21.42791533387127
