GEOID,fixed_avg_d_mbps_wt,fixed_avg_u_mbps_wt,fixed_avg_lat_wt,mobile_avg_d_mbps_wt,mobile_avg_u_mbps_wt,mobile_avg_lat_wt
33001,112.3404399929714,25.47302161307327,16.98049551924091,48.10457474226804,10.67727835051546,47.66237113402062
33003,107.8830345310313,12.59774941670556,41.16052263182455,33.96208144796379,8.807389140271493,49.21266968325792
33005,83.75030279441117,17.35158902195609,46.81497005988024,31.25972549019608,6.795456327985741,51.41711229946524
33007,93.90882696177061,18.10938497652582,38.88128772635815,26.90924901185771,6.595758893280633,49.12252964426877
33009,110.0045511344952,16.9165555738244,38.23298257152253,32.3295231316726,8.034272241992884,56.28291814946619
33011,164.7739857883953,25.50918610227124,18.40864902567679,88.9412584167425,21.29995359417653,38.40673339399454
33013,137.0590363465665,33.39197277360515,17.48082081545065,51.40379675491034,12.25069257045261,39.11528608027327
33015,173.3292319130326,22.23409608896664,15.87154816943646,70.21024106113033,20.24068396770473,36.52998846597463
33017,164.7599285395929,19.5989548358342,16.7697221809538,49.59757735849057,12.15664150943396,35.19245283018868
33019,158.6601501285347,14.93179434447301,23.49922879177378,34.75152258064516,8.332483870967742,37.86451612903226
34001,187.7828032647509,21.53367165448053,17.2173950008502,172.8342596425212,21.94510065851364,30.41063029162747
34003,194.7744098093407,101.4082235694181,10.49302698778608,102.1654757301313,22.66582670194362,28.77317594382823
34005,199.0070173754556,41.23486520858647,16.00546780072904,65.40054057467634,14.90034638459109,32.4979475844648
34007,192.2289819440673,57.74249778260476,14.27658611639062,75.07149616368287,18.8479641943734,27.28388746803069
34009,170.0509197952219,19.7485018771331,17.27918088737201,285.3125805369127,32.49551789709172,29.73601789709172
34011,204.9869498542274,35.40021341107872,19.52069970845481,79.11401547116738,23.51787341772152,30.71870604781997
34013,189.8607664182761,104.3620865069747,10.80785395663048,95.14583108323588,23.41171616881046,30.53832252577867
34015,212.7112906378601,43.89969863315696,15.35243974132863,80.16827141057934,16.96644080604534,31.41309823677582
34017,202.4115903175429,104.5251626236335,10.48440916189485,125.6610331615801,25.6137060377857,26.59585149953759
34019,172.3113324823854,16.77936076789544,15.28673542326151,53.94565504720407,12.22581190994917,33.08932461873638
34021,178.6135203824627,86.47349883395522,12.41585820895522,93.5521886906562,22.07573147868159,31.7580889023284
34023,185.5081136664629,61.35552667838223,12.90244244091279,65.77973109664497,17.2036092889334,30.58362543815723
34025,187.3811258350229,78.75444385871305,11.89979724682531,147.6333274590164,19.77787110655738,32.09098360655738
34027,172.2312226086611,64.56271065445078,11.8283880199535,82.3249858216971,18.47696455424275,29.17980665950591
34029,190.2432060724643,44.25150441983159,14.51385346423954,120.9750332211943,18.10531097560975,33.01429772918419
34031,191.9755713841808,76.90998381355931,11.49700564971751,72.78823930269412,18.46253981774961,28.67194928684627
34033,208.0679272168119,32.26482009226038,20.69246540235777,42.79967441860465,10.99057622739018,41.11627906976744
34035,190.5716336335491,79.61866664790318,10.87402195327892,264.665556600295,26.54711817846608,25.53023598820059
34037,102.5797936177906,29.05465503525583,18.4011028747062,50.55308294930876,12.86496129032258,39.26728110599078
34039,190.8170736398169,94.30596904256274,10.64535040229713,68.18317253968253,19.9843080952381,31.04476190476191
34041,112.9002191760739,12.3795069637883,19.57264330743293,50.76388400900901,12.5578018018018,40.96396396396396
35001,132.4738103428637,14.91610096062574,25.94391920112389,132.5170827732975,23.28742372311828,47.23756720430107
35003,9.004393548387098,3.768064516129032,281.4129032258065,16.30976666666667,5.375333333333333,91.43333333333334
35005,110.2337872244714,67.32235267656321,22.79442195231669,32.81142582417582,13.35147252747253,67.16758241758242
35006,87.17342338709676,71.75974697580645,39.68850806451613,23.82480869565218,7.209466666666667,78.54202898550724
35007,13.26255,7.814758333333334,67.55416666666666,30.37523391812865,13.65455555555556,55.78947368421053
35009,170.2098743527787,128.6845139799793,10.35346910597169,50.16012671232877,15.50037671232877,44.31164383561644
35011,87.0923157894737,94.65542982456142,5.131578947368421,68.467,10.94608333333333,71.5
35013,99.45877770764957,12.70343701085584,48.2725321888412,35.42139940476191,13.5530375,62.45178571428571
35015,88.59427611376793,15.00276818525044,40.98036748049333,33.5226935483871,13.25726612903226,89.55645161290323
35017,61.70841809290953,9.140252648736757,63.09046454767726,21.71526190476191,10.56992857142857,69.92559523809524
35019,141.9699038461539,146.9582008547008,8.021367521367521,48.74961046511628,11.09766279069767,76.03488372093024
35021,42.08552,45.7116,33.64,58.73205555555556,13.03388888888889,78.05555555555556
35023,13.38619417475728,3.239339805825243,97.87378640776699,18.03486507936508,10.30492063492063,129.3888888888889
35025,93.15341391551296,23.22406105786298,55.25523606673767,23.22179080118694,9.88646884272997,85.11721068249258
35027,56.97266546391752,11.09657835051546,53.58144329896907,34.66531718061674,9.579801762114537,63.62114537444934
35028,120.571134283247,21.86360708117444,26.40587219343696,52.49329090909092,9.598727272727274,69.17272727272727
35029,27.97571212121212,10.48280492424242,52.96022727272727,17.31496861924686,6.484089958158996,90.41213389121339
35031,27.60044309559939,10.02991755184623,61.79767324228629,20.10894736842105,7.074283471837489,68.32040627885503
35033,21.79993793103448,12.28406206896552,31.84137931034483,13.03008333333333,5.295249999999999,171.3888888888889
35035,111.2737415316642,16.07225184094256,51.27098674521355,30.4972145390071,9.622585106382978,79.8581560283688
35037,89.60360512820512,73.64060854700854,28.72820512820513,39.76869491525424,11.11105084745763,71.41101694915254
35039,15.60963930885529,3.467762149028078,52.79103671706263,16.15356130790191,16.97236784741144,80.33514986376022
35041,57.14808108108109,64.12457796257796,23.00623700623701,32.42293220338983,11.32162711864407,53.27118644067797
35043,105.2424507654117,18.80109236657013,33.56992139015308,57.47377562642369,17.87939009111617,47.19020501138952
35045,112.4717908538535,11.55404828909498,40.62807803006076,24.10608384710234,8.900157829839706,75.48212083847102
35047,58.95771170463473,55.85590652003143,30.49018067556952,25.9910223880597,8.744839552238806,66.7089552238806
35049,91.053402740487,15.04224636607721,49.07980742523841,45.74707551766139,11.05337149817296,59.16504263093788
35051,56.01615939849624,8.318436090225564,69.73082706766917,45.53076576576576,11.65582882882883,84.90090090090091
35053,15.65304382470119,7.53400796812749,66.54980079681275,21.00693103448276,11.16164367816092,77.45114942528735
35055,16.82574124513619,3.447041504539558,63.84111543450065,27.28934453781513,9.69118487394958,65.67647058823529
