,State full,County,Black or African American,White
0,Maine,ANDROSCOGGIN,591,28510
1,Maine,AROOSTOOK,92,19513
2,Maine,CUMBERLAND,2051,110701
3,Maine,FRANKLIN,16,9006
4,Maine,HANCOCK,99,20953
5,Maine,KENNEBEC,238,36675
6,Maine,KNOX,57,15012
7,Maine,LINCOLN,39,14633
8,Maine,OXFORD,73,17426
9,Maine,PENOBSCOT,373,48357
10,Maine,PISCATAQUIS,8,5448
11,Maine,SAGADAHOC,74,12399
12,Maine,SOMERSET,41,11780
13,Maine,WALDO,44,13221
14,Maine,WASHINGTON,31,7370
15,Maine,YORK,417,65263
