,count,mean,std,min,25%,50%,75%,max
ZCvdVax_DisparityY,756.0,13.336154283181417,10.790153442345327,-16.6716645207711,5.768188686133559,11.119907409509294,19.746474860823024,53.84222470369822
MedianInc_WholeAvg,756.0,58.44796164021164,16.596879322796806,27.063,48.006249999999994,54.516999999999996,64.0805,142.299
MedianInc_Disparity,756.0,21.002966931216932,16.108802411703433,-67.705,13.66025,21.828000000000003,29.5135,112.332
HighSchool_WholeRate,756.0,86.93082010582012,5.3052356860135355,61.8,83.975,87.9,90.9,96.8
HighSchool_Disparity,756.0,6.761507936507936,7.880749441699743,-30.300000000000004,2.4000000000000057,6.200000000000003,10.700000000000003,42.199999999999996
FacNumRate,756.0,0.023595730540471448,0.011828579966260987,0.0,0.016729549824517284,0.02096581719041305,0.026485690243984485,0.09809012751716578
CaseRate,756.0,9.469008066853238,2.6567312221648547,2.234984089101034,7.720215818392071,9.527030212137355,11.116103244436434,24.159064994298745
IT_WholeRate,756.0,82.68439153439152,7.0528126764537555,55.6,78.775,83.4,87.6,97.0
IT_Disparity,756.0,8.307671957671959,10.520124864079412,-21.900000000000006,2.0999999999999943,7.700000000000003,14.0,72.3
urban,756.0,0.6031746031746031,0.4895630988457953,0.0,0.0,1.0,1.0,1.0
vehicle,756.0,92.91441798941797,4.961696041459501,23.0,91.80000000000001,93.7,95.19999999999999,98.60000000000001
republican_rate,756.0,5874.873493216793,1606.4705476681002,1124.920105106171,4808.005385055808,6041.350920457582,7155.022413878063,8932.443703085904
Segregation,756.0,44.85215904929193,16.124774568925524,0.0408227351,33.27661784025,45.8308689415,56.44102639300001,86.158768432
racial_weighted_bias,756.0,39.993085872852205,1.8788994220098214,31.156179134424,39.198747514683326,40.17670172435025,40.8880158716859,44.452994772154604
hesitancy,756.0,17.677248677248677,3.7984396722043288,7.000000000000001,15.0,18.0,20.0,27.0
Black_Prop,756.0,12.396693165210694,13.136234968598881,0.5406379527842855,3.1027648569025628,7.4294017998047295,16.91276613913081,76.97313851847125
FluVax_WholeRate,756.0,47.62169312169312,7.55200988402971,19.0,43.0,49.0,53.0,65.0
FluVax_Disparity,756.0,15.185185185185185,6.444677877581895,-12.0,12.0,16.0,19.0,37.0
Above75_WholeRate,756.0,7.67984197530468,1.8439954792304032,3.5154287464173444,6.469494198963774,7.696796525410095,8.757545507108434,17.853437706309535
Above75_Disparity,756.0,4.582636725649683,2.452445321646777,-4.480898412711875,3.098550770619891,4.71703646797705,5.966097226881257,17.40097734455717
A15T74_WholeRate,756.0,74.38926781040222,2.144288671922468,65.92220361064582,73.19036423731777,74.29907637541146,75.43602026112376,83.1493869303657
A15T74_Disparity,756.0,-0.43250909026069967,4.311132465227316,-20.89449593698197,-1.9736836303923369,0.06380826686933005,1.9958066465011477,17.10973797806028
org_WholeNum,756.0,225724.0529100529,567049.728628479,5331.0,34281.25,75867.0,188535.75,10039107.0
log_WholeNum,756.0,11.361897287492031,1.2859067055656654,8.581294116822761,10.44234463840521,11.236736473282527,12.147025134248468,16.12199872404898
BlackNum,756.0,30690.874338624337,95979.697569237,282.0,1828.75,5426.0,17923.75,1226489.0
NotInHighMobility,756.0,0.9841269841269841,0.12506699560674575,0.0,1.0,1.0,1.0,1.0
ReportNH,756.0,0.48148148148148145,0.49998773593004386,0.0,0.0,0.0,1.0,1.0
