,State full,County,Black or African American,White
0,Maine,ANDROSCOGGIN,410,23295
1,Maine,AROOSTOOK,66,17555
2,Maine,CUMBERLAND,1641,88981
3,Maine,FRANKLIN,11,7763
4,Maine,HANCOCK,56,17883
5,Maine,KENNEBEC,167,31279
6,Maine,KNOX,49,13434
7,Maine,LINCOLN,28,12776
8,Maine,OXFORD,52,15178
9,Maine,PENOBSCOT,268,41574
10,Maine,PISCATAQUIS,,4873
11,Maine,SAGADAHOC,54,10664
12,Maine,SOMERSET,24,10507
13,Maine,WALDO,33,11472
14,Maine,WASHINGTON,28,6868
15,Maine,YORK,303,55905
