,State full,County,Black or African American,White
0,Maine,ANDROSCOGGIN,436,25323
1,Maine,AROOSTOOK,79,18768
2,Maine,CUMBERLAND,1780,98009
3,Maine,FRANKLIN,14,8333
4,Maine,HANCOCK,67,19162
5,Maine,KENNEBEC,198,33627
6,Maine,KNOX,51,13849
7,Maine,LINCOLN,33,13587
8,Maine,OXFORD,63,16132
9,Maine,PENOBSCOT,294,43801
10,Maine,PISCATAQUIS,7,5181
11,Maine,SAGADAHOC,59,11326
12,Maine,SOMERSET,36,10971
13,Maine,WALDO,33,11866
14,Maine,WASHINGTON,29,7110
15,Maine,YORK,338,59491
