,count,mean,std,min,25%,50%,75%,max
CvdVax_DisparityY,756.0,12.118775262604265,10.35470636685003,-18.16801589028421,4.921825979723863,10.451356054593445,17.756555443759968,53.84222470369822
MedianInc_WholeAvg,756.0,58.44796164021164,16.596879322796806,27.063,48.006249999999994,54.516999999999996,64.0805,142.299
MedianInc_Disparity,756.0,21.002966931216932,16.108802411703433,-67.705,13.66025,21.828000000000003,29.5135,112.332
HighSchool_WholeRate,756.0,86.93082010582012,5.3052356860135355,61.8,83.975,87.9,90.9,96.8
HighSchool_Disparity,756.0,6.761507936507936,7.880749441699743,-30.300000000000004,2.4000000000000057,6.200000000000003,10.700000000000003,42.199999999999996
FacNumRate,756.0,0.023595730540471448,0.011828579966260987,0.0,0.016729549824517284,0.02096581719041305,0.026485690243984485,0.09809012751716578
CaseRate,756.0,9.469008066853238,2.6567312221648547,2.234984089101034,7.720215818392071,9.527030212137355,11.116103244436434,24.159064994298745
IT_WholeRate,756.0,82.68439153439152,7.0528126764537555,55.6,78.775,83.4,87.6,97.0
IT_Disparity,756.0,8.307671957671959,10.520124864079412,-21.900000000000006,2.0999999999999943,7.700000000000003,14.0,72.3
urban,756.0,0.6031746031746031,0.4895630988457953,0.0,0.0,1.0,1.0,1.0
vehicle,756.0,92.91441798941797,4.961696041459501,23.0,91.80000000000001,93.7,95.19999999999999,98.60000000000001
republican_rate,756.0,5874.873493216793,1606.4705476681002,1124.920105106171,4808.005385055808,6041.350920457582,7155.022413878063,8932.443703085904
Segregation,756.0,44.85215904929193,16.124774568925524,0.0408227351,33.27661784025,45.8308689415,56.44102639300001,86.158768432
racial_weighted_bias,756.0,39.993085872852205,1.8788994220098214,31.156179134424,39.198747514683326,40.17670172435025,40.8880158716859,44.452994772154604
hesitancy,756.0,17.677248677248677,3.7984396722043288,7.000000000000001,15.0,18.0,20.0,27.0
Black_Prop,756.0,12.396693165210694,13.136234968598881,0.5406379527842855,3.1027648569025628,7.4294017998047295,16.91276613913081,76.97313851847125
CvdVax_RDY,756.0,1.7787775862854893,0.8989976654943173,0.5602238930371972,1.2462166397142798,1.5631237504100906,1.9898751401209254,7.605718699964579
MedianInc_RD,756.0,1.6577397119811652,0.8947188295772366,0.4435033431632886,1.2971263472793815,1.5839831258785437,1.919000380090169,21.92879916284803
HighSchool_RD,756.0,1.0909715079382416,0.12045560099233472,0.6773166375754658,1.027282963642783,1.0735904430225018,1.131873942176834,1.8773370533533194
IT_RD,756.0,1.144341285105579,0.3089902788468425,0.7682542134876047,1.0249912233964191,1.0978570680384356,1.1967948185573518,6.091513440046198
CvdVax_LogRDY,756.0,0.48745236875302017,0.3964756327224789,-0.579418766160267,0.22011225435228746,0.44668622187237206,0.6880718695075005,2.0289004248574556
MedianInc_LogRD,756.0,0.4470030154691877,0.31994588542069796,-0.8130499391249763,0.26015111204539076,0.459942584821868,0.6518044115898285,3.0878008031944693
HighSchool_LogRD,756.0,0.08166369542582086,0.10152405525569375,-0.38961640850449214,0.02691741444492095,0.07100858456354825,0.12387460320644221,0.6298543117304052
IT_LogRD,756.0,0.11674178852620441,0.16922872526846414,-0.2636345934599254,0.024684047892394645,0.09336014222117714,0.17964699789811925,1.80689656317059
CvdVax_SDY,756.0,0.35564243817343505,0.25301358030547516,-0.7720830951648598,0.19996882049870357,0.3699750081495786,0.5180316354241015,1.222527071783963
MedianInc_SD,756.0,0.36620481157163587,0.2572387792435542,-1.273921780800742,0.24356626116212632,0.40770962398662136,0.5359940584565299,1.0576329052186637
HighSchool_SD,756.0,0.0007566567117381404,0.0009124058090744496,-0.004673159629058924,0.00026612045699601645,0.0006924296394658941,0.0011997163824183877,0.004930383887817334
IT_SD,756.0,0.0010389936949425956,0.0013565518114015327,-0.003007633010540376,0.00024393862852934226,0.0009052543772122953,0.0016919356475787297,0.008880031650009666
org_WholeNum,756.0,225724.0529100529,567049.728628479,5331.0,34281.25,75867.0,188535.75,10039107.0
log_WholeNum,756.0,11.361897287492031,1.2859067055656654,8.581294116822761,10.44234463840521,11.236736473282527,12.147025134248468,16.12199872404898
BlackNum,756.0,30690.874338624337,95979.697569237,282.0,1828.75,5426.0,17923.75,1226489.0
NotInHighMobility,756.0,0.9841269841269841,0.12506699560674575,0.0,1.0,1.0,1.0,1.0
ReportNH,756.0,0.48148148148148145,0.49998773593004386,0.0,0.0,0.0,1.0,1.0
FluVax_Disparity,756.0,15.185185185185185,6.444677877581895,-12.0,12.0,16.0,19.0,37.0
