,State full,County,Black or African American,White
0,Maine,ANDROSCOGGIN,625,29168
1,Maine,AROOSTOOK,95,19684
2,Maine,CUMBERLAND,2120,113319
3,Maine,FRANKLIN,19,9232
4,Maine,HANCOCK,111,21612
5,Maine,KENNEBEC,250,37527
6,Maine,KNOX,64,15502
7,Maine,LINCOLN,43,14892
8,Maine,OXFORD,75,17739
9,Maine,PENOBSCOT,400,49635
10,Maine,PISCATAQUIS,9,5523
11,Maine,SAGADAHOC,80,12734
12,Maine,SOMERSET,43,12090
13,Maine,WALDO,45,13437
14,Maine,WASHINGTON,31,7517
15,Maine,YORK,441,67176
